訓練日期,20160422 - 20160725
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10912910.049999998882413
真實報酬,912910.049999998882413

夏普值報酬,0.082591005000000
夏普值風險,0.030162829930440
夏普值,2.738171623500433

預期報酬,14632.020578657968144
風險,106882.075700079498347
趨勢值,0.136898731455372
找到最佳解世代,2395
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
PFE[20](3),TRV[22](2),VZ[26](4),XOM[29](1),
Stock#,PFE[20](3),TRV[22](2),VZ[26](4),XOM[29](1),
張數,75210,22980,49970,28805,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,19.599999999627471,5.799999999813735,0.899999999906868,14.049999999813735,
20160422,2502256.299999999813735,2547109.000000000000000,2525984.399999999906868,2521315.699999999720603,10096665.399999998509884
20160425,2497743.699999999720603,2535619.000000000000000,2536478.099999999627471,2515554.699999999720603,10085395.499999998137355
20160426,2485710.099999999627471,2527116.399999999906868,2520487.699999999720603,2524196.199999999720603,10057510.399999998509884
20160427,2481949.599999999627471,2517005.199999999720603,2582950.199999999720603,2548104.349999999627471,10130009.349999997764826
20160428,2475180.699999999254942,2507813.199999999720603,2549470.300000000279397,2535718.199999999720603,10068182.399999998509884
20160429,2460138.699999999720603,2525507.799999999813735,2545472.699999999720603,2546376.049999999813735,10077495.250000000000000
20160502,2466907.599999999627471,2548717.599999999627471,2564461.299999999813735,2567403.699999999720603,10147490.199999999254942
20160503,2534596.599999999627471,2535389.199999999720603,2532480.500000000000000,2538022.599999999627471,10140488.899999998509884
20160504,2512033.599999999627471,2521601.199999999720603,2540475.700000000186265,2533125.749999999534339,10107236.249999998137355
20160505,2524819.299999999813735,2545040.799999999813735,2540475.700000000186265,2536006.250000000000000,10146342.050000000745058
20160506,2525571.399999999441206,2538146.799999999813735,2554467.299999999813735,2549544.600000000093132,10167730.099999999627471
20160509,2543621.799999999813735,2546419.600000000093132,2552468.500000000000000,2551272.899999999441206,10193782.800000000745058
20160510,2542117.599999999627471,2579970.399999999906868,2575454.699999999720603,2592175.999999999534339,10289718.699999999254942
20160511,2493983.199999999254942,2573076.399999999906868,2555966.399999999906868,2558186.100000000093132,10181212.099999999627471
20160512,2496239.499999999534339,2588473.000000000000000,2571956.799999999813735,2582958.399999999906868,10239627.699999999254942
20160513,2496239.499999999534339,2589162.399999999906868,2545472.699999999720603,2553865.349999999627471,10184739.949999999254942
20160516,2510529.399999999906868,2579280.999999999534339,2559963.999999999534339,2580077.899999999441206,10229852.299999997019768
20160517,2484205.899999999906868,2537457.399999999906868,2543473.899999999906868,2578925.699999999720603,10144062.899999998509884
20160518,2494735.299999999813735,2557679.799999999813735,2517989.199999999720603,2573740.799999999813735,10144145.099999997764826
20160519,2510529.399999999906868,2530103.799999999813735,2480012.000000000000000,2595632.599999999627471,10116277.799999998882413
20160520,2537605.000000000000000,2571238.000000000000000,2481511.099999999627471,2584974.749999999534339,10175328.849999999627471
20160523,2532340.299999999813735,2559748.000000000000000,2455526.699999999720603,2580942.049999999813735,10128557.050000000745058
20160524,2564680.599999999627471,2606856.999999999534339,2477513.500000000000000,2582958.399999999906868,10232009.500000000000000
20160525,2583483.099999999627471,2609155.000000000000000,2491005.399999999906868,2599953.350000000093132,10283596.849999999627471
20160526,2589499.899999999441206,2610533.799999999813735,2506496.099999999627471,2586703.049999999813735,10293232.849999997764826
20160527,2603037.699999999720603,2623862.200000000186265,2529482.299999999813735,2592752.100000000093132,10349134.300000000745058
20160531,2609806.599999999627471,2622943.000000000000000,2543473.899999999906868,2564235.149999999906868,10340458.650000000372529
20160601,2613567.099999999627471,2639029.000000000000000,2519988.000000000000000,2570572.249999999534339,10343156.349999999627471
20160602,2622592.299999999348074,2639718.399999999906868,2536977.800000000279397,2550120.699999999720603,10349409.199999999254942
20160603,2609054.499999999534339,2633973.399999999906868,2544473.299999999813735,2545511.899999999906868,10333013.099999999627471
20160606,2627104.899999999441206,2627309.199999999720603,2533979.600000000093132,2573452.750000000000000,10361846.449999999254942
20160607,2620336.000000000000000,2633054.199999999720603,2585948.399999999906868,2612915.599999999627471,10452254.199999999254942
20160608,2651172.099999999627471,2624781.399999999906868,2574455.300000000279397,2615220.000000000000000,10465628.800000000745058
20160609,2655684.699999999720603,2624781.399999999906868,2595942.399999999906868,2611763.399999999906868,10488171.900000000372529
20160610,2654180.499999999534339,2615359.600000000093132,2631920.799999999813735,2591887.949999999720603,10493348.849999999627471
20160613,2612815.000000000000000,2596745.799999999813735,2626923.799999999813735,2609459.000000000000000,10445943.599999999627471
20160614,2631617.500000000000000,2586404.799999999813735,2647911.200000000186265,2604850.200000000186265,10470783.699999999254942
20160615,2616575.499999999534339,2569399.600000000093132,2640415.700000000186265,2597072.849999999627471,10423463.649999998509884
20160616,2613567.099999999627471,2591000.799999999813735,2671397.100000000093132,2627606.149999999906868,10503571.150000000372529
20160617,2573705.799999999348074,2570548.599999999627471,2687387.500000000000000,2613203.649999999906868,10444845.549999998882413
20160620,2594764.599999999627471,2587783.599999999627471,2686388.099999999627471,2624725.649999999906868,10493661.949999999254942
20160621,2613567.099999999627471,2590311.399999999906868,2703377.899999999906868,2636535.699999999720603,10543792.099999999627471
20160622,2592508.299999999348074,2569859.199999999720603,2699880.000000000000000,2626165.899999999906868,10488413.399999998509884
20160623,2601533.500000000000000,2616278.799999999813735,2731860.799999999813735,2644313.049999999813735,10593986.149999998509884
20160624,2554903.299999999348074,2551245.399999999906868,2719868.000000000000000,2574893.000000000000000,10400909.699999999254942
20160627,2542117.599999999627471,2535848.799999999813735,2735358.700000000186265,2559626.349999999627471,10372951.449999999254942
20160628,2590251.999999999534339,2622713.199999999720603,2739356.299999999813735,2618676.599999999627471,10570998.099999997764826
20160629,2633121.699999999254942,2684299.600000000093132,2751349.100000000093132,2663324.349999999627471,10732094.749999998137355
20160630,2648163.699999999720603,2735545.000000000000000,2790325.700000000186265,2700194.749999999534339,10874229.149999998509884
20160701,2675239.299999999813735,2731178.799999999813735,2809813.999999999534339,2703075.250000000000000,10919307.349999999627471
20160705,2693289.699999999720603,2727272.200000000186265,2824805.000000000000000,2679455.149999999906868,10924822.050000000745058
20160706,2697050.199999999720603,2729110.600000000093132,2811313.099999999627471,2710276.500000000000000,10947750.399999998509884
20160707,2690281.299999999813735,2700385.600000000093132,2767339.500000000000000,2677726.849999999627471,10835733.250000000000000
20160708,2716604.799999999348074,2713484.199999999720603,2793323.899999999906868,2694433.750000000000000,10917846.649999998509884
20160711,2718861.099999999627471,2714403.399999999906868,2794823.000000000000000,2704515.500000000000000,10932603.000000000000000
20160712,2725630.000000000000000,2713714.000000000000000,2771836.799999999813735,2735048.799999999813735,10946229.599999999627471
20160713,2730894.699999999720603,2711645.799999999813735,2798320.899999999906868,2733032.449999999720603,10973893.849999999627471
20160714,2776772.799999999813735,2728650.999999999534339,2790325.700000000186265,2735048.799999999813735,11030798.299999998882413
20160715,2765491.299999999813735,2726353.000000000000000,2790325.700000000186265,2739945.649999999906868,11022115.650000000372529
20160718,2755713.999999999534339,2697398.199999999720603,2794823.000000000000000,2731304.149999999441206,10979239.349999997764826
20160719,2755713.999999999534339,2689814.799999999813735,2783329.899999999906868,2721222.399999999906868,10950081.099999999627471
20160720,2758722.399999999441206,2688895.600000000093132,2779332.299999999813735,2705667.700000000186265,10932618.000000000000000
20160721,2760978.699999999720603,2682231.399999999906868,2766839.799999999813735,2703363.299999999813735,10913413.199999999254942
20160722,2763235.000000000000000,2692112.799999999813735,2803317.899999999906868,2707972.100000000093132,10966637.799999998882413
20160725,2766243.399999999906868,2699006.799999999813735,2791824.799999999813735,2655835.049999999813735,10912910.049999998882413
