訓練日期,20110815 - 20111114
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11764962.880000000819564
真實報酬,1764962.880000000819564

夏普值報酬,0.167796288000000
夏普值風險,0.047597355875176
夏普值,3.525327928720337

預期報酬,25803.147294827318547
風險,198281.892104299360653
趨勢值,0.130133654772946
找到最佳解世代,1920
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](2),INTC[11](6),VZ[26](3),WMT[28](1),
Stock#,HD[9](2),INTC[11](6),VZ[26](3),WMT[28](1),
張數,81752,121065,72886,50251,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,23.840000000316650,7.750000000000000,10.200000000186265,12.750000000000000,
20110815,2571941.760000000242144,2529055.600000000093132,2554664.500000000000000,2511557.729999999981374,10167219.589999999850988
20110816,2707650.080000000074506,2516949.100000000093132,2542273.880000000353903,2609044.669999999925494,10375917.730000000447035
20110817,2731358.160000000149012,2502421.300000000279397,2595480.660000000149012,2590451.799999999813735,10419711.920000001788139
20110818,2629168.160000000149012,2393462.799999999813735,2556122.220000000204891,2602512.040000000037253,10181265.219999998807907
20110819,2606277.600000000093132,2323245.100000000093132,2529883.260000000242144,2628140.049999999813735,10087546.010000001639128
20110822,2638978.400000000372529,2346247.449999999720603,2537900.720000000204891,2622612.439999999944121,10145739.009999999776483
20110823,2706832.560000000055879,2386198.899999999906868,2620990.760000000242144,2673868.459999999962747,10387890.679999999701977
20110824,2809840.080000000074506,2397094.750000000000000,2658162.620000000111759,2681908.619999999646097,10547006.070000000298023
20110825,2766511.520000000484288,2351090.050000000279397,2607142.420000000391155,2648240.450000000186265,10372984.440000001341105
20110826,2779591.840000000316650,2393462.799999999813735,2606413.560000000055879,2658290.649999999906868,10437758.850000001490116
20110829,2778774.320000000298023,2457627.250000000000000,2634110.240000000223517,2672863.439999999944121,10543375.250000000000000
20110830,2744438.480000000447035,2450363.349999999627471,2646500.860000000335276,2654270.569999999832362,10495573.259999999776483
20110831,2728905.600000000558794,2437046.199999999720603,2636296.820000000298023,2672863.439999999944121,10475112.060000000521541
20110901,2692117.200000000186265,2420097.099999999627471,2615159.880000000353903,2645727.899999999906868,10373102.080000000074506
20110902,2630803.200000000186265,2377724.350000000093132,2591836.360000000335276,2614572.280000000260770,10214936.190000001341105
20110906,2620175.439999999944121,2365617.850000000093132,2567055.120000000111759,2596984.430000000167638,10149832.839999999850988
20110907,2687212.080000000074506,2430992.949999999720603,2596209.520000000018626,2634170.169999999925494,10348584.719999998807907
20110908,2653693.760000000242144,2409201.250000000000000,2578716.880000000353903,2623617.459999999962747,10265229.350000001490116
20110909,2605460.080000000540167,2384988.250000000000000,2568512.840000000316650,2580904.109999999869615,10139865.279999999329448
20110912,2644701.040000000502914,2455205.950000000186265,2569241.700000000186265,2604019.569999999832362,10273168.259999999776483
20110913,2670044.160000000149012,2513317.150000000372529,2587463.200000000186265,2592461.840000000316650,10363286.350000001490116
20110914,2741985.920000000391155,2556900.550000000279397,2594751.800000000279397,2623114.950000000186265,10516753.220000002533197
20110915,2802482.400000000372529,2607747.850000000093132,2637754.540000000037253,2638692.759999999776483,10686677.550000000745058
20110916,2829460.560000000055879,2659805.799999999813735,2676384.120000000111759,2645727.899999999906868,10811378.379999998956919
20110919,2808205.040000000502914,2654963.200000000186265,2644314.280000000260770,2635677.700000000186265,10743160.220000000670552
20110920,2845810.960000000428408,2687650.750000000000000,2653789.459999999962747,2627637.540000000037253,10814888.710000000894070
20110921,2766511.520000000484288,2656173.850000000093132,2612244.440000000409782,2578894.069999999832362,10613823.880000000819564
20110922,2701927.439999999944121,2617433.050000000279397,2594022.940000000409782,2526633.030000000260770,10440016.460000000894070
20110923,2756701.280000000260770,2682808.149999999906868,2615159.880000000353903,2552763.549999999813735,10607432.859999999403954
20110926,2779591.840000000316650,2692493.349999999627471,2650145.160000000149012,2604522.080000000074506,10726752.429999999701977
20110927,2769781.600000000558794,2728812.850000000093132,2688774.740000000223517,2614572.280000000260770,10801941.470000002533197
20110928,2746891.040000000502914,2700967.899999999906868,2685130.440000000409782,2578391.560000000055879,10711380.940000001341105
20110929,2762423.920000000391155,2688861.399999999906868,2707725.100000000093132,2609547.180000000167638,10768557.599999999627471
20110930,2687212.080000000074506,2583534.850000000093132,2682215.000000000000000,2608039.649999999906868,10561001.580000000074506
20111003,2582569.520000000484288,2496368.050000000279397,2648687.440000000409782,2611054.709999999962747,10338679.720000000670552
20111004,2654511.280000000260770,2569007.049999999813735,2653060.600000000093132,2657285.630000000353903,10533864.560000000521541
20111005,2683942.000000000000000,2645278.000000000000000,2607142.420000000391155,2645727.899999999906868,10582090.320000000298023
20111006,2728905.600000000558794,2667069.700000000186265,2617346.459999999962747,2650753.000000000000000,10664074.760000001639128
20111007,2773051.680000000633299,2698546.600000000093132,2635567.959999999962747,2698491.450000000186265,10805657.690000001341105
20111010,2833548.160000000149012,2769974.949999999720603,2689503.600000000093132,2754270.060000000055879,11047296.769999999552965
20111011,2837635.760000000242144,2783292.099999999627471,2660349.200000000186265,2749747.469999999739230,11031024.529999999329448
20111012,2838453.280000000260770,2799030.550000000279397,2672739.820000000298023,2773867.950000000186265,11084091.600000001490116
20111013,2813110.160000000149012,2831718.100000000093132,2698249.920000000391155,2764822.770000000018626,11107900.949999999254942
20111014,2865431.439999999944121,2845035.250000000000000,2720844.580000000074506,2786933.209999999962747,11218244.480000000447035
20111017,2832730.640000000130385,2818400.950000000186265,2692419.040000000037253,2752762.530000000260770,11096313.160000000149012
20111018,2939008.240000000689179,2832928.750000000000000,2714284.840000000316650,2808541.140000000130385,11294762.970000000670552
20111019,2894044.640000000130385,2934623.349999999627471,2700436.500000000000000,2826631.500000000000000,11355735.990000000223517
20111020,2921022.800000000279397,2858352.399999999906868,2704080.800000000279397,2832661.619999999646097,11316117.619999999180436
20111021,3013402.560000000055879,2909199.700000000186265,2727404.320000000298023,2860299.669999999925494,11510306.250000000000000
20111024,3000322.240000000689179,2976996.100000000093132,2691690.180000000167638,2853264.530000000260770,11522273.050000000745058
20111025,2946365.920000000391155,2981838.699999999720603,2637754.540000000037253,2849746.959999999962747,11415706.120000001043081
20111026,2988059.439999999944121,2990313.250000000000000,2682943.860000000335276,2882912.619999999646097,11544229.169999999925494
20111027,3055096.080000000074506,3042371.199999999720603,2744896.959999999962747,2905023.060000000055879,11747387.299999998882413
20111028,2952906.080000000074506,3024211.450000000186265,2742710.380000000353903,2871857.399999999906868,11591685.310000000521541
20111031,2926745.439999999944121,2970942.850000000093132,2695334.479999999981374,2850249.469999999739230,11443272.239999998360872
20111101,2905489.920000000391155,2893461.250000000000000,2658162.620000000111759,2825626.479999999981374,11282740.269999999552965
20111102,2942278.320000000298023,2887408.000000000000000,2682215.000000000000000,2857284.609999999869615,11369185.929999999701977
20111103,2979884.240000000689179,2929780.750000000000000,2729590.900000000372529,2885425.169999999925494,11524681.060000000521541
20111104,2974979.120000000577420,2874090.849999999627471,2709182.820000000298023,2889445.250000000000000,11447698.040000000968575
20111107,3052643.520000000484288,2939465.950000000186265,2721573.440000000409782,2911555.689999999944121,11625238.599999999627471
20111108,3101694.720000000204891,2996366.500000000000000,2734692.920000000391155,2980902.069999999832362,11813656.210000000894070
20111109,3037928.160000000149012,2886197.350000000093132,2688774.740000000223517,2917083.299999999813735,11529983.550000000745058
20111110,3041198.240000000689179,2912831.649999999906868,2720844.580000000074506,2921103.380000000353903,11595977.850000001490116
20111111,3111504.960000000428408,3008473.000000000000000,2734692.920000000391155,2974871.950000000186265,11829542.830000001937151
20111114,3127037.840000000316650,2981838.699999999720603,2696792.200000000186265,2959294.140000000130385,11764962.880000000819564
