訓練日期,20141023 - 20150127
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12219166.280000001192093
真實報酬,2219166.280000001192093

夏普值報酬,0.213216628000000
夏普值風險,0.054991570114605
夏普值,3.877260233807604

預期報酬,37552.858078257624584
風險,188122.071999180014245
趨勢值,0.199619628250859
找到最佳解世代,2182
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
UNH[23](3),WBA[27](1),
Stock#,UNH[23](3),WBA[27](1),
張數,55697,81300,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,80.310000000521541,50.000000000000000,
20141023,5049570.330000000074506,5046341.000000000000000,10095911.330000000074506
20141024,5104153.390000000596046,5093495.000000000000000,10197648.390000000596046
20141027,5131444.919999999925494,5130893.000000000000000,10262337.919999999925494
20141028,5159850.390000000596046,5178860.000000000000000,10338710.390000000596046
20141029,5177673.430000000633299,5108129.000000000000000,10285802.429999999701977
20141030,5228914.669999999925494,5118698.000000000000000,10347612.669999999925494
20141031,5291852.280000001192093,5221136.000000000000000,10512988.280000001192093
20141103,5283497.730000000447035,5282924.000000000000000,10566421.730000000447035
20141104,5290181.370000001043081,5304062.000000000000000,10594243.370000001043081
20141105,5335852.910000000149012,5338208.000000000000000,10674060.910000000149012
20141106,5358688.680000000633299,5418695.000000000000000,10777383.679999999701977
20141107,5213876.480000000447035,5440646.000000000000000,10654522.480000000447035
20141110,5277371.060000000521541,5510564.000000000000000,10787935.060000000521541
20141111,5329726.240000000223517,5487800.000000000000000,10817526.240000000223517
20141112,5329169.270000000484288,5482922.000000000000000,10812091.269999999552965
20141113,5341422.610000001266599,5443897.999999999068677,10785320.609999999403954
20141114,5297421.980000000447035,5441459.000000000931323,10738880.980000000447035
20141117,5373169.900000000372529,5410565.000000000000000,10783734.900000000372529
20141118,5468968.740000000223517,5533328.000000000000000,11002296.740000000223517
20141119,5394891.730000000447035,5511377.000000000931323,10906268.730000000447035
20141120,5394334.759999999776483,5474792.000000000000000,10869126.759999999776483
20141121,5386537.180000000633299,5495117.000000000000000,10881654.179999999701977
20141124,5397119.610000001266599,5506499.000000000000000,10903618.610000001266599
20141125,5452816.610000001266599,5513003.000000000000000,10965819.610000001266599
20141126,5464512.980000000447035,5566661.000000000000000,11031173.980000000447035
20141128,5493475.419999999925494,5578043.000000000000000,11071518.419999999925494
20141201,5517425.130000000819564,5509751.000000000000000,11027176.130000000819564
20141202,5560311.820000000298023,5426825.000000000000000,10987136.820000000298023
20141203,5614337.910000000149012,5478044.000000000000000,11092381.910000000149012
20141204,5551400.300000000745058,5520320.000000000000000,11071720.300000000745058
20141205,5588160.320000000298023,5577230.000000000000000,11165390.320000000298023
20141208,5565324.550000000745058,5506499.000000000000000,11071823.550000000745058
20141209,5626591.250000000000000,5576417.000000000000000,11203008.250000000000000
20141210,5519096.040000000968575,5540645.000000000000000,11059741.040000000968575
20141211,5554742.120000001043081,5935763.000000000000000,11490505.120000001043081
20141212,5500716.030000001192093,6056900.000000000000000,11557616.030000001192093
20141215,5473424.500000000000000,5970722.000000000000000,11444146.500000000000000
20141216,5338637.759999999776483,5885357.000000000000000,11223994.759999999776483
20141217,5521880.890000000596046,5852837.000000000000000,11374717.890000000596046
20141218,5694541.589999999850988,6047144.000000000000000,11741685.589999999850988
20141219,5708465.839999999850988,5953649.000000000000000,11662114.839999999850988
20141222,5739099.190000000409782,6038201.000000000000000,11777300.190000001341105
20141223,5728516.759999999776483,6220313.000000000000000,11948829.759999999776483
20141224,5719048.270000000484288,6233321.000000000000000,11952369.269999999552965
20141226,5711807.660000000149012,6216247.999999999068677,11928055.660000000149012
20141229,5699554.320000000298023,6243077.000000000931323,11942631.320000000298023
20141230,5728516.759999999776483,6182915.000000000000000,11911431.759999999776483
20141231,5630490.040000000968575,6195110.000000000000000,11825600.040000000968575
20150102,5613223.970000000670552,6178850.000000000000000,11792073.970000000670552
20150105,5520766.950000001117587,6056900.000000000000000,11577666.950000001117587
20150106,5509627.550000000745058,6072347.000000000000000,11581974.550000000745058
20150107,5565881.520000000484288,6227630.000000000000000,11793511.519999999552965
20150108,5831556.210000000894070,6304865.000000000000000,12136421.210000000894070
20150109,5776973.150000000372529,6152021.000000000000000,11928994.150000000372529
20150112,5711807.660000000149012,6154460.000000000000000,11866267.660000000149012
20150113,5740770.100000000558794,6118688.000000000000000,11859458.100000001490116
20150114,5755251.320000000298023,6096737.000000000000000,11851988.320000000298023
20150115,5818188.930000000633299,6079664.000000000000000,11897852.929999999701977
20150116,5891152.000000000000000,6181289.000000000000000,12072441.000000000000000
20150120,5882797.450000001117587,6182915.000000000000000,12065712.450000001117587
20150121,6088876.350000000558794,6145517.000000000000000,12234393.350000001490116
20150122,6341183.759999999776483,6180476.000000000000000,12521659.759999999776483
20150123,6238144.310000000521541,6145517.000000000000000,12383661.310000000521541
20150126,6216422.480000000447035,6165842.000000000000000,12382264.480000000447035
20150127,6127307.280000001192093,6091859.000000000931323,12219166.280000001192093
