訓練日期,20170413 - 20170717
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11071275.849999999627471
真實報酬,1071275.849999999627471

夏普值報酬,0.098427585000000
夏普值風險,0.031476507966928
夏普值,3.127017301392409

預期報酬,17486.885922703248070
風險,58109.838976586950594
趨勢值,0.300928142818446
找到最佳解世代,2842
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,5
BA[2](3),JNJ[12](11),JPM[13](16),KO[14](10),MCD[15](4),
Stock#,BA[2](3),JNJ[12](11),JPM[13](16),KO[14](10),MCD[15](4),
張數,11360,15948,23419,46576,15236,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,71.999999999767169,120.799999999813735,17.399999999906868,26.560000000055879,122.640000000130385,
20170413,1995115.199999999720603,1993461.319999999832362,1976581.000000000000000,1993013.600000000093132,1992382.000000000000000,9950553.119999999180436
20170417,2033739.199999999953434,2005103.359999999869615,2010772.739999999990687,2006054.880000000121072,2001371.239999999990687,10057041.419999999925494
20170418,2020447.999999999767169,1942906.159999999683350,1994379.439999999711290,2025151.039999999804422,2015845.440000000409782,9998730.079999998211861
20170419,2026695.999999999767169,1935729.559999999823049,1977986.139999999664724,2013507.039999999804422,2021025.679999999934807,9974944.419999999925494
20170420,2036920.000000000000000,1943703.559999999823049,2003512.849999999860302,2006986.400000000139698,2030624.360000000335276,10021747.169999999925494
20170421,2049188.799999999813735,1941949.279999999795109,1979391.279999999795109,2006054.880000000121072,2032757.400000000139698,10009341.639999998733401
20170424,2068273.599999999860302,1959970.519999999785796,2049179.899999999906868,2015835.840000000083819,2045250.919999999925494,10138510.779999999329448
20170425,2084745.599999999627471,1968582.439999999944121,2066978.340000000083819,2007917.919999999925494,2159063.839999999850988,10287288.140000000596046
20170426,2064297.599999999860302,1969858.279999999795109,2070959.570000000065193,2013972.800000000046566,2145960.880000000353903,10265049.130000000819564
20170427,2081451.199999999720603,1973526.319999999832362,2051755.989999999990687,2003260.320000000065193,2146417.960000000428408,10256411.790000000968575
20170428,2099740.799999999813735,1969220.359999999869615,2037470.399999999906868,2009780.959999999962747,2132096.120000000111759,10248308.640000000596046
20170501,2072022.399999999674037,1967147.119999999878928,2038875.540000000037253,2013041.280000000027940,2150684.040000000037253,10241770.379999998956919
20170502,2083950.399999999674037,1972888.399999999906868,2025760.899999999906868,2020959.200000000186265,2151902.919999999925494,10255461.820000000298023
20170503,2083382.399999999674037,1966987.639999999897555,2037470.399999999906868,2017698.880000000121072,2173080.960000000428408,10278620.279999999329448
20170504,2079747.199999999720603,1976875.399999999906868,2039812.299999999813735,2033534.719999999972060,2185726.839999999850988,10315696.459999999031425
20170505,2101785.599999999627471,1969858.279999999795109,2037470.399999999906868,2034932.000000000000000,2193497.200000000186265,10337543.480000000447035
20170508,2113259.200000000186265,1965711.799999999813735,2039812.299999999813735,2044247.200000000186265,2197763.280000000260770,10360793.780000001192093
20170509,2123369.599999999627471,1965073.879999999655411,2031615.649999999906868,2026548.320000000065193,2199591.600000000558794,10346199.050000000745058
20170510,2080996.799999999813735,1958694.679999999934807,2047540.570000000065193,2029342.880000000121072,2202029.360000000335276,10318604.289999999105930
20170511,2089630.399999999674037,1964914.399999999906868,2041217.439999999711290,2034000.480000000214204,2197306.200000000186265,10327068.919999999925494
20170512,2081791.999999999767169,1971931.519999999785796,2035596.879999999888241,2030274.400000000139698,2214827.600000000558794,10334422.400000000372529
20170515,2072022.399999999674037,2025357.319999999832362,2045432.860000000102445,2036795.039999999804422,2228844.720000000204891,10408452.339999999850988
20170516,2075543.999999999534339,2037796.759999999776483,2051755.989999999990687,2042384.160000000149012,2244233.080000000074506,10451713.989999998360872
20170517,2031012.799999999813735,2020253.959999999729916,1973536.529999999795109,2046110.239999999990687,2230825.399999999906868,10301738.929999999701977
20170518,2015335.999999999767169,2025038.359999999869615,1966276.639999999664724,2040055.359999999869615,2239967.000000000000000,10286673.359999999403954
20170519,2053505.599999999627471,2025516.799999999813735,1985480.219999999972060,2044712.959999999962747,2257336.040000000037253,10366551.619999999180436
20170522,2086563.199999999720603,2029663.279999999795109,1983606.699999999953434,2057754.239999999990687,2257945.479999999981374,10415532.900000000372529
20170523,2084518.399999999906868,2033809.759999999776483,2008430.840000000083819,2067535.200000000186265,2252308.160000000149012,10446602.359999999403954
20170524,2104512.000000000000000,2033650.279999999795109,2007259.889999999664724,2097343.840000000316650,2277904.640000000130385,10520670.650000000372529
20170525,2125187.199999999254942,2033969.239999999757856,1998829.049999999813735,2115042.719999999739230,2282170.720000000204891,10555198.929999997839332
20170526,2119734.399999999441206,2024240.959999999729916,1999063.239999999990687,2114111.200000000186265,2283389.600000000558794,10540539.400000000372529
20170530,2123028.799999999813735,2027271.079999999841675,1964871.500000000000000,2115974.240000000223517,2284456.120000000111759,10515601.740000000223517
20170531,2131548.799999999813735,2045451.799999999813735,1923888.250000000000000,2117837.279999999795109,2299082.679999999701977,10517808.809999998658895
20170601,2128027.199999999254942,2053904.239999999757856,1945199.540000000037253,2132741.600000000093132,2321936.679999999701977,10581809.259999997913837
20170602,2161084.799999999813735,2074636.639999999897555,1935363.559999999823049,2137399.200000000186265,2342505.280000000260770,10650989.480000000447035
20170605,2146544.000000000000000,2079102.080000000074506,1938876.410000000149012,2142056.800000000279397,2328031.080000000074506,10634610.370000001043081
20170606,2121552.000000000000000,2086597.639999999897555,1942857.639999999664724,2141591.040000000037253,2304262.919999999925494,10596861.239999998360872
20170607,2136888.000000000000000,2085321.799999999813735,1965105.689999999711290,2119700.319999999832362,2315080.479999999981374,10622096.289999999105930
20170608,2157676.799999999813735,2082132.199999999953434,1989461.449999999953434,2102001.439999999944121,2307310.120000000111759,10638582.010000001639128
20170609,2158812.799999999813735,2097761.239999999757856,2036533.639999999664724,2110850.879999999888241,2308071.919999999925494,10712030.479999998584390
20170612,2158472.000000000000000,2102386.159999999683350,2037002.020000000018626,2111316.640000000130385,2262211.560000000055879,10671388.380000000819564
20170613,2170854.399999999441206,2105575.759999999776483,2043793.529999999795109,2097343.840000000316650,2282780.160000000149012,10700347.689999999478459
20170614,2185508.799999999813735,2117536.759999999776483,2039578.110000000102445,2109919.359999999869615,2295883.120000000111759,10748426.149999998509884
20170615,2220384.000000000000000,2121842.719999999739230,2027400.229999999748543,2107590.560000000055879,2303348.759999999776483,10780566.269999999552965
20170616,2231630.399999999441206,2142734.599999999627471,2018266.820000000065193,2110385.120000000111759,2315842.280000000260770,10818859.219999998807907
20170619,2261620.799999999813735,2138269.159999999683350,2062528.729999999748543,2113645.439999999944121,2333363.679999999701977,10909427.809999998658895
20170620,2253100.799999999813735,2140661.359999999869615,2049648.279999999795109,2124357.919999999925494,2347533.160000000149012,10915301.519999999552965
20170621,2262643.199999999254942,2151665.479999999981374,2040280.679999999934807,2106193.279999999795109,2342352.919999999925494,10903135.559999998658895
20170622,2265710.399999999441206,2169846.200000000186265,2037938.779999999795109,2099206.879999999888241,2358655.440000000409782,10931357.699999999254942
20170623,2297404.799999999813735,2175906.439999999944121,2034191.739999999990687,2107590.560000000055879,2356217.679999999701977,10971311.220000000670552
20170626,2271844.799999999813735,2174471.119999999646097,2043090.959999999729916,2115974.240000000223517,2345857.200000000186265,10951238.320000000298023
20170627,2259462.399999999441206,2153260.279999999795109,2062060.349999999860302,2098275.359999999869615,2342200.560000000055879,10915258.949999999254942
20170628,2267755.200000000186265,2134282.159999999683350,2103511.979999999515712,2110850.879999999888241,2351037.440000000409782,10967437.660000000149012
20170629,2243217.599999999627471,2115463.519999999552965,2134659.250000000000000,2088028.639999999897555,2333211.319999999832362,10914580.330000000074506
20170630,2246512.000000000000000,2109881.719999999739230,2140514.000000000000000,2088960.160000000149012,2333668.399999999906868,10919536.279999999329448
20170703,2256054.399999999441206,2119610.000000000000000,2172129.649999999906868,2084768.320000000065193,2323612.640000000130385,10956175.009999999776483
20170705,2292633.599999999627471,2131411.519999999552965,2193909.320000000298023,2087562.880000000121072,2332297.160000000149012,11037814.480000000447035
20170706,2288884.799999999813735,2113549.759999999776483,2186883.619999999646097,2068000.959999999962747,2332601.880000000353903,10989921.020000001415610
20170707,2298995.200000000186265,2113868.719999999739230,2197890.549999999813735,2067535.200000000186265,2381052.360000000335276,11059342.030000001192093
20170710,2317057.599999999627471,2098080.200000000186265,2182434.009999999776483,2067069.440000000176951,2369625.360000000335276,11034266.609999999403954
