訓練日期,20170327 - 20170627
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10926098.219999998807907
真實報酬,926098.219999998807907

夏普值報酬,0.083909822000000
夏普值風險,0.029344014123244
夏普值,2.859520911064881

預期報酬,15856.328884108250350
風險,48231.413105596722744
趨勢值,0.328755221195630
找到最佳解世代,1912
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
BA[2](8),JNJ[12](14),KO[14](2),MCD[15](1),WMT[28](9),XOM[29](18),
Stock#,BA[2](8),JNJ[12](14),KO[14](2),MCD[15](1),WMT[28](9),XOM[29](18),
張數,9479,13282,39569,12885,23942,20517,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,68.219999999972060,40.639999999897555,19.720000000204891,120.099999999860302,63.380000000121072,70.089999999850988,
20170327,1669320.119999999878928,1670916.239999999757856,1674579.800000000279397,1668598.750000000000000,1667863.100000000093132,1667076.339999999850988,10018358.349999999627471
20170328,1681263.660000000149012,1669056.759999999776483,1678932.390000000130385,1668083.349999999627471,1683664.820000000065193,1679181.369999999878928,10060186.349999999627471
20170329,1683822.989999999990687,1659228.079999999841675,1678536.700000000186265,1660223.500000000000000,1693720.459999999962747,1682874.429999999701977,10058410.160000000149012
20170330,1687140.639999999897555,1655774.759999999776483,1685659.120000000344589,1666408.299999999813735,1714071.160000000149012,1717342.989999999990687,10126400.970000000670552
20170331,1676524.160000000149012,1654313.739999999757856,1679328.080000000074506,1670144.949999999953434,1725802.739999999990687,1682669.260000000009313,10088786.929999999701977
20170403,1674533.570000000065193,1656173.219999999972060,1678141.010000000009313,1670144.949999999953434,1719817.239999999990687,1683900.279999999795109,10082714.269999999552965
20170404,1693965.519999999785796,1656040.399999999906868,1688824.640000000130385,1666021.749999999767169,1724126.800000000279397,1690055.379999999888241,10119038.490000002086163
20170405,1678609.540000000037253,1657634.239999999757856,1684472.050000000279397,1680452.949999999720603,1715507.680000000167638,1693338.099999999860302,10110018.559999998658895
