訓練日期,20160212 - 20160516
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11203715.009999999776483
真實報酬,1203715.009999999776483

夏普值報酬,0.111671501000000
夏普值風險,0.031341891317601
夏普值,3.563010919423580

預期報酬,19574.033953557904169
風險,64838.181821825332008
趨勢值,0.301890543558842
找到最佳解世代,1998
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,3
JNJ[12](1),MCD[15](2),XOM[29](4),
Stock#,JNJ[12](1),MCD[15](2),XOM[29](4),
張數,32776,28555,41876,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,13.799999999813735,107.850000000093132,3.400000000372529,
20160212,3337266.119999999646097,3367599.000000000465661,3393215.680000000633299,10098081.800000000745058
20160216,3353654.119999999646097,3403292.750000000465661,3401172.120000000111759,10158119.990000000223517
20160217,3359553.799999999813735,3387873.050000000279397,3433835.400000000372529,10181263.250000000000000
20160218,3416584.039999999571592,3345897.200000000186265,3452679.600000000558794,10215161.839999999850988
20160219,3413961.959999999497086,3327622.000000000000000,3454773.400000000372529,10196358.359999999403954
20160222,3433299.799999999813735,3360174.700000000186265,3450167.040000000502914,10243642.540000000968575
20160223,3411339.879999999888241,3338187.350000000093132,3401590.880000000353903,10151119.110000001266599
20160224,3440182.759999999776483,3342756.150000000372529,3413734.920000000391155,10196674.830000000074506
20160225,3486724.679999999701977,3380163.200000000186265,3434254.160000000614673,10301143.040000000968575
20160226,3467059.080000000074506,3342756.150000000372529,3423366.400000000372529,10233182.630000000819564
20160229,3448376.759999999776483,3346468.299999999813735,3356364.800000000745058,10151210.859999999403954
20160301,3514256.519999999552965,3393869.600000000093132,3403684.680000000633299,10311811.800000000745058
20160302,3508356.839999999850988,3383304.250000000000000,3463148.600000000558794,10354810.690000001341105
20160303,3495574.200000000186265,3332190.799999999813735,3450585.800000000745058,10278351.800000000745058
20160304,3490657.799999999813735,3346182.750000000465661,3445979.440000000409782,10282820.990000002086163
20160307,3498524.039999999571592,3345326.100000000093132,3536850.360000000335276,10380701.500000000000000
20160308,3481480.519999999552965,3381590.950000000186265,3460217.280000000260770,10323289.750000000000000
20160309,3501801.640000000130385,3416428.050000000279397,3450585.800000000745058,10368816.490000002086163
20160310,3511634.439999999944121,3426136.750000000000000,3441373.080000000540167,10379145.269999999552965
20160311,3530316.759999999776483,3470968.100000000093132,3441791.840000000316650,10443077.699999999254942
20160314,3528677.959999999497086,3509517.350000000093132,3451004.560000000055879,10489200.869999999180436
20160315,3531955.560000000055879,3524651.500000000465661,3468173.720000000204891,10524781.780000001192093
20160316,3520483.959999999497086,3527221.450000000186265,3470267.520000000484288,10517973.929999999701977
20160317,3498524.039999999571592,3516941.649999999906868,3521775.000000000000000,10537241.689999999478459
20160318,3523433.799999999813735,3543212.250000000000000,3525962.600000000558794,10592609.650000000372529
20160321,3516223.080000000074506,3535502.400000000372529,3501674.520000000484288,10553401.000000000000000
20160322,3519500.679999999701977,3535787.949999999720603,3522612.520000000484288,10577902.149999998509884
20160323,3556209.799999999813735,3546353.299999999813735,3507118.400000000372529,10609682.500000000000000
20160324,3549982.359999999869615,3520653.800000000279397,3516749.880000000353903,10587387.040000000968575
20160328,3547360.279999999795109,3517227.200000000186265,3526800.120000000111759,10591388.600000001490116
20160329,3577186.439999999944121,3540071.200000000186265,3539781.680000000633299,10657040.320000000298023
20160330,3571942.279999999795109,3593183.500000000000000,3539362.920000000391155,10704489.699999999254942
20160331,3546377.000000000000000,3588900.250000000465661,3500418.240000000689179,10635696.490000000223517
20160401,3578825.239999999757856,3627163.950000000186265,3474036.360000000335276,10680026.550000000745058
20160404,3559159.640000000130385,3642869.199999999720603,3482411.560000000055879,10684441.400000000372529
20160405,3570959.000000000000000,3637443.750000000000000,3442629.360000000335276,10651033.109999999403954
20160406,3586363.719999999739230,3641441.450000000186265,3488692.960000000428408,10716499.130000000819564
20160407,3581447.319999999832362,3659145.549999999813735,3449329.520000000484288,10689923.390000000596046
20160408,3575875.399999999441206,3654005.649999999906868,3484505.360000000335276,10714387.410000000149012
20160411,3571614.519999999552965,3642583.650000000372529,3489111.720000000204891,10703310.890000000596046
