訓練日期,20120110 - 20120412
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11896131.870000001043081
真實報酬,1896131.870000001043081

夏普值報酬,0.180913187000000
夏普值風險,0.056902980184426
夏普值,3.179327100507759

預期報酬,31762.790220039503765
風險,91635.442879235983128
趨勢值,0.346621233248132
找到最佳解世代,2652
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,4
AAPL[0](1),HD[9](2),IBM[10](3),MCD[15](28),
Stock#,AAPL[0](1),HD[9](2),IBM[10](3),MCD[15](28),
張數,41493,57830,13767,25090,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,46.750000000000000,9.100000000093132,50.469999999739230,32.399999999906868,
20120110,2508713.530000000260770,2517349.000000000000000,2496145.239999999757856,2501505.399999999906868,10023713.169999999925494
20120111,2504564.229999999981374,2513300.900000000372529,2510049.909999999683350,2507276.100000000093132,10035191.140000000596046
20120112,2497925.350000000093132,2509252.800000000279397,2485682.319999999832362,2523333.699999999720603,10016194.169999999925494
20120113,2488381.959999999962747,2516192.399999999906868,2466546.189999999478459,2517813.899999999906868,9988934.449999999254942
20120117,2517427.060000000055879,2529493.300000000279397,2478110.469999999739230,2522831.899999999906868,10047862.730000000447035
20120118,2543567.649999999906868,2595419.500000000465661,2492841.159999999683350,2548172.799999999813735,10180001.109999999403954
20120119,2535683.979999999981374,2626069.399999999906868,2485269.310000000055879,2540645.799999999813735,10187668.489999998360872
20120120,2491286.469999999739230,2574022.399999999906868,2595405.310000000055879,2552689.000000000000000,10213403.179999999701977
20120123,2533609.330000000074506,2595419.500000000465661,2615505.129999999422580,2532867.899999999906868,10277401.859999999403954
20120124,2492116.330000000074506,2600045.900000000372529,2642350.779999999795109,2477669.899999999906868,10212182.910000000149012
20120125,2647715.080000000074506,2617394.899999999906868,2639597.379999999422580,2489713.100000000093132,10394420.459999999031425
20120126,2635682.110000000335276,2599467.600000000093132,2629272.129999999422580,2488458.600000000093132,10352880.439999999478459
20120127,2651449.449999999720603,2594841.199999999720603,2622113.290000000037253,2476164.500000000000000,10344568.439999999478459
20120130,2685473.709999999962747,2589058.200000000186265,2650197.969999999739230,2476164.500000000000000,10400894.379999998956919
20120131,2705805.279999999795109,2567082.800000000279397,2651574.669999999459833,2485196.899999999906868,10409659.650000000372529
20120201,2704145.560000000055879,2571709.200000000186265,2651850.009999999776483,2468888.399999999906868,10396593.169999999925494
20120202,2697921.609999999869615,2571130.900000000372529,2636843.979999999981374,2474408.200000000186265,10380304.690000001341105
20120203,2724892.060000000055879,2612190.200000000186265,2665892.349999999627471,2509283.299999999813735,10512257.910000000149012
20120206,2750202.790000000037253,2613925.100000000093132,2654603.409999999683350,2496236.500000000000000,10514967.800000000745058
20120207,2779247.890000000130385,2628960.900000000372529,2661899.919999999459833,2531864.299999999813735,10601973.010000001639128
20120208,2825720.049999999813735,2612190.200000000186265,2656393.119999999646097,2510286.899999999906868,10604590.269999999552965
20120209,2923228.600000000093132,2617973.200000000186265,2658871.179999999701977,2508781.500000000000000,10708854.480000000447035
20120210,2924888.319999999832362,2621443.000000000000000,2649096.609999999403954,2495734.699999999720603,10691162.629999998956919
20120213,2979244.149999999906868,2656141.000000000000000,2651850.009999999776483,2500250.899999999906868,10787486.060000000521541
20120214,3019907.290000000037253,2663658.900000000372529,2646343.209999999497086,2497741.899999999906868,10827651.300000000745058
20120215,2950199.049999999813735,2643418.400000000372529,2646756.219999999739230,2474157.299999999813735,10714530.969999998807907
20120216,2976754.569999999832362,2656141.000000000000000,2657356.810000000055879,2490465.799999999813735,10780718.179999999701977
20120217,2976339.640000000130385,2701248.400000000372529,2662863.609999999403954,2508781.500000000000000,10849233.150000000372529
20120221,3051856.899999999906868,2713392.700000000186265,2662450.599999999627471,2521326.500000000000000,10949026.699999999254942
20120222,3041068.720000000204891,2693152.200000000186265,2669058.759999999776483,2525591.799999999813735,10928871.480000000447035
20120223,3060985.359999999869615,2715127.600000000093132,2720547.339999999850988,2529355.299999999813735,11026015.600000001490116
20120224,3096669.339999999850988,2716862.500000000000000,2722612.389999999664724,2517061.199999999720603,11053205.429999999701977
20120227,3116585.979999999981374,2713971.000000000000000,2719445.979999999981374,2518064.799999999813735,11068067.760000001639128
20120228,3173846.319999999832362,2731320.000000000000000,2725641.129999999422580,2503512.600000000093132,11134320.049999998882413
20120229,3215339.319999999832362,2750982.200000000186265,2708432.379999999422580,2490967.600000000093132,11165721.499999998137355
20120301,3227372.290000000037253,2744620.900000000372529,2719445.979999999981374,2490214.899999999906868,11181654.070000000298023
20120302,3231521.589999999850988,2741729.399999999906868,2737067.739999999757856,2496487.399999999906868,11206806.130000000819564
20120305,3160568.560000000055879,2740572.800000000279397,2762536.689999999478459,2507527.000000000000000,11171205.050000000745058
