訓練日期,20110210 - 20110513
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11164570.150000000372529
真實報酬,1164570.150000000372529

夏普值報酬,0.107757015000000
夏普值風險,0.036009351027408
夏普值,2.992473119495577

預期報酬,20135.188790903761401
風險,135997.021782221738249
趨勢值,0.148056100986882
找到最佳解世代,1958
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CVX[5](5),PFE[20](1),UNH[23](4),
Stock#,CVX[5](5),PFE[20](1),UNH[23](4),
張數,34635,174978,79233,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,60.600000000093132,2.100000000093132,0.689999999944121,
20110210,3349265.100000000093132,3329833.440000000409782,3361856.879999999888241,10040956.420000001788139
20110211,3340606.350000000093132,3294837.839999999850988,3357895.229999999981374,9993340.419999999925494
20110214,3357923.850000000093132,3333333.000000000000000,3364233.870000000111759,10055491.719999998807907
20110215,3336796.500000000000000,3333333.000000000000000,3330163.680000000167638,10000294.179999999701977
20110216,3347879.700000000186265,3373577.940000000409782,3367403.189999999944121,10088861.830000000074506
20110217,3365543.550000000279397,3389325.960000000428408,3374534.160000000149012,10129404.670000001788139
20110218,3419227.800000000279397,3357829.920000000391155,3394342.410000000149012,10171401.130000000819564
20110222,3474643.799999999813735,3305336.520000000018626,3403850.370000000111759,10183831.690000001341105
20110223,3542182.049999999813735,3282589.380000000353903,3399888.719999999739230,10224661.149999998509884
20110224,3533869.649999999906868,3307086.299999999813735,3387211.439999999944121,10228168.389999998733401
20110225,3536294.100000000093132,3300087.180000000167638,3368987.850000000093132,10205370.130000000819564
20110228,3593441.850000000093132,3366578.819999999832362,3373741.829999999608845,10333763.500000000000000
20110301,3564002.100000000093132,3349081.020000000018626,3363441.540000000037253,10276525.660000000149012
20110302,3583744.050000000279397,3357829.920000000391155,3451390.169999999925494,10392965.140000000596046
20110303,3608681.250000000000000,3459317.160000000149012,3548846.759999999776483,10616846.169999999925494
20110304,3593441.850000000093132,3440069.580000000074506,3521907.540000000037253,10555419.969999998807907
20110307,3567811.950000000186265,3431320.680000000167638,3451390.169999999925494,10450523.800000000745058
20110308,3594134.549999999813735,3443569.140000000130385,3472783.079999999608845,10510487.769999999552965
20110309,3537679.500000000000000,3440069.580000000074506,3525076.859999999869615,10502826.939999999478459
20110310,3431696.399999999906868,3387576.180000000167638,3469613.759999999776483,10288887.339999999850988
20110311,3461136.150000000372529,3406823.759999999776483,3453767.160000000149012,10321728.070000000298023
20110314,3491268.600000000093132,3466316.279999999795109,3419696.969999999739230,10377282.849999999627471
20110315,3506161.650000000372529,3457567.380000000353903,3390380.759999999776483,10354110.790000000968575
20110316,3446589.450000000186265,3377077.500000000000000,3316694.069999999832362,10140362.019999999552965
20110317,3541143.000000000000000,3478564.739999999757856,3349179.600000000093132,10368888.339999999850988
20110318,3560538.600000000093132,3531058.140000000130385,3375326.490000000223517,10466924.230000000447035
20110321,3643316.250000000000000,3496062.540000000037253,3422073.959999999962747,10561453.750000000000000
20110322,3644701.650000000372529,3489063.420000000391155,3386419.109999999869615,10520185.179999999701977
20110323,3653360.400000000372529,3485563.860000000335276,3387211.439999999944121,10526136.700000001117587
20110324,3649896.899999999906868,3552055.500000000000000,3470406.089999999850988,10672359.490000000223517
20110325,3698385.899999999906868,3560804.400000000372529,3466444.439999999944121,10725635.740000000223517
20110328,3672756.000000000465661,3546806.160000000149012,3475952.399999999906868,10695515.560000000521541
20110329,3718820.550000000279397,3566053.739999999757856,3524284.529999999795109,10809159.820000000298023
20110330,3740986.950000000186265,3559054.620000000111759,3597178.889999999664724,10897221.460000000894070
20110331,3722976.750000000000000,3553805.279999999795109,3581332.290000000037253,10858115.320000000298023
20110401,3751723.799999999813735,3566053.739999999757856,3613817.819999999832362,10931596.359999999403954
20110404,3748606.650000000372529,3594050.219999999739230,3613025.490000000223517,10955683.359999999403954
20110405,3786705.149999999906868,3578302.200000000186265,3572616.660000000149012,10937625.009999999776483
20110406,3763499.700000000186265,3550305.719999999739230,3562316.370000000111759,10876122.789999999105930
20110407,3773197.500000000000000,3557304.839999999850988,3520322.879999999888241,10850826.219999998807907
20110408,3798134.700000000186265,3580051.980000000447035,3516361.229999999981374,10894548.910000000149012
20110411,3733020.899999999906868,3616797.360000000335276,3511607.250000000000000,10861426.509999999776483
20110412,3608334.900000000372529,3580051.980000000447035,3550431.419999999925494,10738819.300000000745058
20110413,3595519.950000000186265,3580051.980000000447035,3512399.579999999608845,10687972.509999999776483
20110414,3632579.399999999906868,3585301.319999999832362,3551223.750000000000000,10769105.469999998807907
20110415,3679683.000000000000000,3592300.440000000409782,3563901.029999999795109,10835885.470000000670552
20110418,3619418.100000000093132,3569553.299999999813735,3450597.839999999850988,10639570.240000000223517
20110419,3650589.600000000093132,3592300.440000000409782,3483083.370000000111759,10725974.410000000149012
20110420,3734059.950000000186265,3567803.520000000018626,3505268.609999999869615,10807133.080000000074506
20110421,3745143.149999999906868,3462816.719999999739230,3788130.419999999925494,10996091.289999999105930
20110425,3720552.300000000279397,3524059.020000000018626,3780207.120000000111759,11024819.440000001341105
20110426,3766616.850000000093132,3532807.920000000391155,3751683.240000000223517,11051109.010000001639128
20110427,3774236.550000000279397,3609798.239999999757856,3819823.620000000111759,11203859.410000000149012
20110428,3768694.950000000186265,3644793.839999999850988,3890340.990000000223517,11303830.780000001192093
20110429,3790515.000000000000000,3669290.759999999776483,3900641.279999999795109,11360448.039999999105930
20110502,3746874.900000000372529,3678039.660000000149012,3952142.729999999981374,11377058.290000000968575
20110503,3677258.550000000279397,3576552.420000000391155,3936296.129999999888241,11190108.100000001490116
20110504,3625652.400000000372529,3611548.020000000018626,3926788.169999999925494,11163989.589999999850988
20110505,3554304.300000000279397,3567803.520000000018626,3928372.829999999608845,11050481.650000000372529
20110506,3563309.399999999906868,3595800.000000000000000,3971158.649999999906868,11130269.050000000745058
20110509,3605217.750000000000000,3604548.900000000372529,3998890.199999999720603,11208657.849999999627471
20110510,3614569.200000000186265,3650043.180000000167638,4002059.520000000018626,11266672.900000000372529
20110511,3541835.700000000186265,3606298.680000000167638,3963235.350000000093132,11111370.730000000447035
20110512,3559153.200000000186265,3655292.520000000018626,3967989.329999999608845,11182436.050000000745058
20110513,3546338.250000000000000,3660541.860000000335276,3957689.040000000037253,11164570.150000000372529
