訓練日期,20091005 - 20100106
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11618149.929999999701977
真實報酬,1618149.929999999701977

夏普值報酬,0.153114993000000
夏普值風險,0.050647977574826
夏普值,3.023121560457006

預期報酬,31173.123343511451822
風險,99800.864353517041309
趨勢值,0.312353240079056
找到最佳解世代,2500
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](10),MSFT[18](2),V[25](1),VZ[26](22),
Stock#,JNJ[12](10),MSFT[18](2),V[25](1),VZ[26](22),
張數,41855,100160,147492,89445,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,0.850000000093132,6.399999999906868,10.600000000093132,12.250000000000000,
20091005,2503766.950000000186265,2467948.799999999813735,2513274.279999999795109,2505366.700000000186265,9990356.730000000447035
20091006,2523438.800000000279397,2515024.000000000000000,2517699.040000000037253,2523255.700000000186265,10079417.540000000968575
20091007,2541017.899999999906868,2514022.399999999906868,2613568.839999999850988,2457066.399999999906868,10125675.539999999105930
20091008,2550644.549999999813735,2571113.600000000093132,2644542.160000000149012,2438282.950000000186265,10204583.260000001639128
20091009,2584128.550000000279397,2559094.399999999906868,2690264.679999999701977,2438282.950000000186265,10271770.580000000074506
20091012,2617194.000000000000000,2576121.599999999627471,2718288.160000000149012,2424866.199999999720603,10336469.959999999031425
20091013,2553574.399999999906868,2585136.000000000000000,2753686.240000000223517,2426655.100000000093132,10319051.740000000223517
20091014,2534321.100000000093132,2600160.000000000000000,2758111.000000000000000,2420393.949999999720603,10312986.049999998882413
20091015,2550644.549999999813735,2675280.000000000000000,2768435.439999999944121,2434705.149999999906868,10429065.140000000596046
20091016,2530554.149999999906868,2654246.399999999906868,2738937.040000000037253,2416816.149999999906868,10340553.740000000223517
20091019,2559852.649999999906868,2640224.000000000000000,2764010.679999999701977,2422182.849999999627471,10386270.179999999701977
20091020,2535995.300000000279397,2641225.600000000093132,2766960.520000000484288,2408766.100000000093132,10352947.520000001415610
20091021,2524275.900000000372529,2662259.199999999720603,2772860.200000000186265,2427549.550000000279397,10386944.849999999627471
20091022,2550644.549999999813735,2663260.799999999813735,2790559.240000000223517,2426655.100000000093132,10431119.689999999478459
20091023,2533902.550000000279397,2806489.600000000093132,2733037.360000000335276,2412343.899999999906868,10485773.410000000149012
20091026,2515067.800000000279397,2872595.199999999720603,2684365.000000000000000,2395349.350000000093132,10467377.349999999627471
20091027,2512137.950000000186265,2863580.799999999813735,2725662.760000000242144,2441860.750000000000000,10543242.259999999776483
20091028,2493303.200000000186265,2806489.600000000093132,2823007.479999999981374,2504472.250000000000000,10627272.530000001192093
20091029,2505441.149999999906868,2826521.599999999627471,2849556.040000000037253,2512522.299999999813735,10694041.089999999850988
20091030,2471538.600000000093132,2777443.199999999720603,2793509.080000000074506,2474060.950000000186265,10516551.830000000074506
20091102,2489954.800000000279397,2792467.199999999720603,2849556.040000000037253,2459749.750000000000000,10591727.789999999105930
20091103,2466516.000000000000000,2757411.200000000186265,2862830.320000000298023,2431127.350000000093132,10517884.870000001043081
20091104,2491210.450000000186265,2810496.000000000000000,2887903.959999999962747,2433810.700000000186265,10623421.109999999403954
20091105,2510463.750000000000000,2851561.599999999627471,2935101.399999999906868,2450805.250000000000000,10747932.000000000000000
20091106,2523857.350000000093132,2856569.600000000093132,2938051.240000000223517,2472272.050000000279397,10790750.240000000223517
20091109,2542692.100000000093132,2903644.799999999813735,2992623.279999999795109,2523255.700000000186265,10962215.879999998956919
20091110,2562782.500000000000000,2905648.000000000000000,2989673.439999999944121,2534883.549999999813735,10992987.489999998360872
20091111,2547714.700000000186265,2916665.600000000093132,2979349.000000000000000,2538461.350000000093132,10982190.650000000372529
20091112,2559434.100000000093132,2940704.000000000000000,2946900.760000000242144,2522361.250000000000000,10969400.109999999403954
20091113,2571153.500000000000000,2967747.199999999720603,2949850.600000000093132,2519677.900000000372529,11008429.199999999254942
20091116,2602963.299999999813735,2958732.799999999813735,2933626.479999999981374,2536672.449999999720603,11031995.029999999329448
20091117,2602126.200000000186265,3004806.399999999906868,2970499.479999999981374,2563505.950000000186265,11140938.030000001192093
20091118,2608404.450000000186265,3015824.000000000000000,2964599.800000000279397,2564400.400000000372529,11153228.650000000372529
20091119,2613008.500000000000000,2982771.200000000186265,2957225.200000000186265,2551878.100000000093132,11104883.000000000000000
20091120,2607985.900000000372529,2966745.600000000093132,2949850.600000000093132,2544722.500000000000000,11069304.599999999627471
20091123,2623890.799999999813735,2998796.799999999813735,2966074.720000000204891,2619856.299999999813735,11208618.620000001043081
20091124,2644399.750000000000000,2995792.000000000000000,2973449.320000000298023,2665473.250000000000000,11279114.320000000298023
20091125,2649422.350000000093132,2983772.799999999813735,3016222.000000000000000,2678890.000000000000000,11328307.150000000372529
20091127,2632261.800000000279397,2926681.599999999627471,2961649.959999999962747,2644900.899999999906868,11165494.259999999776483
20091130,2630169.050000000279397,2945712.000000000000000,2986723.600000000093132,2630589.700000000186265,11193194.350000001490116
20091201,2658211.899999999906868,3005808.000000000000000,3058994.679999999701977,2704829.049999999813735,11427843.629999998956919
20091202,2673698.250000000000000,2982771.200000000186265,3032446.120000000111759,2730768.100000000093132,11419683.669999999925494
20091203,2685417.649999999906868,2987779.199999999720603,2951325.520000000484288,2733451.449999999720603,11357973.820000000298023
20091204,2693788.649999999906868,3002803.199999999720603,2960175.040000000037253,2734345.899999999906868,11391112.790000000968575
20091207,2694207.200000000186265,2983772.799999999813735,2946900.760000000242144,2780857.299999999813735,11405738.059999998658895
20091208,2689184.600000000093132,2961737.600000000093132,2949850.600000000093132,2792485.149999999906868,11393257.950000001117587
20091209,2694625.750000000000000,2975760.000000000000000,3014747.080000000074506,2784435.100000000093132,11469567.929999999701977
20091210,2710949.199999999720603,2991785.600000000093132,3035395.959999999962747,2814846.399999999906868,11552977.160000000149012
20091211,2714297.599999999627471,2989782.399999999906868,2999997.879999999888241,2821107.549999999813735,11525185.429999999701977
