訓練日期,20171109 - 20180213
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12367350.630000000819564
真實報酬,2367350.630000000819564

夏普值報酬,0.228035063000000
夏普值風險,0.074859042935003
夏普值,3.046192604920080

預期報酬,41856.081419099980849
風險,243173.185769857314881
趨勢值,0.172124575687030
找到最佳解世代,1983
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](2),NKE[19](4),
Stock#,BA[2](2),NKE[19](4),
張數,18827,89670,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,113.610000000335276,0.799999999813735,
20171109,4945966.509999999776483,5033177.900000000372529,9979144.410000000149012
20171110,4911136.560000000521541,5029591.100000000558794,9940727.660000000149012
20171113,4940694.950000000186265,5013450.499999999068677,9954145.449999999254942
20171114,4928269.129999999888241,5019727.399999999441206,9947996.529999999329448
20171115,4948978.830000001005828,5078012.900000000372529,10026991.730000000447035
20171116,4964793.509999999776483,5131814.899999999441206,10096608.410000000149012
20171117,4937682.629999999888241,5307568.099999999627471,10245250.730000000447035
20171120,4982302.620000000111759,5312948.299999999813735,10295250.919999999925494
20171121,5026734.340000000782311,5325502.099999999627471,10352236.440000001341105
20171122,4992092.660000000149012,5296807.700000000186265,10288900.359999999403954
20171124,5005836.370000000111759,5319225.200000000186265,10325061.570000000298023
20171127,5000188.270000000484288,5347022.900000000372529,10347211.170000001788139
20171128,5045561.340000000782311,5342539.399999999441206,10388100.740000000223517
20171129,5070224.710000000894070,5412482.000000000000000,10482706.710000000894070
20171130,5211427.210000000894070,5417862.200000000186265,10629289.410000000149012
20171201,5109384.870000000111759,5369440.400000000372529,10478825.269999999552965
20171204,5233454.800000000745058,5389167.799999999813735,10622622.600000001490116
20171205,5187705.190000000409782,5417862.200000000186265,10605567.390000000596046
20171206,5239102.900000000372529,5355093.199999999254942,10594196.099999999627471
20171207,5308762.800000000745058,5434002.799999999813735,10742765.600000001490116
20171208,5382752.910000000149012,5496771.799999999813735,10879524.710000000894070
20171211,5331166.930000000633299,5551470.499999999068677,10882637.429999999701977
20171212,5458813.990000000223517,5574784.700000000186265,11033598.690000001341105
20171213,5494585.290000000037253,5765781.799999999813735,11260367.089999999850988
20171214,5532992.370000000111759,5786405.900000000372529,11319398.269999999552965
20171215,5534121.990000000223517,5809720.100000000558794,11343842.089999999850988
20171218,5575541.389999999664724,5811513.500000000000000,11387054.890000000596046
20171219,5596439.360000000335276,5760401.599999999627471,11356840.960000000894070
20171220,5608676.910000000149012,5702116.100000000558794,11310793.010000001639128
20171221,5554643.419999999925494,5807926.699999999254942,11362570.119999999180436
20171222,5555961.310000000521541,5675215.099999999627471,11231176.410000000149012
20171226,5560856.330000001005828,5707496.299999999813735,11268352.630000000819564
20171227,5565751.350000000558794,5644727.299999999813735,11210478.650000000372529
20171228,5579495.060000000521541,5644727.299999999813735,11224222.359999999403954
20171229,5552384.180000000633299,5608859.299999999813735,11161243.480000000447035
20180102,5588720.290000000037253,5693149.099999999627471,11281869.390000000596046
20180103,5606794.210000000894070,5692252.399999999441206,11299046.609999999403954
20180104,5585519.700000000186265,5688665.599999999627471,11274185.300000000745058
20180105,5814644.290000000037253,5737087.399999999441206,11551731.689999999478459
20180108,5839307.660000000149012,5788199.299999999813735,11627506.960000000894070
20180109,5995195.220000000670552,5746951.100000000558794,11742146.320000000298023
20180110,6029648.629999999888241,5758608.199999999254942,11788256.829999998211861
20180111,6177628.850000000558794,5764885.100000000558794,11942513.950000001117587
20180112,6329939.280000000260770,5798959.700000000186265,12128898.980000000447035
20180116,6310170.930000000633299,5686872.200000000186265,11997043.130000000819564
20180117,6608578.879999999888241,5721843.500000000000000,12330422.379999998956919
20180118,6404305.930000000633299,5748744.500000000000000,12153050.429999999701977
20180119,6358556.320000000298023,6026721.499999999068677,12385277.820000000298023
20180122,6363639.610000000335276,5953192.099999999627471,12316831.710000000894070
20180123,6318266.540000000037253,6020444.599999999627471,12338711.140000000596046
20180124,6301322.240000000223517,6097560.799999999813735,12398883.039999999105930
20180125,6459845.580000001005828,6071556.499999999068677,12531402.080000000074506
20180126,6461916.550000000745058,6101147.600000000558794,12563064.150000002235174
20180129,6416731.750000000000000,6059899.399999999441206,12476631.149999998509884
20180130,6358179.780000000260770,6037481.899999999441206,12395661.679999999701977
20180131,6671837.600000000558794,6117288.199999999254942,12789125.800000000745058
20180201,6720222.990000000223517,6066176.300000000745058,12786399.290000000968575
20180202,6569042.180000000633299,6027618.199999999254942,12596660.379999998956919
20180205,6191937.370000000111759,5773852.099999999627471,11965789.469999998807907
20180206,6418426.180000000633299,5848278.199999999254942,12266704.379999998956919
20180207,6554168.850000000558794,5885042.899999999441206,12439211.750000000000000
20180208,6206622.430000000633299,5603479.099999999627471,11810101.530000001192093
20180209,6266304.020000000484288,5872489.099999999627471,12138793.120000001043081
20180212,6472836.210000000894070,5916427.400000000372529,12389263.610000001266599
20180213,6460786.930000000633299,5906563.700000000186265,12367350.630000000819564
