訓練日期,20100720 - 20101019
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11083252.880000000819564
真實報酬,1083252.880000000819564

夏普值報酬,0.099625288000000
夏普值風險,0.035104356726335
夏普值,2.837975034741552

預期報酬,20080.270427480925719
風險,99610.844570102795842
趨勢值,0.201587191777589
找到最佳解世代,2007
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](1),MRK[17](23),VZ[26](2),
Stock#,MCD[15](1),MRK[17](23),VZ[26](2),
張數,47680,93109,124750,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,24.200000000186265,30.800000000279397,13.000000000000000,
20100720,3379105.800000000279397,3320297.739999999757856,3327095.500000000000000,10026500.039999999105930
20100721,3342869.000000000000000,3276536.510000000242144,3308383.000000000000000,9927789.509999999776483
20100722,3404376.200000000651926,3275605.420000000391155,3368263.000000000000000,10048245.620000001043081
20100723,3332856.200000000651926,3246741.629999999888241,3495508.000000000000000,10075106.830000000074506
20100726,3379105.800000000279397,3283985.230000000447035,3527943.000000000000000,10191035.030000001192093
20100727,3356696.200000000651926,3275605.420000000391155,3566615.500000000000000,10198918.120000001043081
20100728,3326657.799999999813735,3234637.460000000428408,3606535.500000000000000,10167831.759999999776483
20100729,3308062.600000000093132,3264432.340000000316650,3602793.000000000000000,10175288.940000001341105
20100730,3324750.600000000558794,3208566.940000000409782,3625248.000000000000000,10158566.540000000968575
20100802,3349544.200000000186265,3265363.430000000167638,3687623.000000000000000,10302531.630000000819564
20100803,3359080.200000000186265,3242086.180000000167638,3685128.000000000000000,10286295.380000000819564
20100804,3370523.399999999906868,3276536.510000000242144,3667663.000000000000000,10314723.910000000149012
20100805,3359080.200000000186265,3265363.430000000167638,3686375.500000000000000,10310820.130000000819564
20100806,3420587.399999999906868,3256983.620000000111759,3686375.500000000000000,10363947.519999999552965
20100809,3476849.800000000279397,3292365.040000000037253,3725048.000000000000000,10494263.839999999850988
20100810,3473035.400000000372529,3330539.730000000447035,3745008.000000000000000,10548584.130000000819564
20100811,3412481.799999999813735,3248603.810000000521541,3687623.000000000000000,10348709.609999999403954
20100812,3435845.000000000465661,3262570.160000000149012,3782433.000000000000000,10480849.160000000149012
20100813,3427739.400000000372529,3258845.800000000279397,3746255.500000000000000,10432841.700000001117587
20100816,3422971.400000000372529,3256052.530000000260770,3737523.000000000000000,10416547.929999999701977
20100817,3491153.800000000279397,3309124.660000000149012,3763720.500000000000000,10563999.960000000894070
20100818,3492584.200000000186265,3293296.129999999888241,3761225.500000000000000,10547106.830000000074506
20100819,3479233.800000000279397,3231844.190000000409782,3695108.000000000000000,10406186.990000000223517
20100820,3484478.600000000093132,3206704.760000000242144,3663920.500000000000000,10355104.859999999403954
20100823,3496875.400000000372529,3256052.530000000260770,3668910.500000000000000,10421839.429999999701977
20100824,3467313.800000000279397,3206704.760000000242144,3676395.500000000000000,10350415.060000000521541
20100825,3489723.399999999906868,3216015.660000000149012,3700098.000000000000000,10405838.060000000521541
20100826,3488293.000000000000000,3210429.120000000111759,3680138.000000000000000,10378861.120000001043081
20100827,3527867.399999999906868,3258845.800000000279397,3722553.000000000000000,10509267.199999999254942
20100830,3468267.399999999906868,3233706.370000000111759,3672653.000000000000000,10374627.769999999552965
20100831,3483525.000000000465661,3273743.239999999757856,3683880.500000000000000,10441149.740000000223517
20100901,3554091.400000000372529,3316573.379999999888241,3774948.000000000000000,10645613.780000001192093
20100902,3576977.799999999813735,3291433.950000000186265,3756235.500000000000000,10624648.250000000000000
20100903,3580315.400000000372529,3313780.110000000800937,3767463.000000000000000,10661559.510000001639128
20100907,3614168.200000000186265,3301675.940000000409782,3769958.000000000000000,10685803.140000000596046
20100908,3627518.600000000093132,3334264.090000000316650,3799898.000000000000000,10761681.690000001341105
20100909,3545985.800000000279397,3359403.520000000018626,3847303.000000000000000,10752693.320000000298023
20100910,3576501.000000000465661,3412475.650000000372529,3844808.000000000000000,10833785.650000000372529
20100913,3555521.799999999813735,3372438.780000000260770,3854788.000000000000000,10782749.580000000074506
20100914,3525483.399999999906868,3400371.480000000447035,3856035.500000000000000,10781891.380000000819564
20100915,3562197.000000000000000,3399440.390000000130385,3890965.500000000000000,10852603.890000000596046
20100916,3566488.200000000186265,3391991.670000000391155,3919658.000000000000000,10878138.870000001043081
20100917,3543601.799999999813735,3382680.770000000018626,3952093.000000000000000,10878376.570000000298023
20100920,3581269.000000000000000,3402233.660000000149012,4003240.500000000465661,10986744.160000000149012
20100921,3600341.000000000465661,3418993.280000000260770,4031933.000000000000000,11051268.280000001192093
20100922,3582222.600000000093132,3441339.440000000409782,4040665.500000000000000,11064228.540000000968575
20100923,3558859.400000000372529,3413406.739999999757856,4013220.500000000000000,10985487.640000000596046
20100924,3580792.199999999720603,3476720.860000000800937,4071853.000000000000000,11129367.060000000521541
20100927,3564581.000000000465661,3457167.970000000670552,4099298.000000000000000,11121047.970000000670552
20100928,3558382.600000000093132,3468341.050000000279397,4081833.000000000000000,11108557.650000000372529
20100929,3549800.200000000186265,3456236.879999999888241,4074347.999999999534339,11080386.080000000074506
20100930,3552661.000000000465661,3427373.090000000316650,4065615.500000000465661,11045650.590000001713634
20101001,3572209.800000000279397,3407820.200000000186265,4103040.500000000000000,11083071.500000000000000
20101004,3573640.200000000186265,3400371.480000000447035,4120505.500000000000000,11094518.179999999701977
20101005,3615121.799999999813735,3446925.980000000447035,4187870.500000000000000,11249919.280000001192093
20101006,3595096.200000000651926,3440408.350000000558794,4147950.500000000000000,11183456.050000000745058
20101007,3617029.000000000000000,3418062.190000000409782,4108030.500000000000000,11143122.690000001341105
20101008,3628472.199999999720603,3436683.989999999757856,4095555.500000000000000,11160712.689999999478459
20101011,3604155.400000000372529,3432028.540000000037253,4120505.500000000000000,11156690.440000001341105
20101012,3603678.600000000093132,3411544.560000000521541,4059378.000000000000000,11074602.160000000149012
20101013,3611784.200000000186265,3459961.239999999757856,4018210.500000000000000,11089956.939999999478459
20101014,3673291.400000000372529,3459030.150000000372529,4046902.999999999534339,11179225.550000000745058
20101015,3694270.600000000558794,3440408.350000000558794,4045655.500000000000000,11180335.450000001117587
20101018,3686641.799999999813735,3466478.870000000111759,4065615.500000000465661,11218737.169999999925494
20101019,3670907.399999999906868,3400371.480000000447035,4011972.999999999534339,11083252.880000000819564
