訓練日期,20141017 - 20150121
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12150178.700000001117587
真實報酬,2150178.700000001117587

夏普值報酬,0.206317870000000
夏普值風險,0.054221654097232
夏普值,3.805082552996738

預期報酬,38737.052532429413986
風險,202006.981794630351942
趨勢值,0.191760958895031
找到最佳解世代,2086
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
PFE[20](4),WBA[27](1),
Stock#,PFE[20](4),WBA[27](1),
張數,180505,82795,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,11.500000000000000,9.950000000186265,
20141017,5023465.649999999441206,4990064.600000000558794,10013530.250000000000000
20141020,5041516.150000000372529,4984268.950000000186265,10025785.100000001490116
20141021,5104692.900000000372529,5096042.200000000186265,10200735.100000001490116
20141022,5108303.000000000000000,5091902.450000000186265,10200205.449999999254942
20141023,5162454.500000000000000,5139095.600000000558794,10301550.100000001490116
20141024,5254512.049999999813735,5187116.700000000186265,10441628.750000000000000
20141027,5240071.650000000372529,5225202.400000000372529,10465274.050000000745058
20141028,5250901.950000000186265,5274051.450000000186265,10524953.400000000372529
20141029,5323103.949999999254942,5202019.799999999813735,10525123.750000000000000
20141030,5386280.700000000186265,5212783.150000000372529,10599063.850000001490116
20141031,5406136.250000000000000,5317104.849999999627471,10723241.099999999627471
20141103,5449457.450000000186265,5380029.050000000745058,10829486.500000000000000
20141104,5465702.900000000372529,5401555.750000000000000,10867258.650000000372529
20141105,5422381.700000000186265,5436329.649999999441206,10858711.349999999627471
20141106,5422381.700000000186265,5518296.700000001117587,10940678.400000002235174
20141107,5400721.100000000558794,5540651.350000000558794,10941372.450000001117587
20141110,5451262.500000000000000,5611855.050000000745058,11063117.550000000745058
20141111,5472923.099999999627471,5588672.450000000186265,11061595.550000000745058
20141112,5490973.600000000558794,5583704.750000000000000,11074678.350000001490116
20141113,5490973.600000000558794,5543963.149999999441206,11034936.750000000000000
20141114,5476533.200000000186265,5541479.300000000745058,11018012.500000000000000
20141117,5472923.099999999627471,5510017.200000000186265,10982940.300000000745058
20141118,5521659.450000000186265,5635037.650000000372529,11156697.100000001490116
20141119,5494583.700000000186265,5612683.000000000931323,11107266.700000001117587
20141120,5494583.700000000186265,5575425.250000000931323,11070008.950000001117587
20141121,5496388.750000000000000,5596124.000000000931323,11092512.750000000000000
20141124,5454872.599999999627471,5607715.300000000745058,11062587.900000000372529
20141125,5499998.849999999627471,5614338.900000000372529,11114337.750000000000000
20141126,5613717.000000000000000,5668983.599999999627471,11282700.599999999627471
20141128,5622742.250000000000000,5680574.900000000372529,11303317.150000000372529
20141201,5642597.800000000745058,5611027.099999999627471,11253624.900000000372529
20141202,5698554.349999999627471,5526576.200000000186265,11225130.550000000745058
20141203,5731045.250000000000000,5578737.049999999813735,11309782.300000000745058
20141204,5716604.850000000558794,5621790.450000001117587,11338395.300000000745058
20141205,5774366.449999999254942,5679746.949999999254942,11454113.399999998509884
20141208,5770756.349999999627471,5607715.300000000745058,11378471.650000000372529
20141209,5767146.250000000000000,5678919.000000000931323,11446065.250000000000000
20141210,5750900.799999999813735,5642489.200000001117587,11393390.000000000000000
20141211,5712994.750000000000000,6044872.900000000372529,11757867.650000000372529
20141212,5586641.250000000000000,6168237.450000000186265,11754878.699999999254942
20141215,5570395.799999999813735,6080474.750000000000000,11650870.550000000745058
20141216,5536099.850000000558794,5993540.000000000000000,11529639.850000001490116
20141217,5617327.100000000558794,5960422.000000000000000,11577749.100000001490116
20141218,5770756.349999999627471,6158302.049999999813735,11929058.399999998509884
20141219,5765341.200000000186265,6063087.800000000745058,11828429.000000000000000
20141222,5792416.950000000186265,6149194.599999999627471,11941611.550000000745058
20141223,5676893.750000000000000,6334655.400000000372529,12011549.150000000372529
20141224,5671478.600000000558794,6347902.600000000558794,12019381.200000001117587
20141226,5712994.750000000000000,6330515.649999999441206,12043510.399999998509884
20141229,5666063.450000000186265,6357838.000000000931323,12023901.450000001117587
20141230,5664258.399999999441206,6296569.700000000186265,11960828.099999999627471
20141231,5622742.250000000000000,6308988.950000000186265,11931731.199999999254942
20150102,5655233.149999999441206,6292429.950000000186265,11947663.099999999627471
20150105,5624547.299999999813735,6168237.450000000186265,11792784.750000000000000
20150106,5671478.600000000558794,6183968.500000000000000,11855447.100000001490116
20150107,5749095.750000000000000,6342106.949999999254942,12091202.699999999254942
20150108,5866424.000000000000000,6420762.200000000186265,12287186.199999999254942
20150109,5893499.750000000000000,6265107.600000000558794,12158607.350000001490116
20150112,5915160.350000000558794,6267591.450000000186265,12182751.800000000745058
20150113,5855593.699999999254942,6231161.650000000372529,12086755.349999999627471
20150114,5862813.899999999441206,6208807.000000000000000,12071620.899999998509884
20150115,5848373.500000000000000,6191420.050000000745058,12039793.550000000745058
20150116,5920575.499999999068677,6294913.800000000745058,12215489.300000000745058
20150120,5974727.000000000000000,6296569.700000000186265,12271296.699999999254942
20150121,5891694.700000000186265,6258484.000000000931323,12150178.700000001117587
