訓練日期,20120523 - 20120823
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11376149.839999999850988
真實報酬,1376149.839999999850988

夏普值報酬,0.128914984000000
夏普值風險,0.040168432535697
夏普值,3.209360581482395

預期報酬,23470.816932045050635
風險,91027.089750552899204
趨勢值,0.257844307627142
找到最佳解世代,2244
找到最佳解實驗#,4
找到最佳解次數,35

stock[index](rank)
投資組合檔數,5
AAPL[0](6),HD[9](7),MRK[17](3),PFE[20](12),WMT[28](4),
Stock#,AAPL[0](6),HD[9](7),MRK[17](3),PFE[20](12),WMT[28](4),
張數,25135,41442,53390,89405,31382,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,8.050000000279397,9.080000000074506,10.599999999860302,10.149999999906868,25.140000000130385,
20120523,2048761.900000000372529,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10048761.900000000372529
20120524,2029910.650000000372529,2060090.900000000139698,2007474.599999999860302,1979436.849999999860302,2042051.879999999888241,10118964.879999998956919
20120525,2019102.600000000325963,2048901.560000000055879,2004805.099999999627471,1978542.799999999813735,2049583.560000000288710,10100935.619999999180436
20120529,2054794.300000000279397,2062991.840000000083819,2006940.699999999953434,1983013.049999999813735,2061194.900000000372529,10168934.790000000968575
20120530,2079677.950000000186265,2060090.900000000139698,1996796.599999999860302,1970496.349999999860302,2053663.219999999972060,10160725.019999999552965
20120531,2074399.600000000325963,2044757.360000000102445,2006406.799999999813735,1955297.500000000000000,2065588.379999999888241,10146449.640000000596046
20120601,2014326.950000000186265,1987567.400000000139698,1985050.799999999813735,1934734.349999999860302,2057115.239999999990687,9978794.740000000223517
20120604,2026140.400000000372529,2020721.000000000000000,2000000.000000000000000,1932052.199999999953434,2070923.320000000065193,10049836.919999999925494
20120605,2020862.050000000512227,2027351.720000000204891,2002135.599999999860302,1931158.150000000139698,2055546.140000000130385,10037053.660000000149012
20120606,2052029.450000000186265,2096974.280000000027940,2023491.599999999860302,1958873.699999999953434,2069040.400000000372529,10200409.429999999701977
20120607,2052783.500000000232831,2123497.160000000149012,2046449.299999999813735,1961555.850000000093132,2067157.480000000214204,10251443.290000000968575
20120608,2083699.550000000512227,2169497.780000000260770,2053390.000000000000000,1979436.849999999860302,2140905.180000000167638,10426929.360000001266599
20120611,2051024.050000000046566,2128055.780000000260770,2053923.899999999906868,1975860.650000000139698,2119251.600000000093132,10328115.980000000447035
20120612,2068869.900000000372529,2164939.160000000149012,2074212.099999999860302,1983907.100000000093132,2125214.180000000167638,10417142.439999999478459
20120613,2054542.950000000186265,2112307.819999999832362,2050186.599999999860302,1983907.100000000093132,2104815.879999999888241,10305760.350000001490116
20120614,2052280.800000000512227,2161623.799999999813735,2071008.699999999720603,2016986.949999999720603,2122389.799999999813735,10424290.050000000745058
20120615,2061580.750000000232831,2149605.620000000111759,2079017.199999999720603,2021457.199999999953434,2126155.640000000130385,10437816.410000000149012
20120618,2103304.850000000558794,2168254.520000000018626,2074212.099999999860302,2022351.250000000000000,2137766.980000000447035,10505889.700000001117587
20120619,2109337.250000000465661,2195191.819999999832362,2094500.299999999580905,2030397.699999999953434,2128038.560000000055879,10557465.630000000819564
20120620,2103304.850000000558794,2189389.939999999944121,2093432.500000000000000,2026821.500000000000000,2150319.779999999795109,10563268.570000000298023
20120621,2074148.250000000232831,2124326.000000000000000,2106246.099999999627471,2020563.150000000139698,2124586.540000000037253,10449870.039999999105930
20120622,2090234.650000000139698,2155821.920000000391155,2145220.799999999813735,2032185.800000000046566,2112033.740000000223517,10535496.910000000149012
20120625,2049515.950000000419095,2135100.920000000391155,2123864.799999999813735,2008940.499999999767169,2139649.900000000372529,10457072.070000000298023
20120626,2054040.250000000232831,2150020.040000000037253,2139347.899999999441206,2006258.350000000093132,2152202.700000000186265,10501869.239999998360872
