訓練日期,20130115 - 20130418
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11545963.460000000894070
真實報酬,1545963.460000000894070

夏普值報酬,0.145896346000000
夏普值風險,0.044224999101218
夏普值,3.298956449181311

預期報酬,25187.478772006608779
風險,50264.752080965830828
趨勢值,0.501096249941409
找到最佳解世代,2475
找到最佳解實驗#,1
找到最佳解次數,21

stock[index](rank)
投資組合檔數,3
JNJ[12](1),TRV[22](3),VZ[26](2),
Stock#,JNJ[12](1),TRV[22](3),VZ[26](2),
張數,45938,44474,78265,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,71.719999999739230,6.699999999720603,26.649999999906868,
20130115,3324604.779999999795109,3360462.139999999664724,3284808.699999999720603,9969876.619999999180436
20130116,3334251.759999999776483,3360017.399999999441206,3248806.799999999813735,9943076.959999999031425
20130117,3348951.919999999925494,3375583.299999999813735,3297331.100000000093132,10021867.320000000298023
20130118,3364111.459999999962747,3393817.639999999664724,3329419.750000000000000,10087349.849999999627471
20130122,3339304.939999999478459,3466755.000000000000000,3360725.749999999534339,10166786.689999999478459
20130123,3346655.019999999552965,3452968.059999999590218,3348986.000000000000000,10148610.079999998211861
20130124,3358139.519999999552965,3472981.359999999869615,3333333.000000000000000,10164454.879999998956919
20130125,3395808.679999999701977,3484544.599999999627471,3339594.200000000186265,10219948.480000000447035
20130128,3382027.279999999795109,3440070.599999999627471,3347420.700000000186265,10169519.579999998211861
20130129,3418318.299999999813735,3460528.639999999664724,3404554.149999999906868,10283402.089999999850988
20130130,3403618.139999999664724,3450299.619999999646097,3413163.299999999813735,10267082.059999998658895
20130131,3395808.679999999701977,3489436.739999999292195,3413163.299999999813735,10298409.719999998807907
20130201,3407752.560000000055879,3553034.559999999590218,3487515.050000000279397,10448303.169999999925494
20130204,3404536.899999999906868,3468978.699999999720603,3484384.450000000186265,10357901.050000000745058
20130205,3429802.799999999813735,3497886.799999999813735,3487515.050000000279397,10415205.650000000372529
20130206,3463337.539999999571592,3511673.739999999292195,3502385.399999999906868,10477397.679999999701977
