訓練日期,20150303 - 20150603
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10477378.509999999776483
真實報酬,477378.509999999776483

夏普值報酬,0.039037851000000
夏普值風險,0.020349029576856
夏普值,1.918413399152963

預期報酬,8422.893790743610225
風險,99318.074941852100892
趨勢值,0.084807259863574
找到最佳解世代,1816
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DIS[6](1),IBM[10](2),UNH[23](6),
Stock#,DIS[6](1),IBM[10](2),UNH[23](6),
張數,31479,20771,29137,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,21.689999999944121,2.920000000391155,60.199999999720603,
20150303,3347813.339999999850988,3344757.050000000279397,3288462.019999999552965,9981033.410000000149012
20150304,3323259.719999999739230,3311315.740000000223517,3316433.539999999571592,9951010.000000000000000
20150305,3306261.060000000055879,3347872.700000000651926,3344696.429999999701977,9998831.190000001341105
20150306,3268171.469999999739230,3292206.420000000391155,3289044.759999999776483,9849423.650000000372529
20150309,3313501.229999999981374,3339356.590000000782311,3347901.500000000000000,10000760.320000000298023
20150310,3245191.800000000279397,3277874.430000000633299,3276807.219999999739230,9799874.449999999254942
20150311,3238896.000000000000000,3256895.720000000670552,3284382.839999999850988,9780175.560000000521541
20150312,3373626.120000000111759,3281405.500000000000000,3347318.759999999776483,10002351.379999998956919
20150313,3350646.449999999720603,3204552.800000000279397,3358099.449999999720603,9913299.699999999254942
20150316,3379921.919999999925494,3262711.600000000558794,3453377.439999999478459,10096011.960000000894070
20150317,3367015.529999999795109,3260219.080000000540167,3426571.399999999441206,10053807.009999999776483
20150318,3398809.319999999832362,3319416.430000000633299,3495334.719999999739230,10213561.469999998807907
20150319,3379921.919999999925494,3319416.430000000633299,3518644.319999999832362,10217983.669999999925494
20150320,3413289.660000000149012,3383183.400000000372529,3471442.379999999888241,10267916.440000001341105
20150323,3406679.069999999832362,3419532.650000000372529,3468528.679999999701977,10294741.400000000372529
20150324,3371737.379999999888241,3385675.920000000391155,3441722.639999999664724,10199136.940000001341105
20150325,3305316.689999999944121,3306746.120000000111759,3395686.179999999701977,10007749.990000000223517
20150326,3312871.649999999906868,3335617.810000000521541,3387236.449999999720603,10035726.910000000149012
20150327,3320426.609999999869615,3331671.320000000298023,3438517.569999999832362,10090616.500000000000000
20150330,3340573.169999999925494,3378821.490000000223517,3525637.199999999720603,10245032.859999999403954
20150331,3301854.000000000000000,3333748.420000000391155,3446675.929999999701977,10082279.349999999627471
20150401,3319167.449999999720603,3306330.700000000651926,3422200.849999999627471,10047700.000000000000000
20150402,3336795.689999999944121,3332709.870000000111759,3419578.519999999552965,10089085.080000000074506
20150406,3325148.459999999962747,3365735.760000000242144,3429485.099999999627471,10120370.320000000298023
20150407,3318852.660000000149012,3366358.890000000130385,3419287.149999999441206,10104499.699999999254942
20150408,3348128.129999999888241,3361789.270000000484288,3443762.229999999515712,10153680.629999998956919
20150409,3361034.520000000018626,3371967.060000000521541,3454251.549999999813735,10187254.129999998956919
