訓練日期,20140113 - 20140415
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11004229.920000001788139
真實報酬,1004229.920000001788139

夏普值報酬,0.091722992000000
夏普值風險,0.033198991875716
夏普值,2.762824616583953

預期報酬,17412.967196284633246
風險,101802.041004070095369
趨勢值,0.171047328958645
找到最佳解世代,1705
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,4
CAT[3](1),DD[7](3),MCD[15](10),MSFT[18](2),
Stock#,CAT[3](1),DD[7](3),MCD[15](10),MSFT[18](2),
張數,27621,41104,26096,69367,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,23.290000000037253,54.720000000204891,3.200000000186265,13.319999999832362,
20140113,2482874.979999999981374,2452319.359999999869615,2474686.880000000353903,2426470.979999999515712,9836352.199999999254942
20140114,2501381.050000000279397,2496711.680000000167638,2484864.320000000298023,2481964.580000000074506,9964921.630000000819564
20140115,2552479.899999999906868,2520140.960000000428408,2491127.359999999869615,2549944.239999999757856,10113692.460000000894070
20140116,2541431.500000000000000,2522196.160000000149012,2506784.960000000428408,2558961.949999999720603,10129374.570000000298023
20140117,2525687.529999999795109,2521374.080000000540167,2477296.480000000447035,2523584.779999999795109,10047942.870000001043081
20140121,2502485.889999999664724,2688667.359999999869615,2481210.880000000353903,2509017.709999999962747,10181381.839999999850988
20140122,2475969.729999999981374,2673869.919999999925494,2475991.680000000167638,2492369.629999999888241,10118200.960000000894070
20140123,2443929.370000000111759,2617968.479999999981374,2487473.919999999925494,2501387.339999999850988,10050759.109999999403954
20140124,2380124.859999999869615,2541104.000000000000000,2464248.480000000447035,2553412.589999999850988,9938889.929999999701977
20140127,2521544.380000000353903,2523018.240000000223517,2454853.919999999925494,2499306.330000000074506,9998722.870000001043081
20140128,2554137.160000000149012,2520552.000000000000000,2457724.480000000447035,2515954.410000000149012,10048368.050000000745058
