訓練日期,20131016 - 20140117
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11186753.119999999180436
真實報酬,1186753.119999999180436

夏普值報酬,0.109975312000000
夏普值風險,0.033206445940240
夏普值,3.311866382747433

預期報酬,19854.661884375156660
風險,71732.364700726335286
趨勢值,0.276788057485774
找到最佳解世代,1595
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,8
AAPL[0](12),BA[2](10),GS[8](1),INTC[11](11),MRK[17](13),UNH[23](28),V[25](6),XOM[29](2),
Stock#,AAPL[0](12),BA[2](10),GS[8](1),INTC[11](11),MRK[17](13),UNH[23](28),V[25](6),XOM[29](2),
張數,17546,10577,7929,53441,26841,16921,26128,14402,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,22.960000000195578,10.139999999897555,151.729999999981374,15.010000000009313,14.629999999888241,45.729999999981374,36.479999999981374,50.419999999925494,
20131016,1256141.100000000325963,1272846.319999999832362,1286631.979999999981374,1266566.709999999962747,1266104.599999999860302,1272335.719999999972060,1277956.959999999962747,1257489.040000000037253,10156072.429999999701977
20131017,1264563.180000000167638,1293471.469999999972060,1255471.010000000009313,1278323.730000000214204,1264494.139999999897555,1207697.500000000000000,1295201.439999999944121,1259937.379999999888241,10119159.850000001490116
20131018,1275617.160000000149012,1295904.179999999934807,1258404.739999999990687,1276186.089999999850988,1251073.639999999897555,1163533.690000000176951,1309310.560000000055879,1260945.519999999785796,10090975.580000000074506
20131021,1306849.040000000270084,1284798.329999999841675,1266968.060000000055879,1290080.750000000000000,1248389.539999999804422,1154057.929999999934807,1306697.760000000009313,1256336.879999999888241,10114178.289999999105930
20131022,1303164.380000000121072,1295481.099999999860302,1262844.979999999981374,1286339.880000000121072,1247315.899999999906868,1165225.790000000037253,1306436.479999999981374,1267138.379999999888241,10133946.890000000596046
20131023,1315797.500000000000000,1364654.679999999934807,1250872.189999999944121,1268704.349999999860302,1249731.589999999850988,1150842.940000000176951,1299120.639999999897555,1261809.639999999897555,10161533.530000001192093
