訓練日期,20160607 - 20160907
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10941945.830000000074506
真實報酬,941945.830000000074506

夏普值報酬,0.085494583000000
夏普值風險,0.029361495314372
夏普值,2.911792539331282

預期報酬,15232.246194629802631
風險,106134.879242126276949
趨勢值,0.143517817171868
找到最佳解世代,2514
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](15),INTC[11](2),MRK[17](5),PG[21](1),VZ[26](16),
Stock#,AAPL[0](15),INTC[11](2),MRK[17](5),PG[21](1),VZ[26](16),
張數,20277,63131,34983,24163,39439,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,79.489999999990687,9.919999999925494,21.889999999897555,28.489999999990687,48.310000000055879,
20160607,2008110.800000000046566,2012626.199999999953434,1994052.889999999897555,1989126.649999999906868,2041016.560000000055879,10044933.099999999627471
20160608,2006285.869999999878928,2013257.510000000009313,2015742.349999999860302,1997100.440000000176951,2031945.590000000083819,10064331.759999999776483
20160609,2020682.540000000037253,2016414.060000000055879,2000349.829999999841675,2009665.199999999953434,2048904.360000000102445,10096015.990000000223517
20160610,2004055.399999999906868,2022727.159999999916181,1987406.119999999878928,2010390.090000000083819,2077300.440000000176951,10101879.209999999031425
20160613,1973842.670000000158325,2030934.189999999944121,1962918.019999999785796,1995167.399999999906868,2073356.540000000037253,10036218.820000000298023
20160614,1976275.909999999916181,2029040.260000000009313,1967815.639999999897555,2014014.539999999804422,2089920.920000000158325,10077067.269999999552965
20160615,1969787.270000000018626,1995580.829999999841675,1962218.360000000102445,2004349.340000000083819,2084005.070000000298023,10015940.870000001043081
20160616,1978100.839999999850988,2000631.310000000055879,2011544.389999999897555,2015464.319999999832362,2108457.250000000000000,10114198.109999999403954
20160617,1933085.899999999906868,2005050.479999999981374,1955221.760000000009313,2008698.679999999934807,2121077.729999999981374,10023134.549999998882413
