訓練日期,20110120 - 20110421
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10880007.699999999254942
真實報酬,880007.699999999254942

夏普值報酬,0.079300770000000
夏普值風險,0.030443203944980
夏普值,2.604875956660837

預期報酬,16458.767652271395491
風險,96890.261707000434399
趨勢值,0.169870195025825
找到最佳解世代,1937
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CVX[5](2),MCD[15](19),PFE[20](1),
Stock#,CVX[5](2),MCD[15](19),PFE[20](1),
張數,35853,44237,181950,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,79.589999999850988,75.050000000279397,9.000000000000000,
20110120,3324011.219999999739230,3324927.970000000204891,3318776.999999999534339,9967717.189999999478459
20110121,3362373.929999999701977,3318292.420000000391155,3340611.000000000000000,10021278.349999999627471
20110124,3373846.889999999664724,3334660.109999999869615,3356986.500000000000000,10065494.500000000000000
20110125,3373129.829999999608845,3339083.810000000521541,3360625.500000000000000,10072840.140000000596046
20110126,3393207.509999999776483,3325370.340000000316650,3340611.000000000000000,10059189.849999999627471
20110127,3397151.339999999850988,3289096.000000000000000,3362445.000000000000000,10048693.339999999850988
20110128,3347674.200000000186265,3241762.410000000149012,3302401.499999999534339,9891839.109999999403954
20110131,3403604.879999999888241,3259014.840000000316650,3315138.000000000000000,9977758.720000000670552
20110201,3449855.250000000000000,3250167.440000000409782,3497088.000000000000000,10197111.690000001341105
20110202,3459177.029999999795109,3257687.730000000447035,3449781.000000000000000,10166646.759999999776483
20110203,3488935.020000000018626,3266092.760000000242144,3487990.500000000465661,10243019.280000001192093
20110204,3481764.419999999925494,3275824.900000000372529,3511644.000000000000000,10269234.320000000298023
20110207,3501483.569999999832362,3249282.700000000186265,3464337.000000000000000,10215104.269999999552965
20110208,3504351.809999999590218,3333775.370000000111759,3486171.000000000000000,10324299.179999999701977
20110209,3450572.309999999590218,3358990.460000000428408,3466156.500000000000000,10275720.269999999552965
20110210,3467064.689999999944121,3351470.170000000391155,3462517.500000000000000,10281053.359999999403954
20110211,3458101.439999999944121,3368280.230000000447035,3426127.499999999534339,10252510.169999999925494
20110214,3476027.939999999944121,3372703.930000000167638,3466156.500000000000000,10314889.370000001043081
20110215,3454157.609999999869615,3368722.600000000558794,3466156.500000000000000,10289037.710000000894070
20110216,3465630.569999999832362,3362971.790000000037253,3508005.000000000000000,10336608.359999999403954
20110217,3483915.600000000093132,3361202.310000000521541,3524380.500000000000000,10369499.410000000149012
20110218,3539487.750000000000000,3367837.859999999869615,3491629.500000000000000,10398956.109999999403954
20110222,3596852.549999999813735,3348815.950000000186265,3437044.500000000000000,10382714.000000000000000
20110223,3666765.899999999906868,3326255.080000000074506,3413391.000000000465661,10406412.980000000447035
20110224,3658161.179999999701977,3327139.819999999832362,3438863.999999999534339,10424166.000000000000000
20110225,3660670.889999999664724,3293077.330000000074506,3431586.000000000000000,10385335.219999998807907
20110228,3719828.339999999850988,3347931.210000000428408,3500726.999999999534339,10568487.550000000745058
20110301,3689353.290000000037253,3312983.980000000447035,3482532.000000000000000,10484870.269999999552965
20110302,3709789.500000000000000,3304136.580000000074506,3491629.500000000000000,10505556.580000000074506
20110303,3735603.659999999683350,3372703.930000000167638,3597160.500000000000000,10705469.089999999850988
20110304,3719828.339999999850988,3363414.160000000149012,3577146.000000000000000,10660389.500000000000000
20110307,3693297.120000000111759,3374915.780000000726432,3568048.500000000000000,10636262.400000000372529
20110308,3720545.399999999906868,3341738.030000000726432,3580785.000000000000000,10643069.429999999701977
20110309,3662105.009999999776483,3352354.910000000149012,3577146.000000000000000,10591606.919999999925494
20110310,3552394.829999999608845,3392168.210000000428408,3522561.000000000000000,10467125.039999999105930
20110311,3582869.879999999888241,3394380.060000000521541,3542575.500000000000000,10519826.440000001341105
20110314,3614061.989999999757856,3347488.840000000316650,3604438.500000000000000,10565990.330000000074506
20110315,3629478.779999999795109,3323158.490000000689179,3595341.000000000465661,10547979.270000001415610
20110316,3567811.620000000111759,3246186.109999999869615,3511644.000000000000000,10325642.730000000447035
20110317,3665690.309999999590218,3247070.850000000558794,3617175.000000000000000,10529937.160000000149012
20110318,3685767.989999999757856,3228933.680000000167638,3671760.000000000000000,10586462.669999999925494
20110321,3771456.659999999683350,3262996.170000000391155,3635370.000000000000000,10669823.830000000074506
20110322,3772890.779999999795109,3267862.240000000689179,3628092.000000000000000,10668846.019999999552965
20110323,3781854.029999999795109,3297058.660000000149012,3624453.000000000465661,10703366.689999999478459
20110324,3778268.729999999515712,3314753.460000000428408,3693594.000000000000000,10786617.189999999478459
20110325,3828462.929999999701977,3328909.300000000279397,3702691.500000000465661,10860064.730000000447035
20110328,3801931.709999999962747,3317850.050000000279397,3688135.500000000000000,10807918.259999999776483
20110329,3849616.200000000186265,3334217.740000000689179,3708150.000000000000000,10891984.940000001341105
20110330,3872562.120000000111759,3353682.020000000484288,3700872.000000000000000,10927117.140000000596046
20110331,3853918.559999999590218,3366068.380000000353903,3695413.500000000000000,10915401.439999999478459
20110401,3883676.549999999813735,3361644.680000000167638,3708150.000000000000000,10953472.230000000447035
20110404,3880449.779999999795109,3379339.480000000447035,3737262.000000000000000,10997052.259999999776483
20110405,3919888.079999999608845,3388629.250000000000000,3720886.500000000000000,11029404.830000000074506
20110406,3895866.569999999832362,3393937.690000000409782,3691774.500000000000000,10981579.759999999776483
20110407,3905905.409999999683350,3362529.420000000391155,3699052.499999999534339,10967488.330000000074506
20110408,3931719.569999999832362,3363856.530000000726432,3722706.000000000000000,11018283.100000001490116
20110411,3864315.929999999701977,3373146.300000000279397,3760915.500000000465661,10998378.730000000447035
20110412,3735245.129999999888241,3391283.470000000204891,3722706.000000000000000,10849235.599999999627471
20110413,3721979.520000000018626,3401457.980000000447035,3722706.000000000000000,10846144.500000000000000
20110414,3760342.229999999515712,3409420.640000000130385,3728164.499999999534339,10897928.369999999180436
20110415,3809102.309999999590218,3423134.109999999869615,3735442.500000000000000,10967679.919999999925494
20110418,3746718.089999999850988,3406324.050000000279397,3711788.999999999534339,10864832.140000000596046
20110419,3778985.790000000037253,3388629.250000000000000,3735442.500000000000000,10903058.539999999105930
20110420,3865391.520000000018626,3468255.850000000558794,3709969.500000000000000,11043617.870000001043081
20110421,3876864.479999999515712,3402342.720000000204891,3600799.500000000000000,10880007.699999999254942
