訓練日期,20100625 - 20100927
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11456035.169999999925494
真實報酬,1456035.169999999925494

夏普值報酬,0.136903517000000
夏普值風險,0.048355344977470
夏普值,2.831197193687387

預期報酬,23835.560909838222869
風險,155653.424531826574821
趨勢值,0.153132261506810
找到最佳解世代,2949
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),PFE[20](2),
Stock#,MCD[15](1),PFE[20](2),
張數,73822,345781,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,35.939999999478459,6.739999999292195,
20100625,4977115.179999999701977,5062240.579999999143183,10039355.759999997913837
20100628,4970471.199999999254942,5027662.479999998584390,9998133.679999997839332
20100629,4906246.059999998658895,4937759.419999998994172,9844005.479999996721745
20100630,4862691.080000000074506,4930843.799999998882413,9793534.879999998956919
20100701,4924701.559999998658895,4920470.369999999180436,9845171.929999997839332
20100702,4882623.019999999552965,4889350.079999999143183,9771973.099999997764826
20100706,4880408.359999999403954,4941217.229999998584390,9821625.589999997988343
20100707,4968994.759999999776483,5055324.959999999031425,10024319.719999998807907
20100708,5095230.379999998956919,5124481.159999999217689,10219711.539999999105930
20100709,5109994.779999999329448,5107192.109999999403954,10217186.889999998733401
20100712,5163146.619999999180436,5162517.069999999366701,10325663.689999997615814
20100713,5229586.419999999925494,5114107.729999998584390,10343694.149999998509884
20100714,5234015.740000000223517,5131396.779999999329448,10365412.519999999552965
20100715,5265759.199999999254942,5141770.209999999031425,10407529.409999998286366
20100716,5163146.619999999180436,5034578.099999999627471,10197724.719999998807907
20100719,5160931.959999999031425,5093360.869999999180436,10254292.829999998211861
20100720,5231801.080000000074506,5031120.289999999105930,10262921.369999999180436
20100721,5175696.359999999403954,5013831.239999999292195,10189527.599999997764826
20100722,5270926.740000000223517,5121023.349999999627471,10391950.089999999850988
20100723,5160193.740000000223517,5041493.719999999739230,10201687.460000000894070
20100726,5231801.080000000074506,5193637.359999999403954,10425438.439999999478459
20100727,5197104.740000000223517,5280082.609999999403954,10477187.349999999627471
20100728,5150596.879999998956919,5186721.739999999292195,10337318.619999997317791
20100729,5121806.299999998882413,5217842.029999999329448,10339648.329999998211861
20100730,5147644.000000000000000,5186721.739999999292195,10334365.739999998360872
20100802,5186031.439999999478459,5352696.619999999180436,10538728.059999998658895
20100803,5200795.839999999850988,5650068.279999999329448,10850864.119999999180436
20100804,5218513.119999999180436,5684646.379999999888241,10903159.500000000000000
20100805,5200795.839999999850988,5598201.129999999888241,10798996.969999998807907
20100806,5296026.219999998807907,5615490.179999998770654,10911516.399999998509884
20100809,5383136.179999999701977,5677730.759999999776483,11060866.939999999478459
20100810,5377230.419999999925494,5729597.909999999217689,11106828.329999998211861
20100811,5283476.479999998584390,5532502.739999999292195,10815979.219999998807907
20100812,5319649.259999999776483,5601658.939999999478459,10921308.199999999254942
20100813,5307099.519999999552965,5560165.219999998807907,10867264.739999998360872
20100816,5299717.320000000298023,5542876.169999999925494,10842593.490000000223517
20100817,5405282.779999999329448,5625863.609999999403954,11031146.389999998733401
20100818,5407497.439999999478459,5567080.839999999850988,10974578.279999999329448
20100819,5386827.279999999329448,5542876.169999999925494,10929703.449999999254942
20100820,5394947.699999999254942,5504840.259999998845160,10899787.959999997168779
20100823,5414141.419999999925494,5567080.839999999850988,10981222.259999999776483
20100824,5368371.779999999329448,5470262.159999999217689,10838633.939999997615814
20100825,5403068.119999999180436,5529044.929999999701977,10932113.049999998882413
20100826,5400853.459999999031425,5497924.639999999664724,10898778.099999997764826
20100827,5462125.719999998807907,5563623.029999999329448,11025748.749999998137355
20100830,5369848.219999998807907,5484093.399999999441206,10853941.619999997317791
20100831,5393471.259999999776483,5501382.449999999254942,10894853.709999999031425
20100901,5502727.820000000298023,5629321.419999999925494,11132049.240000000223517
20100902,5538162.379999998956919,5670815.139999998733401,11208977.519999997690320
20100903,5543329.919999999925494,5691562.000000000000000,11234891.919999999925494
20100907,5595743.539999999105930,5646610.469999998807907,11242354.009999997913837
20100908,5616413.699999999254942,5726140.099999998696148,11342553.799999997019768
20100909,5490178.080000000074506,5798754.109999999403954,11288932.189999999478459
20100910,5537424.160000000149012,5874825.929999998770654,11412250.089999999850988
20100913,5504942.479999998584390,5867910.309999998658895,11372852.789999997243285
20100914,5458434.619999999180436,5905946.219999998807907,11364380.839999997988343
20100915,5515277.559999998658895,5971644.609999999403954,11486922.169999998062849
20100916,5521921.539999999105930,5937066.509999999776483,11458988.049999998882413
20100917,5486486.979999998584390,5899030.599999998696148,11385517.579999998211861
20100920,5544806.359999999403954,5971644.609999999403954,11516450.969999998807907
20100921,5574335.160000000149012,5926693.079999999143183,11501028.239999998360872
20100922,5546282.799999998882413,5954355.559999998658895,11500638.359999997541308
20100923,5510110.019999999552965,5892114.979999998584390,11402224.999999998137355
20100924,5544068.139999998733401,6016596.139999998733401,11560664.279999997466803
20100927,5518968.660000000149012,5937066.509999999776483,11456035.169999999925494
