訓練日期,20130731 - 20131030
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11313138.049999998882413
真實報酬,1313138.049999998882413

夏普值報酬,0.122613805000000
夏普值風險,0.035454566266498
夏普值,3.458336059687204

預期報酬,20807.971860566911346
風險,113814.784485794007196
趨勢值,0.182823101186508
找到最佳解世代,2347
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](5),BA[2](3),DD[7](2),NKE[19](1),UNH[23](16),
Stock#,AAPL[0](5),BA[2](3),DD[7](2),NKE[19](1),UNH[23](16),
張數,30883,18916,40056,63633,27674,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,16.919999999925494,11.319999999832362,3.919999999925494,14.810000000055879,0.020000000018626,
20130731,1996602.870000000111759,1988082.919999999692664,1998798.319999999832362,2001908.990000000223517,2016050.919999999925494,10001444.019999999552965
20130801,2014823.839999999850988,2018348.519999999785796,2019226.879999999888241,2099267.479999999981374,2024629.859999999869615,10176296.579999998211861
20130802,2040765.559999999823049,2041047.719999999972060,2066092.399999999906868,2109448.759999999776483,1999723.260000000242144,10257077.699999999254942
20130805,2071030.899999999906868,2033481.319999999832362,2080913.120000000111759,2112630.410000000149012,2029611.180000000167638,10327666.929999999701977
20130806,2052501.099999999627471,2024779.959999999962747,2056879.520000000018626,2117084.720000000204891,2026843.779999999795109,10278089.080000000074506
20130807,2051574.610000000102445,2013052.039999999804422,2070098.000000000000000,2088449.870000000111759,2017988.100000000093132,10241162.620000001043081
20130808,2033971.299999999813735,2002080.760000000009313,2105347.279999999795109,2101812.800000000279397,2025183.340000000316650,10268395.480000000447035
20130809,2004941.280000000027940,1992433.599999999860302,2169837.439999999944121,2110085.089999999850988,2018264.840000000316650,10295562.250000000000000
20130812,2062074.829999999841675,1971815.159999999683350,2137792.639999999664724,2116448.390000000130385,2003320.880000000121072,10291451.900000000372529
20130813,2159973.939999999944121,2009458.000000000000000,2160624.560000000055879,2094176.839999999850988,2029887.919999999925494,10454121.259999999776483
20130814,2199195.349999999627471,1970301.879999999655411,2153414.479999999981374,2047088.420000000158325,2006088.279999999795109,10376088.409999998286366
20130815,2196724.709999999962747,1943252.000000000000000,2119366.879999999888241,2020362.560000000055879,1975923.620000000111759,10255629.769999999552965
