訓練日期,20160324 - 20160624
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10737585.580000000074506
真實報酬,737585.580000000074506

夏普值報酬,0.065058558000000
夏普值風險,0.023095564472430
夏普值,2.816928682460315

預期報酬,13070.873262584738768
風險,70077.088522032703622
趨勢值,0.186521351532394
找到最佳解世代,2194
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
PFE[20](3),VZ[26](26),XOM[29](2),
Stock#,PFE[20](3),VZ[26](26),XOM[29](2),
張數,110411,63000,39800,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,24.909999999683350,3.000000000000000,83.000000000000000,
20160324,3321187.789999999571592,3374283.000000000000000,3342487.000000000000000,10037958.789999999105930
20160328,3288064.489999999757856,3364203.000000000000000,3352039.000000000000000,10004307.490000000223517
20160329,3317875.459999999962747,3405153.000000000000000,3364377.000000000000000,10087406.460000000894070
20160330,3320083.679999999701977,3404523.000000000000000,3363979.000000000000000,10088586.679999999701977
20160331,3272606.949999999720603,3407043.000000000000000,3326965.000000000000000,10006615.949999999254942
20160401,3316771.349999999627471,3402633.000000000000000,3301890.999999999534339,10021296.349999999627471
20160404,3391850.829999999608845,3428463.000000000000000,3309851.000000000000000,10130165.830000000074506
20160405,3462513.869999999646097,3407673.000000000000000,3272040.999999999534339,10142228.869999999180436
20160406,3635859.139999999664724,3371763.000000000000000,3315821.000000000000000,10323444.140000000596046
20160407,3617089.269999999552965,3276003.000000000000000,3278409.000000000000000,10171502.269999999552965
20160408,3588382.409999999683350,3287343.000000000000000,3311840.999999999534339,10187567.410000000149012
20160411,3521031.699999999720603,3251433.000000000000000,3316218.999999999534339,10088684.699999999254942
20160412,3528760.469999999739230,3272853.000000000000000,3357213.000000000000000,10158827.469999998807907
20160413,3592798.849999999627471,3231273.000000000000000,3376317.000000000000000,10200389.849999999627471
20160414,3604944.059999999590218,3235683.000000000000000,3400197.000000000465661,10240825.060000000521541
20160415,3588382.409999999683350,3235053.000000000000000,3381889.000000000000000,10205325.410000000149012
20160418,3600527.619999999646097,3258993.000000000000000,3414127.000000000000000,10273648.619999999180436
20160419,3631442.699999999720603,3281043.000000000000000,3431240.999999999534339,10343727.699999999254942
20160420,3668982.439999999478459,3260253.000000000000000,3454723.000000000000000,10383959.439999999478459
20160421,3670086.549999999813735,3151893.000000000000000,3454325.000000000465661,10276305.550000000745058
20160422,3673398.879999999888241,3184653.000000000000000,3483777.000000000000000,10341829.879999998956919
20160425,3666774.219999999739230,3197883.000000000000000,3475817.000000000000000,10340475.219999998807907
20160426,3649108.459999999497086,3177723.000000000000000,3487757.000000000000000,10314589.459999999031425
20160427,3643587.909999999683350,3256473.000000000000000,3520790.999999999534339,10420852.910000000149012
20160428,3633650.919999999459833,3214263.000000000000000,3503677.000000000000000,10351591.919999999925494
20160429,3611568.719999999739230,3209223.000000000000000,3518403.000000000000000,10339195.719999998807907
20160502,3621505.709999999497086,3233163.000000000000000,3547457.000000000000000,10402126.709999999031425
20160503,3720875.609999999869615,3192843.000000000000000,3506861.000000000000000,10420580.609999999403954
20160504,3687752.309999999590218,3202923.000000000000000,3500095.000000000000000,10390771.309999998658895
20160505,3706522.179999999701977,3202923.000000000000000,3504075.000000000465661,10413521.179999999701977
20160506,3707626.289999999571592,3220563.000000000000000,3522781.000000000000000,10450971.289999999105930
20160509,3734124.929999999701977,3218043.000000000000000,3525168.999999999534339,10477337.929999999701977
20160510,3731916.709999999497086,3247023.000000000000000,3581685.000000000000000,10560625.709999999031425
20160511,3661253.669999999459833,3222453.000000000000000,3534721.000000000000000,10418428.669999999925494
20160512,3664565.999999999534339,3242613.000000000000000,3568949.000000000000000,10476129.000000000000000
20160513,3664565.999999999534339,3209223.000000000000000,3528751.000000000000000,10402541.000000000000000
20160516,3685544.089999999850988,3227493.000000000000000,3564968.999999999534339,10478007.089999999850988
20160517,3646900.239999999757856,3206703.000000000000000,3563377.000000000000000,10416981.240000000223517
20160518,3662357.779999999795109,3174573.000000000000000,3556213.000000000000000,10393144.779999999329448
20160519,3685544.089999999850988,3126693.000000000000000,3586461.000000000000000,10398699.089999999850988
20160520,3725292.049999999813735,3128583.000000000000000,3571735.000000000000000,10425611.050000000745058
20160523,3717563.279999999795109,3095823.000000000000000,3566163.000000000000000,10379550.279999999329448
20160524,3765040.009999999776483,3123543.000000000000000,3568949.000000000000000,10457533.009999999776483
20160525,3792642.759999999776483,3140553.000000000000000,3592431.000000000000000,10525627.759999999776483
20160526,3801475.639999999664724,3160083.000000000000000,3574123.000000000000000,10535682.640000000596046
20160527,3821349.619999999646097,3189063.000000000000000,3582481.000000000000000,10592894.619999999180436
20160531,3831286.609999999869615,3206703.000000000000000,3543079.000000000000000,10581069.609999999403954
20160601,3836807.159999999683350,3177093.000000000000000,3551835.000000000000000,10565736.160000000149012
20160602,3850056.479999999515712,3198513.000000000000000,3523577.000000000000000,10572147.480000000447035
20160603,3830182.499999999534339,3207963.000000000000000,3517209.000000000000000,10555355.500000000000000
20160606,3856681.139999999664724,3194733.000000000000000,3555815.000000000000000,10607230.140000000596046
20160607,3846744.149999999906868,3260253.000000000000000,3610340.999999999534339,10717339.150000000372529
20160608,3892012.659999999683350,3245763.000000000000000,3613525.000000000465661,10751301.660000000149012
20160609,3898637.319999999832362,3272853.000000000000000,3608749.000000000000000,10780240.320000000298023
20160610,3896429.099999999627471,3318213.000000000000000,3581287.000000000000000,10795930.099999999627471
20160613,3835703.049999999813735,3311913.000000000000000,3605565.000000000000000,10753182.050000000745058
20160614,3863305.799999999813735,3338373.000000000000000,3599197.000000000465661,10800876.800000000745058
20160615,3841223.599999999627471,3328923.000000000000000,3588451.000000000000000,10758598.599999999627471
20160616,3836807.159999999683350,3367983.000000000000000,3630639.000000000000000,10835430.160000000149012
20160617,3778289.329999999608845,3388143.000000000000000,3610739.000000000000000,10777172.330000000074506
20160620,3809204.409999999683350,3386883.000000000000000,3626659.000000000000000,10822747.410000000149012
20160621,3836807.159999999683350,3408303.000000000000000,3642977.000000000000000,10888088.160000000149012
20160622,3805892.079999999608845,3403893.000000000000000,3628649.000000000000000,10838435.080000000074506
20160623,3819141.399999999906868,3444213.000000000000000,3653723.000000000000000,10917078.400000000372529
20160624,3750686.579999999608845,3429093.000000000000000,3557805.000000000000000,10737585.580000000074506
