訓練日期,20141010 - 20150113
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11818313.830000000074506
真實報酬,1818313.830000000074506

夏普值報酬,0.173131383000000
夏普值風險,0.055690797811381
夏普值,3.108796961149268

預期報酬,31089.588869374896603
風險,142273.883552424376830
趨勢值,0.218519295974086
找到最佳解世代,2432
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
UNH[23](3),UTX[24](1),WBA[27](2),WMT[28](12),
Stock#,UNH[23](3),UTX[24](1),WBA[27](2),WMT[28](12),
張數,29432,25015,40617,32108,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,45.919999999925494,0.899999999906868,23.649999999906868,71.120000000111759,
20141010,2513244.399999999906868,2500000.000000000000000,2558488.479999999981374,2513806.440000000409782,10085539.320000000298023
20141013,2470862.319999999832362,2484240.549999999813735,2465069.379999999888241,2490367.600000000093132,9910539.849999999627471
20141014,2437604.159999999683350,2504502.700000000186265,2465069.379999999888241,2503852.960000000428408,9911029.199999999254942
20141015,2418179.040000000037253,2480738.449999999720603,2475629.799999999813735,2414592.720000000204891,9789140.009999999776483
20141016,2513244.399999999906868,2482239.350000000093132,2452884.279999999795109,2370283.679999999701977,9818651.709999999031425
20141017,2595359.680000000167638,2539773.850000000093132,2448010.240000000223517,2379273.919999999925494,9962417.690000001341105
20141020,2605955.200000000186265,2538523.100000000093132,2445167.049999999813735,2412666.240000000223517,10002311.589999999850988
20141021,2676886.319999999832362,2551030.600000000093132,2500000.000000000000000,2440921.279999999795109,10168838.199999999254942
20141022,2642156.559999999590218,2531018.600000000093132,2497969.149999999906868,2441242.360000000335276,10112386.670000001788139
20141023,2668351.040000000037253,2581048.600000000093132,2521120.839999999850988,2448306.120000000111759,10218826.600000001490116
20141024,2697194.399999999906868,2597058.199999999720603,2544678.699999999720603,2452480.160000000149012,10291411.459999999031425
20141027,2711616.079999999608845,2606313.750000000000000,2563362.520000000018626,2459222.840000000316650,10340515.189999999478459
