訓練日期,20120502 - 20120802
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11860581.489999998360872
真實報酬,1860581.489999998360872

夏普值報酬,0.177358149000000
夏普值風險,0.055403640569037
夏普值,3.201200267318139

預期報酬,31363.965352693085151
風險,108935.375902375730220
趨勢值,0.287913500025928
找到最佳解世代,2132
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
DIS[6](2),WMT[28](1),
Stock#,DIS[6](2),WMT[28](1),
張數,114181,84645,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,14.009999999776483,19.849999999627471,
20120502,4971454.750000000000000,4994921.299999999813735,9966376.050000000745058
20120503,5002283.620000000111759,4993228.399999999441206,9995512.019999999552965
20120504,4901804.339999999850988,4968681.349999999627471,9870485.689999999478459
20120507,5003425.429999999701977,5010157.399999999441206,10013582.829999998211861
20120508,5058232.309999999590218,4998307.099999999627471,10056539.410000000149012
20120509,5140442.629999999888241,4996614.200000000186265,10137056.830000000074506
20120510,5170129.689999999478459,5010157.399999999441206,10180287.089999999850988
20120511,5202100.370000000111759,5029625.750000000000000,10231726.120000001043081
20120514,5157569.780000000260770,5000000.000000000000000,10157569.780000001192093
20120515,5139300.819999999366701,5023700.599999999627471,10163001.419999998062849
20120516,5147293.489999999292195,5010157.399999999441206,10157450.889999998733401
20120517,5061657.739999999292195,5220923.449999999254942,10282581.189999997615814
20120518,5002283.620000000111759,5284407.199999999254942,10286690.820000000298023
20120521,5068508.599999999627471,5336040.649999999441206,10404549.250000000000000
20120522,5068508.599999999627471,5394445.699999999254942,10462954.299999998882413
20120523,5068508.599999999627471,5394445.699999999254942,10462954.299999998882413
20120524,5074217.649999999441206,5507869.999999999068677,10582087.649999998509884
20120525,5081068.509999999776483,5528184.799999999813735,10609253.309999998658895
20120529,5192965.889999999664724,5559503.450000000186265,10752469.339999999850988
20120530,5160995.209999999962747,5539188.649999999441206,10700183.859999999403954
20120531,5219227.519999999552965,5571353.749999999068677,10790581.269999999552965
20120601,5069650.409999999217689,5548499.599999999627471,10618150.009999997913837
20120604,5070792.219999999739230,5585743.399999999441206,10656535.619999999180436
20120605,5119890.049999999813735,5544267.349999999627471,10664157.399999998509884
20120606,5198674.939999999478459,5580664.700000000186265,10779339.640000000596046
20120607,5210093.040000000037253,5575586.000000000000000,10785679.039999999105930
20120608,5279743.450000000186265,5774501.749999999068677,11054245.199999999254942
20120611,5229503.809999999590218,5716096.700000000186265,10945600.509999999776483
20120612,5295728.790000000037253,5732179.249999999068677,11027908.039999999105930
20120613,5278601.639999999664724,5677159.999999999068677,10955761.639999998733401
20120614,5387073.589999999850988,5724561.199999999254942,11111634.789999999105930
20120615,5376797.299999999813735,5734718.599999999627471,11111515.899999998509884
20120618,5377939.110000000335276,5766037.250000000000000,11143976.359999999403954
20120619,5424753.319999999366701,5739797.299999999813735,11164550.619999999180436
20120620,5449873.139999999664724,5799895.249999999068677,11249768.389999998733401
20120621,5412193.409999999217689,5730486.349999999627471,11142679.759999997913837
20120622,5420186.080000000074506,5696628.349999999627471,11116814.429999999701977
20120625,5332266.709999999962747,5771115.950000000186265,11103382.660000000149012
20120626,5400775.309999999590218,5804973.949999999254942,11205749.259999997913837
20120627,5465858.479999999515712,5805820.400000000372529,11271678.879999998956919
20120628,5460149.429999999701977,5781273.349999999627471,11241422.779999999329448
20120629,5537792.509999999776483,5901469.249999999068677,11439261.759999997913837
20120702,5562912.330000000074506,5870150.599999998696148,11433062.929999999701977
20120703,5548068.799999999813735,5988653.599999999627471,11536722.399999998509884
20120705,5493261.919999999925494,6016586.449999999254942,11509848.369999999180436
20120706,5485269.250000000000000,6040287.049999999813735,11525556.300000000745058
20120709,5480702.009999999776483,6074145.049999999813735,11554847.059999998658895
20120710,5407626.169999999925494,6103770.799999999813735,11511396.969999998807907
20120711,5397349.879999999888241,6116467.549999999813735,11513817.429999999701977
20120712,5413335.219999999739230,6120699.799999999813735,11534035.019999999552965
20120713,5502396.399999999441206,6194340.950000000186265,11696737.349999999627471
20120716,5464716.669999999925494,6177411.950000000186265,11642128.620000001043081
20120717,5634846.360000000335276,6187569.349999998696148,11822415.709999999031425
20120718,5634846.360000000335276,6166408.099999998696148,11801254.459999999031425
20120719,5593741.200000000186265,6054676.700000000186265,11648417.900000000372529
20120720,5548068.799999999813735,6115621.099999999627471,11663689.899999998509884
20120723,5478418.389999999664724,6081763.099999998696148,11560181.489999998360872
20120724,5498970.969999999739230,6106310.149999999441206,11605281.119999999180436
20120725,5514956.309999999590218,6101231.449999999254942,11616187.759999997913837
20120726,5675951.519999999552965,6235817.000000000000000,11911768.519999999552965
20120727,5702213.149999999441206,6307765.249999999068677,12009978.399999998509884
20120730,5686227.809999999590218,6346701.950000000186265,12032929.759999999776483
20120731,5610868.349999999627471,6300147.200000000186265,11911015.550000000745058
20120801,5610868.349999999627471,6231584.750000000000000,11842453.099999999627471
20120802,5592599.389999999664724,6267982.099999999627471,11860581.489999998360872
