訓練日期,20150325 - 20150625
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11251300.480000000447035
真實報酬,1251300.480000000447035

夏普值報酬,0.116430048000000
夏普值風險,0.037667818583592
夏普值,3.090968693650785

預期報酬,20884.748316767192591
風險,79900.804927808610955
趨勢值,0.261383453341137
找到最佳解世代,1813
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DD[7](3),GS[8](2),JPM[13](1),
Stock#,DD[7](3),GS[8](2),JPM[13](1),
張數,49581,17426,55132,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,2.369999999646097,87.720000000204891,52.279999999795109,
20150325,3306559.259999999310821,3264848.820000000298023,3286470.799999999813735,9857879.879999998956919
20150326,3308542.500000000000000,3262931.960000000428408,3282611.559999999590218,9854087.019999999552965
20150327,3372006.179999999701977,3277221.280000000260770,3283162.879999999422580,9932391.339999999850988
20150330,3436957.289999999105930,3328802.240000000223517,3360899.000000000000000,10126659.529999999329448
20150331,3387872.099999999627471,3275652.940000000409782,3339948.839999999850988,10003474.879999998956919
20150401,3381922.379999999422580,3349887.700000000186265,3305215.680000000167638,10037026.759999999776483
20150402,3406217.069999999832362,3338038.020000000484288,3336640.919999999925494,10080897.009999999776483
20150406,3436957.289999999105930,3346751.020000000484288,3333884.319999999832362,10117593.629999998956919
20150407,3426049.469999999273568,3352675.859999999869615,3354834.479999999981374,10133560.809999998658895
20150408,3415141.649999999441206,3355638.280000000260770,3365860.879999999422580,10136641.809999998658895
20150409,3441419.579999999608845,3396240.859999999869615,3389016.319999999832362,10226677.759999999776483
20150410,3416629.079999999608845,3409310.359999999869615,3401696.680000000167638,10227637.119999999180436
20150413,3408200.309999999590218,3408264.800000000279397,3422095.520000000018626,10238561.629999998956919
20150414,3447865.109999999869615,3445556.440000000409782,3475573.559999999590218,10368996.109999999403954
20150415,3538102.529999999795109,3504456.320000000298023,3540077.999999999534339,10582637.849999999627471
20150416,3512816.219999999273568,3488947.180000000167638,3518025.199999999720603,10519789.599999999627471
20150417,3506370.689999999478459,3439108.820000000298023,3464547.160000000149012,10410027.669999999925494
20150420,3536615.099999999627471,3452178.320000000298023,3486599.959999999962747,10475394.379999998956919
