訓練日期,20091006 - 20100107
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11894228.320000000298023
真實報酬,1894228.320000000298023

夏普值報酬,0.180722832000000
夏普值風險,0.052457245060908
夏普值,3.445145313867787

預期報酬,30290.014484706134681
風險,97070.076560191577300
趨勢值,0.312042758778745
找到最佳解世代,2415
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](27),MSFT[18](3),V[25](2),VZ[26](21),
Stock#,BA[2](27),MSFT[18](3),V[25](2),VZ[26](21),
張數,47819,101461,146713,89253,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,22.680000000167638,0.959999999962747,10.479999999981374,23.469999999739230,
20091006,2500478.189999999944121,2547686.669999999925494,2504401.390000000130385,2517850.599999999627471,10070416.849999999627471
20091007,2476568.689999999944121,2546672.060000000055879,2599764.839999999850988,2451803.379999999422580,10074808.969999998807907
20091008,2500956.379999999888241,2604504.830000000074506,2630574.569999999832362,2433060.250000000000000,10169096.029999999329448
20091009,2519605.790000000037253,2592329.510000000242144,2676055.599999999627471,2433060.250000000000000,10221051.150000000372529
20091012,2470352.220000000204891,2609577.879999999888241,2703931.069999999832362,2419672.299999999813735,10203533.469999998807907
20091013,2481828.780000000260770,2618709.369999999646097,2739142.190000000409782,2421457.359999999869615,10261137.700000001117587
20091014,2510998.370000000111759,2633928.520000000018626,2743543.580000000074506,2415209.649999999441206,10303680.120000001043081
20091015,2475134.120000000111759,2710024.270000000018626,2753813.489999999757856,2429490.129999999422580,10368462.009999999776483
20091016,2543515.290000000037253,2688717.459999999962747,2724470.890000000130385,2411639.529999999795109,10368343.169999999925494
20091019,2555948.230000000447035,2674512.919999999925494,2749412.099999999627471,2416994.709999999497086,10396867.959999999031425
20091020,2481350.590000000316650,2675527.530000000260770,2752346.360000000335276,2403606.759999999776483,10312831.240000002086163
20091021,2421098.650000000372529,2696834.339999999850988,2758214.879999999888241,2422349.889999999664724,10298497.759999999776483
20091022,2442139.010000000242144,2697848.949999999720603,2775820.440000000409782,2421457.359999999869615,10337265.759999999776483
20091023,2385712.590000000316650,2842938.179999999701977,2718602.370000000111759,2407176.879999999422580,10354430.019999999552965
20091026,2309202.189999999944121,2909902.439999999944121,2670187.080000000074506,2390218.810000000055879,10279510.519999999552965
20091027,2283379.930000000167638,2900770.949999999720603,2711266.720000000204891,2436630.369999999646097,10332047.969999998807907
20091028,2258035.860000000335276,2842938.179999999701977,2808097.300000000279397,2499107.469999999739230,10408178.809999998658895
20091029,2334068.070000000298023,2863230.379999999888241,2834505.640000000130385,2507140.239999999757856,10538944.330000000074506
20091030,2285770.879999999888241,2813514.490000000223517,2778754.700000000186265,2468761.449999999720603,10346801.519999999552965
20091102,2308245.810000000521541,2828733.639999999664724,2834505.640000000130385,2454480.969999999739230,10425966.059999998658895
20091103,2300116.580000000074506,2793222.290000000037253,2847709.810000000055879,2425920.009999999776483,10366968.689999999478459
20091104,2298682.010000000242144,2846996.619999999646097,2872651.019999999552965,2428597.599999999627471,10446927.250000000000000
20091105,2379974.310000000521541,2888595.629999999888241,2919599.179999999701977,2445555.669999999459833,10633724.789999999105930
20091106,2375670.600000000093132,2893668.679999999701977,2922533.440000000409782,2466976.389999999664724,10658849.109999999403954
20091109,2455528.330000000074506,2941355.349999999627471,2976817.250000000000000,2517850.599999999627471,10891551.529999999329448
20091110,2406274.760000000242144,2943384.570000000298023,2973882.989999999757856,2529453.489999999757856,10852995.810000000521541
20091111,2423489.600000000093132,2954545.280000000260770,2963613.080000000074506,2533023.609999999869615,10874671.570000000298023
20091112,2404362.000000000000000,2978895.919999999925494,2931336.220000000204891,2516958.069999999832362,10831552.210000000894070
20091113,2423489.600000000093132,3006290.389999999664724,2934270.479999999981374,2514280.479999999981374,10878330.950000001117587
20091116,2509563.799999999813735,2997158.899999999906868,2918132.050000000279397,2531238.549999999813735,10956093.300000000745058
20091117,2511954.750000000000000,3043830.959999999962747,2954810.300000000279397,2558014.449999999720603,11068610.459999999031425
20091118,2487567.060000000521541,3054991.669999999925494,2948941.780000000260770,2558906.979999999981374,11050407.490000002086163
20091119,2459353.850000000093132,3021509.540000000037253,2941606.129999999888241,2546411.560000000055879,10968881.080000000074506
20091120,2472264.980000000447035,3005275.780000000260770,2934270.479999999981374,2539271.319999999832362,10951082.560000000521541
