訓練日期,20160201 - 20160503
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11239023.220000000670552
真實報酬,1239023.220000000670552

夏普值報酬,0.115202322000000
夏普值風險,0.036802640405526
夏普值,3.130273282856677

預期報酬,20149.845084610056801
風險,64110.631717449148709
趨勢值,0.314298027406987
找到最佳解世代,2200
找到最佳解實驗#,1
找到最佳解次數,17

stock[index](rank)
投資組合檔數,5
DD[7](8),MCD[15](27),MMM[16](1),PFE[20](21),XOM[29](5),
Stock#,DD[7](8),MCD[15](27),MMM[16](1),PFE[20](21),XOM[29](5),
張數,33439,16157,13245,65595,25690,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,13.409999999916181,86.540000000037253,5.000000000000000,8.450000000186265,33.500000000232831,
20160201,2027754.369999999878928,2013410.310000000055879,1969933.849999999860302,1979009.600000000325963,1959923.600000000325963,9950031.730000000447035
20160202,2144456.479999999515712,2002746.690000000176951,1958543.150000000139698,1977041.750000000232831,1916250.600000000325963,9999038.669999999925494
20160203,2225713.250000000000000,1962677.330000000074506,2020132.400000000139698,1946212.100000000325963,2016184.700000000419095,10170919.780000001192093
20160204,2256811.519999999552965,1949590.159999999916181,2032317.800000000046566,1902263.450000000186265,2050866.200000000186265,10191849.129999998956919
20160205,2223372.519999999552965,1864604.340000000083819,2032715.149999999906868,1904231.300000000279397,2057288.700000000186265,10082212.010000001639128
20160208,2201637.169999999925494,1875106.389999999897555,2038410.500000000000000,1873401.650000000139698,2085033.900000000139698,10073589.609999999403954
20160209,2219025.450000000186265,1890617.110000000102445,2049536.300000000046566,1908822.950000000186265,2057288.700000000186265,10125290.510000001639128
20160210,2198293.269999999552965,1899180.320000000065193,2019205.249999999767169,1934405.000000000000000,2038535.000000000000000,10089618.839999999850988
20160211,2133421.609999999403954,1886093.150000000139698,1995629.149999999906868,1910790.800000000046566,2044957.500000000000000,9970892.210000000894070
20160212,2190936.689999999478459,1905481.550000000046566,2039205.200000000186265,1925877.650000000139698,2081694.200000000186265,10143195.289999999105930
20160216,2230060.320000000298023,1925677.800000000046566,2059999.850000000093132,1955395.400000000139698,2086575.300000000279397,10257708.670000001788139
20160217,2285234.669999999925494,1916953.020000000018626,2074436.900000000139698,1943588.300000000046566,2106613.500000000000000,10326826.390000000596046
20160218,2265171.269999999552965,1893202.229999999981374,2076556.100000000093132,1938340.700000000186265,2118174.000000000000000,10291444.300000000745058
20160219,2242098.359999999403954,1882861.750000000000000,2072185.249999999767169,1934405.000000000000000,2119458.500000000000000,10251008.859999999403954
20160222,2280553.209999999962747,1901280.729999999981374,2088741.499999999767169,1971138.200000000186265,2116632.600000000558794,10358346.240000000223517
20160223,2237082.509999999776483,1888839.840000000083819,2068476.649999999906868,1965234.650000000139698,2086832.200000000419095,10246465.850000001490116
20160224,2247114.209999999962747,1891424.959999999962747,2082383.899999999906868,1969170.350000000093132,2094282.300000000046566,10284375.720000000670552
20160225,2290584.910000000149012,1912590.630000000121072,2105827.550000000279397,2006559.500000000232831,2106870.400000000372529,10422432.990000000223517
20160226,2321014.399999999441206,1891424.959999999962747,2096291.150000000139698,1982945.300000000279397,2100191.000000000000000,10391866.810000000521541
20160229,2314995.379999999888241,1893525.370000000111759,2077748.150000000139698,1946212.100000000325963,2059087.000000000465661,10291568.000000001862645
20160301,2384214.109999999403954,1920345.989999999990687,2113774.549999999813735,1970482.250000000232831,2088116.700000000186265,10476933.600000001490116
20160302,2362813.149999999441206,1914367.900000000139698,2111390.450000000186265,1966546.550000000279397,2124596.500000000000000,10479714.550000000745058
20160303,2361809.979999999515712,1885446.870000000111759,2110993.100000000093132,1960643.000000000232831,2116889.500000000000000,10435782.449999999254942
20160304,2394914.589999999850988,1893363.800000000046566,2120132.149999999906868,1948835.900000000139698,2114063.600000000558794,10471310.039999999105930
20160307,2369500.950000000186265,1892879.090000000083819,2126754.649999999906868,1954083.500000000232831,2169810.900000000372529,10513029.089999999850988
20160308,2325361.469999999739230,1913398.479999999981374,2121854.000000000000000,1925877.650000000139698,2122798.200000000186265,10409289.800000000745058
20160309,2336396.339999999850988,1933110.020000000018626,2120397.049999999813735,1950803.750000000000000,2116889.500000000000000,10457596.660000000149012
20160310,2339740.240000000223517,1938603.400000000139698,2117748.049999999813735,1940964.500000000232831,2111237.700000000186265,10448293.890000000596046
20160311,2410630.919999999925494,1963969.889999999897555,2144105.600000000093132,2000655.950000000186265,2111494.600000000558794,10630856.960000000894070
20160314,2394245.809999999590218,1985781.840000000083819,2143178.450000000186265,1974417.950000000186265,2117146.400000000372529,10614770.450000001117587
20160315,2390233.129999999888241,1994345.050000000046566,2151125.450000000186265,1937684.750000000232831,2127679.299999999813735,10601067.679999999701977
20160316,2412302.870000000111759,1995799.179999999934807,2157483.049999999813735,1904887.250000000232831,2128963.800000000745058,10599436.150000000372529
20160317,2447748.209999999962747,1989982.659999999916181,2168873.750000000000000,1924565.750000000232831,2160562.500000000000000,10691732.870000001043081
