訓練日期,20150508 - 20150810
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11025307.359999999403954
真實報酬,1025307.359999999403954

夏普值報酬,0.093830736000000
夏普值風險,0.029679677460560
夏普值,3.161447294185979

預期報酬,16717.493461805388506
風險,108219.529183383827331
趨勢值,0.154477602960892
找到最佳解世代,2044
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
JPM[13](2),NKE[19](1),
Stock#,JPM[13](2),NKE[19](1),
張數,77519,98561,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,24.500000000000000,0.470000000670552,
20150508,5076743.809999999590218,5048294.890000000596046,10125038.699999999254942
20150511,5073643.049999999813735,5066035.870000000111759,10139678.919999999925494
20150512,5066666.339999999850988,5045338.060000000521541,10112004.400000000372529
20150513,5079069.379999999888241,5034496.350000000558794,10113565.730000000447035
20150514,5120154.450000000186265,5097575.390000000596046,10217729.839999999850988
20150515,5106976.219999999739230,5173467.360000001266599,10280443.580000001937151
20150518,5148836.480000000447035,5162625.650000001303852,10311462.130000002682209
20150519,5194572.690000000409782,5156711.990000001154840,10351284.680000001564622
20150520,5153487.620000000111759,5155726.380000000819564,10309214.000000000000000
20150521,5166665.850000000558794,5144884.670000000856817,10311550.520000001415610
20150522,5152712.429999999701977,5146855.890000000596046,10299568.320000000298023
20150526,5095348.370000000111759,5096589.780000001192093,10191938.150000002235174
20150527,5152712.429999999701977,5068007.090000000782311,10220719.519999999552965
20150528,5131782.299999999813735,5041395.620000000111759,10173177.919999999925494
20150529,5099224.320000000298023,5010841.710000000894070,10110066.030000001192093
20150601,5122480.019999999552965,5014784.150000001303852,10137264.170000001788139
20150602,5117828.879999999888241,5032525.130000000819564,10150354.010000001639128
20150603,5170541.799999999813735,5052237.330000000074506,10222779.129999998956919
20150604,5141859.769999999552965,5024640.250000000000000,10166500.019999999552965
20150605,5226355.480000000447035,5028582.690000001341105,10254938.170000001788139
20150608,5185270.410000000149012,4999014.390000000596046,10184284.800000000745058
20150609,5207750.920000000856817,4995071.950000000186265,10202822.870000001043081
20150610,5291471.440000000409782,5092647.340000000782311,10384118.780000001192093
20150611,5311626.379999999888241,5119258.810000000521541,10430885.190000001341105
20150612,5290696.250000000000000,5114330.760000000707805,10405027.010000001639128
20150615,5270541.309999999590218,5093632.950000000186265,10364174.259999999776483
20150616,5299998.530000000260770,5152769.550000000745058,10452768.080000001937151
20150617,5282169.160000000149012,5162625.650000001303852,10444794.810000002384186
20150618,5331781.320000000298023,5223733.470000000670552,10555514.790000000968575
20150619,5277518.019999999552965,5250344.940000001341105,10527862.960000000894070
20150622,5345734.739999999292195,5263157.870000000111759,10608892.609999999403954
20150623,5406974.750000000000000,5282870.070000001229346,10689844.820000000298023
20150624,5350385.879999999888241,5234575.180000000633299,10584961.060000000521541
20150625,5321703.850000000558794,5185294.680000000633299,10506998.530000001192093
20150626,5344959.549999999813735,5407056.930000000633299,10752016.480000000447035
20150629,5209301.299999999813735,5306524.710000000894070,10515826.010000001639128
20150630,5252711.940000000409782,5323280.080000000074506,10575992.019999999552965
20150701,5276742.829999999143183,5393258.390000000596046,10670001.219999998807907
20150702,5234107.379999999888241,5414941.810000000521541,10649049.190000001341105
20150706,5219378.769999999552965,5412970.590000000782311,10632349.359999999403954
20150707,5178293.700000000186265,5484920.120000000111759,10663213.820000000298023
20150708,5072092.670000000856817,5385373.510000000707805,10457466.180000001564622
20150709,5124805.589999999850988,5393258.390000000596046,10518063.980000000447035
20150710,5197673.450000000186265,5446481.330000000074506,10644154.780000001192093
20150713,5278293.209999999962747,5540114.280000001192093,10818407.490000002086163
20150714,5351936.260000000707805,5536171.840000000782311,10888108.100000001490116
20150715,5363564.109999999403954,5514488.420000000856817,10878052.530000001192093
20150716,5392246.140000000596046,5536171.840000000782311,10928417.980000000447035
20150717,5365114.489999999292195,5558840.870000000111759,10923955.359999999403954
20150720,5368990.440000000409782,5575596.240000001154840,10944586.680000001564622
20150721,5356587.399999999441206,5568696.970000000670552,10925284.370000001043081
20150722,5432556.019999999552965,5622905.520000000484288,11055461.539999999105930
20150723,5398447.660000000149012,5617977.470000000670552,11016425.130000000819564
20150724,5341858.790000000037253,5568696.970000000670552,10910555.760000001639128
20150727,5272091.690000000409782,5506603.540000000037253,10778695.230000000447035
20150728,5275192.450000000186265,5592351.610000001266599,10867544.060000002384186
20150729,5344184.359999999403954,5663315.530000001192093,11007499.890000000596046
20150730,5351936.260000000707805,5668243.580000000074506,11020179.839999999850988
20150731,5312401.570000000298023,5678099.680000000633299,10990501.250000000000000
20150803,5312401.570000000298023,5659373.090000000782311,10971774.660000000149012
20150804,5306975.239999999292195,5705696.760000000707805,11012672.000000000000000
20150805,5327905.370000000111759,5753991.650000001303852,11081897.020000001415610
20150806,5290696.250000000000000,5673171.630000000819564,10963867.880000000819564
20150807,5275192.450000000186265,5643603.330000000074506,10918795.780000001192093
20150810,5340308.410000000149012,5684998.950000000186265,11025307.359999999403954
