訓練日期,20131029 - 20140131
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11357799.550000000745058
真實報酬,1357799.550000000745058

夏普值報酬,0.127079955000000
夏普值風險,0.037122235519411
夏普值,3.423284002752187

預期報酬,19998.405550098745152
風險,103102.729133085609647
趨勢值,0.193965821450611
找到最佳解世代,2400
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DD[7](4),MRK[17](1),UTX[24](2),
Stock#,DD[7](4),MRK[17](1),UTX[24](2),
張數,59844,73502,31449,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,22.199999999720603,17.299999999813735,53.490000000223517,
20131029,3362656.559999999590218,3350238.459999999497086,3346856.070000000298023,10059752.089999999850988
20131030,3345900.239999999292195,3325247.779999999795109,3332075.040000000502914,10003224.060000000521541
20131031,3363853.439999999944121,3314222.479999999981374,3341509.740000000223517,10019586.660000000149012
20131101,3319568.879999999422580,3324512.759999999776483,3381135.480000000447035,10025218.119999999180436
20131104,3272890.559999999590218,3360528.739999999757856,3395916.510000000242144,10029336.809999998658895
20131105,3299820.359999999869615,3334068.019999999552965,3386481.810000000521541,10020371.189999999478459
20131106,3345900.239999999292195,3378169.219999999739230,3417616.320000000298023,10141686.779999999329448
20131107,3295631.279999999795109,3367878.939999999944121,3373587.720000000204891,10037098.939999999478459
20131108,3380609.759999999776483,3439910.899999999441206,3413842.439999999944121,10234364.099999999627471
20131111,3380011.319999999366701,3454611.299999999813735,3399061.410000000149012,10233685.029999999329448
20131112,3352483.080000000074506,3497977.479999999981374,3379248.540000000502914,10229710.100000001490116
20131113,3374625.359999999869615,3479601.979999999981374,3379563.029999999795109,10233791.369999999180436
20131114,3417713.039999999571592,3514882.939999999944121,3418245.300000000279397,10350842.279999999329448
20131115,3428484.959999999497086,3533258.439999999944121,3415100.400000000372529,10376844.800000000745058
20131118,3397964.520000000018626,3528848.319999999832362,3432082.859999999869615,10358896.699999999254942
20131119,3383601.959999999497086,3533258.439999999944121,3431139.390000000130385,10348000.789999999105930
20131120,3345900.239999999292195,3537668.560000000055879,3422648.160000000149012,10306217.959999999031425
20131121,3377617.559999999590218,3573684.539999999571592,3452210.220000000204891,10403513.320000000298023
20131122,3380011.319999999366701,3597205.179999999701977,3465733.290000000502914,10442950.789999999105930
20131125,3324356.399999999441206,3650126.619999999646097,3469192.680000000167638,10443676.699999999254942
20131126,3305804.759999999776483,3644246.459999999497086,3489005.550000000279397,10439057.769999999552965
20131127,3332136.119999999646097,3662621.959999999497086,3506931.480000000447035,10501690.559999998658895
20131129,3329143.919999999925494,3662621.959999999497086,3486489.630000000353903,10478256.509999999776483
20131202,3407539.559999999590218,3688347.659999999683350,3469192.680000000167638,10565080.899999998509884
20131203,3299820.359999999869615,3657476.819999999832362,3449694.300000000279397,10406992.480000000447035
20131204,3314182.919999999925494,3624400.919999999925494,3426107.550000000279397,10364692.390000000596046
20131205,3290245.319999999366701,3587649.919999999925494,3429566.939999999944121,10307463.179999999701977
20131206,3346498.679999999701977,3630281.080000000074506,3494666.370000000577420,10471447.130000000819564
20131209,3476958.599999999627471,3642776.419999999925494,3496553.310000000521541,10616289.330000000074506
20131210,3560740.199999999720603,3633221.159999999683350,3490263.510000000242144,10684225.869999999180436
20131211,3498502.439999999944121,3597940.200000000186265,3417301.830000000074506,10513745.470000000670552
20131212,3473966.399999999441206,3551633.939999999944121,3399375.900000000372529,10424977.240000000223517
20131213,3538597.919999999925494,3556044.060000000055879,3376103.640000000130385,10470746.620000001043081
20131216,3545180.759999999776483,3534728.479999999981374,3413213.460000000428408,10493123.700000001117587
20131217,3596646.599999999627471,3520763.099999999627471,3384594.870000000577420,10502005.570000000298023
20131218,3707956.439999999944121,3594265.099999999627471,3453468.180000000167638,10755690.719999998807907
20131219,3741469.080000000074506,3586179.879999999888241,3443718.990000000223517,10771368.949999999254942
20131220,3731295.599999999627471,3625135.939999999944121,3480199.830000000074506,10836632.369999999180436
20131223,3739673.759999999776483,3628076.019999999552965,3485231.669999999925494,10852982.449999999254942
20131224,3785753.639999999664724,3631751.119999999646097,3505673.520000000018626,10923179.279999999329448
20131226,3822856.919999999925494,3654536.739999999757856,3544041.300000000279397,11021435.960000000894070
20131227,3800714.639999999664724,3659681.879999999888241,3547500.689999999944121,11007898.209999999031425
20131230,3800714.639999999664724,3670707.179999999701977,3545299.260000000242144,11016722.080000000074506
20131231,3783958.319999999366701,3678792.399999999441206,3578949.689999999944121,11041701.409999998286366
20140102,3738476.879999999422580,3637631.279999999795109,3537751.500000000000000,10913860.660000000149012
20140103,3721720.559999999590218,3655271.759999999776483,3550645.590000000316650,10927638.910000000149012
20140106,3715137.719999999739230,3656006.779999999795109,3547186.200000000651926,10918331.700000001117587
20140107,3673845.359999999869615,3683202.519999999552965,3569829.480000000447035,10926878.359999999403954
20140108,3678034.439999999944121,3659681.879999999888241,3574232.340000000316650,10911949.660000000149012
20140109,3630757.679999999701977,3639836.339999999850988,3576119.279999999795109,10846714.299999998882413
20140110,3639734.279999999795109,3666297.060000000055879,3579893.160000000149012,10885925.500000000000000
20140113,3570315.239999999292195,3904443.539999999571592,3547500.689999999944121,11022260.469999998807907
20140114,3634946.759999999776483,3895623.299999999813735,3542154.359999999869615,11072725.419999999925494
20140115,3669057.839999999850988,3860342.339999999850988,3587440.919999999925494,11116842.099999999627471
20140116,3672050.039999999571592,3858872.299999999813735,3592158.270000000018626,11123081.609999999403954
20140117,3670853.160000000149012,3818446.200000000186265,3591843.779999999795109,11081144.140000000596046
20140121,3914418.239999999292195,3809625.959999999497086,3616374.000000000000000,11340419.199999999254942
20140122,3892874.399999999441206,3774345.000000000000000,3651911.370000000577420,11319131.769999999552965
20140123,3811486.559999999590218,3792720.500000000000000,3611656.650000000372529,11215864.710000000894070
20140124,3699578.279999999795109,3820651.259999999776483,3516051.689999999944121,11036282.229999998584390
20140127,3673246.919999999925494,3861077.359999999869615,3578635.200000000651926,11112960.480000000447035
20140128,3669656.279999999795109,3886068.039999999571592,3580836.630000000353903,11136561.949999999254942
20140129,3812085.000000000000000,3837556.719999999739230,3562281.720000000204891,11211924.439999999478459
20140130,3861755.520000000018626,3933109.319999999832362,3606624.810000000521541,11401490.650000000372529
20140131,3878511.839999999850988,3893418.239999999757856,3585868.470000000204891,11357799.550000000745058
