訓練日期,20141226 - 20150331
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11015286.310000002384186
真實報酬,1015286.310000002384186

夏普值報酬,0.092828631000000
夏普值風險,0.035626352634146
夏普值,2.605617026061470

預期報酬,18797.257183900055679
風險,117668.896744375771959
趨勢值,0.159747033447040
找到最佳解世代,1795
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](4),MRK[17](12),PFE[20](3),UNH[23](1),WBA[27](7),
Stock#,BA[2](4),MRK[17](12),PFE[20](3),UNH[23](1),WBA[27](7),
張數,15239,34806,63653,19477,26085,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,33.639999999897555,47.239999999990687,22.739999999990687,101.639999999897555,63.050000000046566,
20141226,2005943.209999999729916,2011137.919999999925494,2014640.189999999944121,1997467.989999999757856,1994522.149999999906868,10023711.460000000894070
20141229,2016000.949999999720603,2009397.619999999878928,1998090.409999999916181,1993183.049999999813735,2003130.200000000186265,10019802.230000000447035
20141230,2008991.010000000009313,2006613.139999999897555,1997453.879999999888241,2003311.089999999850988,1983827.300000000046566,10000196.419999999925494
20141231,1980798.859999999636784,1976679.979999999981374,1982813.689999999944121,1969031.570000000065193,1987740.050000000046566,9897064.150000000372529
20150102,1980341.689999999711290,1990602.379999999888241,1994271.229999999981374,1962993.699999999953434,1982523.050000000046566,9910732.049999998882413
20150105,1966626.590000000083819,2020187.479999999981374,1983450.219999999972060,1930661.879999999888241,1943395.550000000046566,9844321.720000000670552
20150106,1943463.309999999823049,2099545.160000000149012,2000000.000000000000000,1926766.479999999981374,1948351.699999999953434,9918126.649999998509884
20150107,1973636.529999999795109,2144444.900000000372529,2027370.790000000037253,1946438.250000000000000,1998174.049999999813735,10090064.519999999552965
20150108,2008533.840000000083819,2187604.339999999850988,2068745.239999999990687,2039343.540000000037253,2022954.800000000046566,10327181.759999999776483
20150109,2004571.699999999720603,2177510.599999999627471,2078293.189999999944121,2020256.079999999841675,1973915.000000000000000,10254546.570000000298023
20150112,1994361.570000000065193,2168461.040000000037253,2085931.550000000279397,1997467.989999999757856,1974697.550000000046566,10220919.700000001117587
20150113,1998933.269999999785796,2164632.379999999888241,2064926.059999999823049,2007596.029999999795109,1963220.150000000139698,10199307.889999998733401
20150114,1986894.459999999729916,2180295.080000000074506,2067472.179999999701977,2012660.049999999813735,1956177.199999999953434,10203498.969999998807907
20150115,1983237.099999999627471,2153842.520000000484288,2062379.939999999944121,2034669.059999999823049,1950699.350000000093132,10184827.970000000670552
20150116,1992990.059999999823049,2193869.419999999925494,2087841.139999999897555,2060183.929999999934807,1983305.600000000093132,10318190.149999998509884
20150120,1999695.219999999972060,2179250.900000000372529,2106937.040000000037253,2057262.379999999888241,1983827.300000000046566,10326972.839999999850988
20150121,2017829.629999999888241,2163588.200000000186265,2077656.659999999916181,2129327.279999999329448,1971828.200000000186265,10360229.969999998807907
20150122,2067051.599999999627471,2178554.780000000260770,2088477.670000000158325,2217558.089999999850988,1983044.750000000000000,10534686.890000000596046
