訓練日期,20170517 - 20170817
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11131252.229999998584390
真實報酬,1131252.229999998584390

夏普值報酬,0.104425223000000
夏普值風險,0.035916074617185
夏普值,2.907478729594692

預期報酬,19821.639337212414830
風險,57794.905333399809024
趨勢值,0.342965166615775
找到最佳解世代,3855
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,8
AXP[1](2),BA[2](3),JNJ[12](10),MCD[15](4),NKE[19](9),TRV[22](7),UNH[23](1),V[25](6),
Stock#,AXP[1](2),BA[2](3),JNJ[12](10),MCD[15](4),NKE[19](9),TRV[22](7),UNH[23](1),V[25](6),
張數,15998,6841,9783,8486,23683,10422,7435,13419,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,76.260000000009313,149.300000000046566,26.090000000083819,97.060000000055879,11.260000000009313,89.540000000037253,27.800000000046566,20.149999999906868,
20170517,1221843.520000000018626,1223183.280000000027940,1239238.700000000186265,1242532.320000000065193,1226790.659999999916181,1253335.040000000037253,1255501.900000000139698,1231347.590000000083819,9893773.009999999776483
20170518,1222003.500000000000000,1213742.700000000186265,1242173.600000000093132,1247623.919999999925494,1223948.699999999953434,1259900.899999999906868,1274758.550000000046566,1230676.639999999897555,9914828.510000001639128
20170519,1228722.659999999916181,1236728.459999999962747,1242467.090000000083819,1257297.960000000195578,1226080.170000000158325,1258962.920000000158325,1283234.450000000186265,1241009.270000000018626,9974502.980000000447035
20170522,1231602.300000000046566,1256635.770000000018626,1245010.670000000158325,1257637.400000000139698,1221343.570000000065193,1267925.840000000083819,1298922.300000000046566,1252147.040000000037253,10031224.890000000596046
20170523,1235121.860000000102445,1255404.390000000130385,1247554.250000000000000,1254497.580000000074506,1236263.860000000102445,1268030.060000000055879,1302788.500000000000000,1259527.489999999990687,10059187.990000000223517
20170524,1233842.020000000018626,1267444.550000000046566,1247456.420000000158325,1268754.060000000055879,1231764.089999999850988,1272094.639999999897555,1305539.450000000186265,1272275.540000000037253,10099170.769999999552965
20170525,1238961.379999999888241,1279895.169999999925494,1247652.080000000074506,1271130.140000000130385,1239816.310000000055879,1289499.380000000121072,1323829.550000000046566,1275361.909999999916181,10166145.919999999925494
20170526,1239281.339999999850988,1276611.489999999990687,1241684.450000000186265,1271809.020000000251457,1245500.229999999981374,1288874.060000000055879,1319740.300000000046566,1270396.879999999888241,10153897.770000003278255
20170530,1233362.080000000074506,1278595.380000000121072,1243543.219999999972060,1272403.040000000037253,1253315.620000000111759,1289603.600000000093132,1312974.450000000186265,1271067.829999999841675,10154865.220000000670552
20170531,1230962.379999999888241,1283726.130000000121072,1254695.840000000083819,1280549.599999999860302,1254973.430000000167638,1301276.239999999990687,1302491.100000000093132,1277911.520000000018626,10186586.239999998360872
20170601,1252399.699999999953434,1281605.419999999925494,1259880.830000000074506,1293278.599999999860302,1238632.159999999916181,1307008.340000000083819,1335205.100000000093132,1280192.750000000000000,10248202.900000000372529
20170602,1255759.280000000027940,1301512.729999999981374,1272598.730000000214204,1304734.700000000186265,1254736.599999999860302,1304402.840000000083819,1333792.449999999953434,1290257.000000000000000,10317794.330000000074506
20170605,1263438.320000000065193,1292756.250000000000000,1275337.970000000204891,1296673.000000000000000,1255447.089999999850988,1306799.899999999906868,1333643.750000000000000,1295624.599999999860302,10319720.880000000819564
20170606,1261518.559999999823049,1277706.050000000046566,1279935.980000000214204,1283434.840000000083819,1242895.099999999860302,1292730.199999999953434,1344424.500000000000000,1285426.159999999916181,10268071.390000000596046
20170607,1276876.640000000130385,1286941.399999999906868,1279153.340000000083819,1289459.900000000139698,1260657.349999999860302,1287206.540000000037253,1362194.150000000139698,1289451.859999999869615,10331941.179999999701977
