訓練日期,20160506 - 20160808
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11108780.679999999701977
真實報酬,1108780.679999999701977

夏普值報酬,0.102178068000000
夏普值風險,0.037394613782435
夏普值,2.732427418410604

預期報酬,20657.252493994550605
風險,99421.152207571809413
趨勢值,0.207775227256130
找到最佳解世代,2316
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CSCO[4](3),JNJ[12](2),VZ[26](12),
Stock#,CSCO[4](3),JNJ[12](2),VZ[26](12),
張數,127177,29529,65565,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,23.830000000074506,99.479999999981374,8.399999999906868,
20160506,3374029.640000000130385,3329198.939999999944121,3351691.199999999720603,10054920.779999999329448
20160509,3371486.100000000093132,3358137.359999999869615,3349068.599999999627471,10078693.059999998658895
20160510,3437618.140000000130385,3386189.910000000149012,3379228.500000000000000,10203037.550000000745058
20160511,3395649.729999999981374,3377331.209999999962747,3353658.149999999906868,10126640.089999999850988
20160512,3391834.420000000391155,3373197.149999999906868,3374638.949999999720603,10139671.519999999552965
20160513,3374029.640000000130385,3353412.720000000204891,3339889.499999999534339,10067332.859999999403954
20160516,3429987.520000000018626,3379398.239999999757856,3358903.349999999627471,10168290.109999999403954
20160517,3389290.879999999888241,3361385.549999999813735,3337266.899999999906868,10087944.330000000074506
20160518,3398193.270000000018626,3354298.589999999850988,3303828.750000000000000,10056321.609999999403954
20160519,3506293.720000000204891,3332447.129999999888241,3253999.350000000093132,10092741.199999999254942
20160520,3557164.520000000018626,3326246.040000000037253,3255966.299999999813735,10139377.859999999403954
20160523,3553349.210000000428408,3312072.120000000111759,3221872.500000000000000,10087294.830000000074506
20160524,3620753.020000000018626,3327722.489999999757856,3250721.099999999627471,10199197.609999999403954
20160525,3677982.670000000391155,3347211.629999999888241,3268423.649999999906868,10293618.950000001117587
20160526,3675439.129999999888241,3333923.580000000074506,3288748.799999999813735,10298112.509999999776483
20160527,3677982.670000000391155,3338648.220000000204891,3318908.699999999720603,10335540.589999999850988
20160531,3694515.680000000167638,3327722.489999999757856,3337266.899999999906868,10359506.070000000298023
20160601,3675439.129999999888241,3330380.100000000093132,3306451.350000000093132,10312271.580000000074506
20160602,3698330.989999999757856,3380874.689999999944121,3328743.450000000186265,10407950.129999998956919
20160603,3704689.839999999850988,3388847.520000000018626,3338578.200000000186265,10432116.559999998658895
20160606,3700874.530000000260770,3418671.810000000055879,3324809.549999999813735,10444356.890000000596046
20160607,3697059.220000000204891,3417490.649999999906868,3392997.149999999906868,10507548.019999999552965
20160608,3705961.610000000335276,3419557.679999999701977,3377917.200000000186265,10503437.490000000223517
20160609,3705961.610000000335276,3454992.479999999981374,3406110.149999999906868,10567065.240000000223517
20160610,3691972.140000000130385,3455287.770000000018626,3453316.950000000186265,10600577.859999999403954
20160613,3667808.510000000242144,3448791.390000000130385,3446760.449999999720603,10563361.349999999627471
20160614,3683069.750000000000000,3458535.959999999962747,3474297.750000000000000,10615904.460000000894070
20160615,3643644.879999999888241,3437570.370000000111759,3464463.000000000000000,10545679.250000000000000
20160616,3671623.820000000298023,3444362.040000000037253,3505113.299999999813735,10621100.160000000149012
20160617,3681797.979999999981374,3410108.399999999906868,3526094.100000000093132,10618001.480000000447035
20160620,3662721.430000000167638,3441409.140000000130385,3524782.799999999813735,10628914.370000001043081
20160621,3658906.120000000111759,3430778.700000000186265,3547074.899999999906868,10636760.720000000670552
20160622,3652547.270000000018626,3439046.819999999832362,3542485.350000000093132,10634080.439999999478459
20160623,3716135.770000000018626,3466213.500000000000000,3584446.950000000186265,10766797.219999998807907
20160624,3529185.580000000074506,3414537.750000000000000,3568711.350000000093132,10512435.679999999701977
20160627,3473227.699999999720603,3441704.429999999701977,3589036.500000000000000,10503969.629999998956919
20160628,3534272.660000000149012,3491313.149999999906868,3594281.699999999720603,10619868.509999999776483
20160629,3594045.850000000093132,3523795.049999999813735,3610017.300000000279397,10727859.200000001117587
20160630,3648731.960000000428408,3581967.179999999701977,3661158.000000000000000,10891858.140000000596046
20160701,3662721.430000000167638,3581671.890000000130385,3686728.349999999627471,10931122.669999999925494
20160705,3602948.239999999757856,3610610.310000000055879,3706397.850000000093132,10919957.400000000372529
20160706,3652547.270000000018626,3621536.040000000037253,3688695.299999999813735,10962779.609999999403954
20160707,3655090.810000000055879,3617697.270000000018626,3630998.100000000093132,10903787.179999999701977
20160708,3721222.850000000093132,3627737.129999999888241,3665091.899999999906868,11014052.880000000819564
20160711,3742842.939999999944121,3630099.450000000186265,3667058.850000000093132,11040002.240000000223517
20160712,3765734.799999999813735,3629804.160000000149012,3636898.949999999720603,11032438.910000000149012
20160713,3783539.580000000074506,3632166.479999999981374,3671648.399999999906868,11087355.460000000894070
20160714,3784811.350000000093132,3637481.700000000186265,3661158.000000000000000,11083452.050000000745058
