訓練日期,20091123 - 20100226
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11383149.779999999329448
真實報酬,1383149.779999999329448

夏普值報酬,0.129614978000000
夏普值風險,0.035137163722740
夏普值,3.688828700653410

預期報酬,20388.634262104300433
風險,161674.983847402065294
趨勢值,0.126108775624485
找到最佳解世代,1444
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),HD[9](3),MCD[15](20),UNH[23](2),
Stock#,BA[2](1),HD[9](3),MCD[15](20),UNH[23](2),
張數,48355,91979,39080,87535,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,46.500000000000000,10.779999999795109,52.399999999906868,0.399999999906868,
20091123,2544970.149999999906868,2530353.069999999832362,2500781.600000000093132,2545518.199999999720603,10121623.019999999552965
20091124,2513055.850000000093132,2534952.019999999552965,2509770.000000000000000,2587535.000000000000000,10145312.869999999180436
20091125,2559476.649999999906868,2561625.929999999701977,2518758.399999999906868,2585784.299999999813735,10225645.280000001192093
20091127,2536266.250000000000000,2539550.969999999739230,2485540.399999999906868,2577030.799999999813735,10138388.419999998062849
20091130,2534332.049999999813735,2516556.219999999739230,2471862.399999999906868,2509628.850000000093132,10032379.519999999552965
20091201,2597677.100000000093132,2575422.779999999795109,2483195.600000000093132,2512254.899999999906868,10168550.380000000819564
20091202,2600578.399999999906868,2605775.849999999627471,2442552.399999999906868,2476365.549999999813735,10125272.199999999254942
20091203,2600094.850000000093132,2568984.250000000000000,2421840.000000000000000,2392331.949999999720603,9983251.049999998882413
20091204,2644097.899999999906868,2582781.099999999627471,2406989.600000000093132,2403711.500000000000000,10037580.099999999627471
20091207,2699222.600000000093132,2595658.159999999683350,2420276.799999999813735,2477240.899999999906868,10192398.459999999031425
20091208,2691485.799999999813735,2545069.709999999962747,2368691.199999999720603,2491246.500000000000000,10096493.209999999031425
20091209,2682298.350000000093132,2534032.229999999981374,2368300.399999999906868,2494747.899999999906868,10079378.880000000819564
20091210,2660055.049999999813735,2574502.989999999757856,2385886.399999999906868,2653186.250000000000000,10273630.689999999478459
20091211,2688584.500000000000000,2620492.489999999757856,2409725.199999999720603,2668067.199999999720603,10386869.389999998733401
20091214,2710344.250000000000000,2655444.509999999776483,2428483.600000000093132,2709208.649999999906868,10503481.009999999776483
20091215,2691969.350000000093132,2669241.359999999869615,2423012.399999999906868,2741596.600000000093132,10525819.709999999031425
20091216,2665857.649999999906868,2663722.619999999646097,2439426.000000000000000,2818627.400000000372529,10587633.669999999925494
20091217,2633943.350000000093132,2649005.979999999981374,2419886.000000000000000,2785364.100000000093132,10488199.429999999701977
20091218,2584137.699999999720603,2635209.129999999888241,2429656.000000000000000,2760854.299999999813735,10409857.129999998956919
20091221,2625723.000000000000000,2663722.619999999646097,2448805.199999999720603,2816001.350000000093132,10554252.169999998062849
20091222,2664407.000000000000000,2694075.689999999944121,2460920.000000000000000,2829131.600000000093132,10648534.289999999105930
20091223,2657637.299999999813735,2667401.779999999795109,2476161.199999999720603,2767857.100000000093132,10569057.379999998956919
20091224,2682781.899999999906868,2683038.209999999962747,2478506.000000000000000,2773109.199999999720603,10617435.309999998658895
20091228,2666341.200000000186265,2683958.000000000000000,2485931.199999999720603,2747724.049999999813735,10583954.449999999254942
20091229,2669726.049999999813735,2692236.109999999869615,2485149.600000000093132,2700455.149999999906868,10547566.910000000149012
20091230,2657637.299999999813735,2679359.049999999813735,2457793.600000000093132,2714460.750000000000000,10509250.699999999254942
20091231,2617502.649999999906868,2660963.250000000000000,2440207.599999999627471,2668067.199999999720603,10386740.699999999254942
20100104,2716630.399999999906868,2637048.709999999962747,2453494.799999999813735,2759978.950000000186265,10567152.859999999403954
20100105,2805603.600000000093132,2656364.299999999813735,2434736.399999999906868,2755602.199999999720603,10652306.500000000000000
20100106,2890708.399999999906868,2647166.399999999906868,2401518.399999999906868,2782738.049999999813735,10722131.250000000000000
20100107,3007727.500000000000000,2678439.259999999776483,2419104.399999999906868,2889530.749999999534339,10994801.910000000149012
20100108,2978714.500000000000000,2665562.199999999720603,2416759.600000000093132,2862394.900000000372529,10923431.199999999254942
20100111,2943415.350000000093132,2590139.419999999925494,2435518.000000000000000,2881652.600000000093132,10850725.369999999180436
20100112,2922139.149999999906868,2573583.199999999720603,2448805.199999999720603,2805497.149999999441206,10750024.699999999254942
20100113,2957438.299999999813735,2587380.049999999813735,2446069.600000000093132,2848389.299999999813735,10839277.250000000000000
20100114,2976780.300000000279397,2603016.479999999981374,2448414.399999999906868,2916666.600000000093132,10944877.779999999329448
20100115,2940997.600000000093132,2627850.809999999590218,2433954.799999999813735,2954306.649999999906868,10957109.859999999403954
20100119,2932777.250000000000000,2656364.299999999813735,2480850.799999999813735,3075104.950000000186265,11145097.300000000745058
20100120,2911017.500000000000000,2636128.919999999925494,2462483.199999999720603,3024334.649999999441206,11033964.269999999552965
20100121,2862662.500000000000000,2619572.699999999720603,2469908.399999999906868,2897408.899999999906868,10849552.500000000000000
20100122,2793514.850000000093132,2549668.659999999683350,2477333.600000000093132,2902660.999999999534339,10723178.109999999403954
20100125,2793998.399999999906868,2540470.759999999776483,2465609.600000000093132,2888655.399999999906868,10688734.160000000149012
20100126,2790613.549999999813735,2550588.449999999720603,2493747.200000000186265,2839635.799999999813735,10674585.000000000000000
20100127,2994671.649999999906868,2560706.139999999664724,2490620.799999999813735,2909663.800000000279397,10955662.389999998733401
20100128,3025135.300000000279397,2514716.639999999664724,2455448.799999999813735,2926295.449999999720603,10921596.189999999478459
20100129,2930359.500000000000000,2576342.569999999832362,2439816.799999999813735,2888655.399999999906868,10835174.269999999552965
20100201,2983550.000000000000000,2611294.589999999850988,2496873.600000000093132,2900034.950000000186265,10991753.140000000596046
20100202,2995155.199999999720603,2670161.149999999906868,2502344.799999999813735,2980567.149999999441206,11148228.299999998882413
20100203,2971944.799999999813735,2618652.909999999683350,2548459.199999999720603,2916666.600000000093132,11055723.509999997913837
20100204,2868465.100000000093132,2568984.250000000000000,2503517.200000000186265,2841386.500000000000000,10782353.050000000745058
20100205,2823978.500000000000000,2573583.199999999720603,2476552.000000000000000,2848389.299999999813735,10722503.000000000000000
