訓練日期,20101025 - 20110126
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11569306.820000000298023
真實報酬,1569306.820000000298023

夏普值報酬,0.148230682000000
夏普值風險,0.043992799821900
夏普值,3.369430511358611

預期報酬,25155.119051726895123
風險,92914.962487624972709
趨勢值,0.270732704165674
找到最佳解世代,2023
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](2),DIS[6](4),KO[14](17),WBA[27](5),XOM[29](1),
Stock#,CAT[3](2),DIS[6](4),KO[14](17),WBA[27](5),XOM[29](1),
張數,25533,57191,64913,58702,30147,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,0.110000000102445,30.729999999981374,30.469999999972060,22.859999999869615,48.019999999785796,
20101025,2018383.760000000009313,2028023.590000000083819,1980526.100000000093132,2021719.739999999757856,1995779.419999999925494,10044432.609999999403954
20101026,2008170.560000000288710,2056619.090000000083819,1987666.530000000027940,2004109.139999999897555,2005727.929999999934807,10062293.250000000000000
20101027,1997191.370000000111759,2054331.450000000186265,1986368.270000000018626,1992955.760000000009313,1979801.509999999776483,10010648.359999999403954
20101028,1984935.530000000027940,2088074.139999999897555,1987017.399999999906868,2004109.139999999897555,1996382.359999999636784,10060518.570000000298023
20101029,2006893.909999999916181,2066341.560000000055879,1990263.050000000046566,1988846.620000000111759,2004522.049999999580905,10056867.189999999478459
20101101,2024001.020000000018626,2060622.459999999962747,2003245.649999999906868,1998825.959999999729916,2018389.669999999925494,10105084.759999999776483
20101102,2036256.860000000102445,2065197.739999999990687,2007789.560000000055879,2024654.840000000083819,2045220.500000000000000,10179119.500000000000000
20101103,2039576.149999999906868,2075492.119999999878928,2011035.209999999962747,2065159.219999999739230,2049139.609999999636784,10240402.309999998658895
20101104,2123835.049999999813735,2117813.459999999962747,2027263.459999999962747,2110359.760000000242144,2091646.879999999655411,10470918.609999999403954
20101105,2133026.930000000633299,2127535.930000000167638,2031158.239999999990687,2062811.139999999897555,2110338.019999999552965,10464870.260000001639128
20101108,2122303.070000000298023,2119529.189999999944121,2027263.459999999962747,2059876.040000000037253,2119985.059999999590218,10448956.820000000298023
20101109,2091408.140000000130385,2108090.989999999757856,2033105.629999999888241,2068681.340000000083819,2129330.629999999888241,10430616.730000000447035
20101110,2105451.290000000037253,2115525.820000000298023,2030509.110000000102445,2061050.079999999841675,2144404.129999999888241,10456940.429999999701977
20101111,2104940.629999999888241,2054903.359999999869615,2038298.669999999925494,2066920.280000000027940,2165507.029999999329448,10430569.969999998807907
20101112,2069194.430000000167638,2158990.979999999981374,2042193.449999999953434,2044613.519999999785796,2140183.549999999813735,10455175.929999999701977
20101115,2089110.169999999925494,2130395.479999999981374,2043491.709999999962747,2025828.879999999655411,2124808.580000000074506,10413634.820000000298023
20101116,2052087.320000000298023,2111522.450000000186265,2014929.989999999990687,1996477.879999999655411,2078382.199999999720603,10253399.839999999850988
20101117,2072513.720000000204891,2128679.750000000000000,2029210.850000000093132,1996477.879999999655411,2080492.489999999990687,10307374.689999999478459
20101118,2122047.740000000223517,2149268.509999999776483,2072053.430000000167638,2020545.699999999953434,2119683.589999999850988,10483598.969999998807907
20101119,2144006.120000000111759,2116669.639999999664724,2087632.549999999813735,2040504.379999999655411,2126617.400000000372529,10515430.089999999850988
20101122,2144772.110000000335276,2113238.180000000167638,2086334.290000000037253,2048135.639999999897555,2116065.949999999254942,10508546.169999999925494
20101123,2109791.900000000372529,2065769.649999999906868,2064913.000000000000000,1994716.819999999599531,2079588.079999999841675,10314779.449999999254942
20101124,2162389.879999999888241,2108662.899999999906868,2097369.500000000000000,2014088.479999999981374,2106720.379999999888241,10489231.140000000596046
20101126,2148091.400000000372529,2098940.430000000167638,2081141.250000000232831,1977106.219999999739230,2087124.829999999841675,10392404.129999998956919
20101129,2136346.219999999739230,2082926.950000000186265,2057772.569999999832362,2042852.459999999729916,2093757.169999999925494,10413655.370000001043081
20101130,2160091.910000000149012,2088074.139999999897555,2050632.139999999897555,2045787.560000000055879,2097073.339999999850988,10441659.089999999850988
20101201,2232860.959999999962747,2122960.649999999906868,2099966.020000000484288,2093923.199999999953434,2150433.529999999329448,10700144.359999999403954
20101202,2262734.570000000298023,2135542.670000000391155,2106457.320000000298023,2119752.079999999608845,2154955.580000000074506,10779442.220000000670552
20101203,2282139.650000000372529,2149840.420000000391155,2093474.719999999972060,2163778.579999999608845,2146212.949999999254942,10835446.319999998435378
20101206,2277543.709999999962747,2148124.689999999944121,2077246.469999999972060,2133840.560000000055879,2149830.589999999850988,10786586.019999999552965
20101207,2306906.660000000149012,2134970.759999999776483,2081790.379999999888241,2126209.299999999813735,2154352.639999999664724,10804229.739999998360872
20101208,2288267.570000000298023,2114382.000000000000000,2090229.070000000065193,2140884.799999999813735,2166109.969999999739230,10799873.410000000149012
20101209,2289544.219999999739230,2101228.070000000298023,2104509.929999999701977,2135014.599999999627471,2170632.019999999552965,10800928.839999999850988
20101210,2296438.129999999888241,2096652.789999999804422,2098667.759999999776483,2138536.719999999739230,2176058.480000000447035,10806353.879999998956919
20101213,2339588.900000000372529,2123532.560000000055879,2104509.929999999701977,2139123.739999999757856,2181484.939999999478459,10888240.070000000298023
20101214,2351334.080000000074506,2129823.570000000298023,2074000.819999999832362,2157321.359999999869615,2176058.480000000447035,10888538.310000000521541
20101215,2377633.070000000298023,2113238.180000000167638,2101264.280000000260770,2179628.120000000111759,2166109.969999999739230,10937873.620000001043081
20101216,2379675.709999999962747,2116669.639999999664724,2120738.179999999701977,2214262.299999999813735,2177264.359999999403954,11008610.189999997615814
20101217,2364100.580000000074506,2118957.279999999795109,2132422.520000000484288,2206044.019999999552965,2175757.009999999776483,10997281.409999998286366
20101220,2382229.009999999776483,2119529.189999999944121,2120089.049999999813735,2188433.419999999925494,2177264.359999999403954,10987545.029999997466803
20101221,2416187.900000000372529,2134970.759999999776483,2125282.089999999850988,2162017.519999999552965,2192337.859999999403954,11030796.129999998956919
20101222,2414655.919999999925494,2170429.180000000167638,2129176.870000000111759,2280595.560000000055879,2194749.620000000111759,11189607.149999998509884
20101223,2411591.959999999962747,2156131.430000000167638,2128527.740000000223517,2300554.239999999757856,2206808.419999999925494,11203613.790000000968575
20101227,2401889.419999999925494,2143549.409999999683350,2111650.360000000335276,2287052.779999999795109,2201080.490000000223517,11145222.460000000894070
20101228,2392186.879999999888241,2136686.489999999757856,2121387.309999999590218,2316990.799999999813735,2213440.759999999776483,11180692.239999998360872
20101229,2394484.850000000558794,2150412.330000000074506,2124632.959999999962747,2317577.819999999832362,2211933.410000000149012,11199041.370000001043081
20101230,2396782.820000000298023,2143549.409999999683350,2125931.219999999739230,2303489.339999999850988,2211631.939999999478459,11181384.729999998584390
20101231,2391420.889999999664724,2145265.139999999664724,2135019.040000000037253,2287052.779999999795109,2204396.660000000149012,11163154.509999999776483
20110103,2403932.060000000521541,2162994.350000000093132,2116843.400000000372529,2308185.500000000000000,2247506.870000000111759,11239462.179999999701977
20110104,2392697.540000000037253,2229907.820000000298023,2073351.689999999944121,2327557.159999999683350,2258058.320000000298023,11281572.530000001192093
20110105,2413379.269999999552965,2285383.089999999850988,2061018.219999999972060,2359843.260000000242144,2252028.919999999925494,11371652.759999999776483
20110106,2388356.930000000633299,2267653.879999999888241,2046088.229999999981374,2366887.500000000000000,2266499.480000000447035,11335486.020000001415610
20110107,2393208.200000000186265,2256215.680000000167638,2042193.449999999953434,2352799.019999999552965,2278859.750000000000000,11323276.100000001490116
20110110,2384526.980000000447035,2259075.229999999981374,2046737.360000000102445,2403869.760000000242144,2264992.129999999888241,11359201.460000000894070
20110111,2398825.459999999962747,2253356.129999999888241,2035053.020000000018626,2396825.519999999552965,2281874.449999999254942,11365934.579999998211861
20110112,2387080.280000000260770,2240202.200000000186265,2046088.229999999981374,2418545.260000000242144,2308705.279999999329448,11400621.250000000000000
20110113,2403676.730000000447035,2245349.389999999664724,2057772.569999999832362,2444374.140000000130385,2312624.389999999664724,11463797.219999998807907
20110114,2400357.440000000409782,2247065.120000000111759,2049333.879999999888241,2432633.739999999757856,2346690.500000000000000,11476080.679999999701977
20110118,2457040.700000000186265,2252784.220000000204891,2060369.089999999850988,2463745.799999999813735,2372918.389999999664724,11606858.199999999254942
20110119,2439422.930000000633299,2235626.920000000391155,2058421.699999999953434,2423241.419999999925494,2358749.299999999813735,11515462.270000003278255
20110120,2390144.240000000223517,2240202.200000000186265,2042842.579999999841675,2442613.079999999608845,2343977.269999999552965,11459779.369999999180436
20110121,2368185.860000000335276,2272801.070000000298023,2037649.540000000037253,2447309.239999999757856,2381058.080000000074506,11507003.790000000968575
20110124,2414655.919999999925494,2284239.270000000018626,2053228.659999999916181,2435568.839999999850988,2369300.750000000000000,11556993.439999999478459
20110125,2410059.980000000447035,2279663.989999999757856,2043491.709999999962747,2420893.339999999850988,2372013.980000000447035,11526123.000000000000000
20110126,2444784.860000000335276,2255643.770000000018626,2043491.709999999962747,2423828.439999999944121,2401558.040000000037253,11569306.820000000298023
