訓練日期,20130319 - 20130619
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11563685.730000000447035
真實報酬,1563685.730000000447035

夏普值報酬,0.147668573000000
夏普值風險,0.046831419813701
夏普值,3.153194449099280

預期報酬,26524.253866652423312
風險,82497.186291968522710
趨勢值,0.321517072991793
找到最佳解世代,1981
找到最佳解實驗#,1
找到最佳解次數,7

stock[index](rank)
投資組合檔數,5
AXP[1](9),BA[2](2),INTC[11](3),MRK[17](10),UNH[23](7),
20130507,2135601.839999999850988,2225633.189999999944121,2271870.969999999739230,2075177.599999999860302,2199996.500000000000000,10908280.099999999627471
20130508,2137730.120000000111759,2208023.939999999944121,2281278.269999999552965,2062342.399999999906868,2273086.129999999888241,10962460.859999999403954
20130509,2134689.719999999739230,2221406.969999999739230,2291626.299999999813735,2085262.399999999906868,2254904.629999999888241,10987890.019999999552965
20130510,2130737.199999999720603,2212719.739999999757856,2304796.519999999552965,2106348.799999999813735,2287631.330000000074506,11042233.589999997988343
20130513,2121920.040000000037253,2224928.819999999832362,2265285.859999999403954,2116433.600000000093132,2268722.569999999832362,10997290.889999998733401
20130514,2174214.919999999925494,2256625.469999999739230,2242708.339999999850988,2138436.799999999813735,2244722.989999999757856,11056708.519999999552965
20130515,2212828.000000000000000,2277991.359999999869615,2276574.620000000111759,2142103.999999999534339,2240359.430000000167638,11149857.409999998286366
20130516,2196105.799999999813735,2267660.599999999627471,2252115.639999999664724,2125601.599999999627471,2259631.819999999832362,11101115.459999999031425
20130517,2229246.159999999683350,2322601.459999999962747,2261522.939999999478459,2108182.399999999906868,2285085.919999999925494,11206638.879999998956919
20130520,2262082.479999999981374,2317905.659999999683350,2265285.859999999403954,2072427.199999999953434,2274904.280000000260770,11192605.480000000447035
20130521,2283669.319999999832362,2318610.029999999795109,2271870.969999999739230,2169607.999999999534339,2286176.810000000055879,11329935.129999998956919
20130522,2263298.639999999664724,2299357.250000000000000,2264345.129999999888241,2141187.199999999720603,2264722.640000000130385,11232910.859999999403954
20130523,2270899.639999999664724,2342089.029999999795109,2262463.669999999925494,2169607.999999999534339,2267631.680000000167638,11312692.019999999552965
20130524,2288533.959999999962747,2347958.779999999795109,2250234.179999999701977,2161815.199999999720603,2256722.780000000260770,11305264.899999998509884
20130528,2315593.519999999552965,2350541.469999999739230,2265285.859999999403954,2182901.599999999627471,2303267.419999999925494,11417589.869999999180436
20130529,2305560.199999999720603,2326592.889999999664724,2283159.729999999515712,2148521.599999999627471,2303631.050000000279397,11367465.469999998807907
20130530,2314985.439999999944121,2360637.439999999944121,2277515.349999999627471,2157689.599999999627471,2351266.580000000074506,11462094.409999998286366
20130531,2301911.719999999739230,2324949.359999999869615,2284100.459999999962747,2140728.799999999813735,2277449.689999999944121,11329140.029999999329448
20130603,2325018.759999999776483,2365333.239999999757856,2374410.540000000037253,2220948.799999999813735,2283631.399999999906868,11569342.740000000223517
20130604,2312553.120000000111759,2338801.969999999739230,2385699.299999999813735,2266330.399999999906868,2267631.680000000167638,11571016.469999998807907
20130605,2273027.919999999925494,2312505.489999999757856,2323611.120000000111759,2233783.999999999534339,2245450.250000000000000,11388378.779999999329448
20130606,2318025.839999999850988,2342323.819999999832362,2318907.469999999739230,2227824.799999999813735,2251631.959999999962747,11458713.890000000596046
20130607,2372753.040000000037253,2406421.489999999757856,2313263.089999999850988,2209030.399999999906868,2275267.910000000149012,11576735.929999999701977
20130610,2380050.000000000000000,2400551.739999999757856,2352773.750000000000000,2221407.199999999720603,2315630.839999999850988,11670413.529999999329448
20130611,2326538.959999999962747,2389047.029999999795109,2324551.849999999627471,2180151.199999999720603,2324721.589999999850988,11545010.629999998956919
20130612,2271811.759999999776483,2368620.299999999813735,2301033.599999999627471,2165940.799999999813735,2321085.290000000037253,11428491.750000000000000
20130613,2286709.719999999739230,2398673.419999999925494,2350892.290000000037253,2195736.799999999813735,2332721.450000000186265,11564733.679999999701977
20130614,2218604.759999999776483,2390925.349999999627471,2344307.179999999701977,2198028.799999999813735,2319994.399999999906868,11471860.490000000223517
20130617,2245056.240000000223517,2419100.149999999906868,2361240.320000000298023,2191152.799999999813735,2340721.310000000055879,11557270.820000002160668
20130618,2279716.799999999813735,2443753.099999999627471,2396047.330000000074506,2188860.799999999813735,2388356.840000000316650,11696734.869999999180436
20130619,2256913.799999999813735,2400786.529999999795109,2351833.019999999552965,2181067.999999999534339,2373084.380000000353903,11563685.730000000447035
