訓練日期,20141216 - 20150320
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12264394.600000001490116
真實報酬,2264394.600000001490116

夏普值報酬,0.217739460000000
夏普值風險,0.057021196895428
夏普值,3.818570494044784

預期報酬,33652.097673197044060
風險,140913.271856434497749
趨勢值,0.238814252411104
找到最佳解世代,3122
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](1),UNH[23](3),WBA[27](9),
Stock#,BA[2](1),UNH[23](3),WBA[27](9),
張數,27304,33920,45388,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,60.680000000167638,14.600000000093132,38.280000000260770,
20141216,3392582.680000000167638,3251246.600000000093132,3285675.600000000093132,9929505.880000000819564
20141217,3414698.920000000391155,3362843.399999999906868,3267520.399999999906868,10045063.720000000670552
20141218,3431354.360000000335276,3467995.399999999906868,3375997.720000000204891,10275348.480000000447035
20141219,3446644.600000000093132,3476475.399999999906868,3323801.520000000484288,10246922.519999999552965
20141222,3500979.560000000055879,3495131.400000000372529,3371005.040000000037253,10367117.000000000000000
20141223,3550399.800000000279397,3488686.600000000093132,3472674.160000000614673,10511761.560000000521541
20141224,3583437.640000000596046,3482920.200000000186265,3479936.240000000223517,10546295.080000001937151
20141226,3594086.200000000186265,3478510.600000000093132,3470404.759999999776483,10543002.560000000521541
20141229,3612106.839999999850988,3471048.200000000186265,3485382.800000000745058,10568538.839999999850988
20141230,3599547.000000000465661,3488686.600000000093132,3451795.680000000167638,10540030.280000001192093
20141231,3549034.600000000093132,3428987.400000000372529,3458603.880000000353903,10436626.880000000819564
20150102,3548215.479999999981374,3418472.200000000186265,3449526.280000000260770,10416214.960000000894070
20150105,3523641.880000000353903,3362165.000000000465661,3381444.280000000260770,10267252.160000000149012
20150106,3482139.800000000279397,3355381.000000000000000,3390068.000000000000000,10227589.800000000745058
