訓練日期,20151020 - 20160122
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10991857.650000000372529
真實報酬,991857.650000000372529

夏普值報酬,0.090485765000000
夏普值風險,0.026679336058934
夏普值,3.391604828550416

預期報酬,16871.581336465063941
風險,136480.799892078910489
趨勢值,0.123618716697192
找到最佳解世代,1979
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),WMT[28](3),
Stock#,MCD[15](1),WMT[28](3),
張數,47851,84961,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,49.010000000707805,45.149999999441206,
20151020,4968896.850000000558794,4991503.899999999441206,9960400.750000000000000
20151021,4906690.550000000745058,4982158.189999999478459,9888848.740000000223517
20151022,5305289.380000000819564,5004248.049999998882413,10309537.429999999701977
20151023,5387593.100000000558794,4953271.449999999254942,10340864.550000000745058
20151026,5367974.190000001341105,4929482.370000000111759,10297456.560000002384186
20151027,5342134.650000000372529,4883603.429999998770654,10225738.079999998211861
20151028,5404340.950000000186265,4897197.189999999478459,10301538.140000000596046
20151029,5389028.630000000819564,4924384.709999999962747,10313413.339999999850988
20151030,5371323.760000000707805,4863212.790000000037253,10234536.550000000745058
20151102,5364624.620000001043081,4894648.359999999403954,10259272.980000000447035
20151103,5363189.090000000782311,4937128.859999999403954,10300317.949999999254942
20151104,5378501.410000001080334,4959218.719999998807907,10337720.129999998956919
20151105,5400034.360000000335276,4979609.359999999403954,10379643.719999998807907
20151106,5422045.820000001229346,4994052.729999999515712,10416098.550000000745058
20151109,5403862.440000001341105,4969414.040000000037253,10373276.480000000447035
20151110,5417739.230000000447035,4985556.629999998956919,10403295.859999999403954
20151111,5447885.360000000335276,4892099.529999999329448,10339984.890000000596046
20151112,5364624.620000001043081,4838574.099999999627471,10203198.720000000670552
20151113,5262223.480000000447035,4793544.769999999552965,10055768.250000000000000
20151116,5314381.070000001229346,4916738.219999998807907,10231119.289999999105930
20151117,5308638.950000000186265,5090908.269999999552965,10399547.219999998807907
20151118,5384722.040000000968575,5176718.879999998956919,10561440.919999999925494
20151119,5421567.310000000521541,5157177.849999999627471,10578745.160000000149012
20151120,5450756.420000000856817,5103652.419999999925494,10554408.839999999850988
20151123,5477552.980000000447035,5119795.009999998845160,10597347.989999998360872
20151124,5468461.290000000968575,5090908.269999999552965,10559369.560000000521541
20151125,5474203.410000001080334,5118095.790000000037253,10592299.200000001117587
20151127,5466068.740000001154840,5088359.439999999478459,10554428.179999999701977
20151130,5462719.170000000856817,4999150.389999999664724,10461869.560000000521541
20151201,5476595.960000000894070,5011894.540000000037253,10488490.500000000000000
20151202,5441664.730000000447035,4957519.500000000000000,10399184.230000000447035
20151203,5425873.900000000372529,5016142.589999998919666,10442016.489999998360872
20151204,5560335.210000000894070,5068818.409999999217689,10629153.620000001043081
20151207,5570862.430000000633299,5140185.649999999441206,10711048.080000000074506
20151208,5576126.040000000968575,5064570.359999999403954,10640696.400000000372529
20151209,5578518.590000000782311,5023789.080000000074506,10602307.670000001788139
20151210,5608186.210000000894070,5060322.309999999590218,10668508.519999999552965
20151211,5554593.090000000782311,5043330.109999999403954,10597923.199999999254942
20151214,5563206.270000001415610,5130839.939999999478459,10694046.210000000894070
20151215,5595266.440000001341105,5067119.189999999478459,10662385.630000000819564
20151216,5638810.850000000558794,5123193.449999999254942,10762004.300000000745058
20151217,5622541.510000000707805,5011044.929999998770654,10633586.439999999478459
20151218,5582346.670000000856817,5000000.000000000000000,10582346.670000001788139
20151221,5631633.200000000186265,5059472.699999999254942,10691105.899999998509884
20151222,5633068.730000000447035,5143584.089999998919666,10776652.820000000298023
20151223,5684747.810000000521541,5190312.639999999664724,10875060.449999999254942
20151224,5673742.080000000074506,5168222.779999999329448,10841964.859999999403954
20151228,5682355.260000000707805,5161425.899999999441206,10843781.160000000149012
20151229,5745518.580000000074506,5234492.359999999403954,10980010.939999999478459
20151230,5714893.940000001341105,5240439.629999998956919,10955333.570000000298023
20151231,5653166.150000000372529,5208154.449999999254942,10861320.599999999627471
20160104,5626369.590000000782311,5221748.209999999962747,10848117.800000000745058
20160105,5703888.210000000894070,5345791.269999999552965,11049679.480000000447035
20160106,5665607.410000001080334,5399316.699999999254942,11064924.109999999403954
20160107,5534495.670000000856817,5525058.979999999515712,11059554.650000000372529
20160108,5525882.490000001154840,5398467.089999998919666,10924349.580000000074506
20160111,5583782.200000000186265,5456240.569999999366701,11040022.769999999552965
20160112,5619670.450000000186265,5405263.969999998807907,11024934.419999998062849
20160113,5508656.130000000819564,5260830.269999999552965,10769486.400000000372529
20160114,5580432.630000000819564,5357685.809999999590218,10938118.440000001341105
20160115,5511527.190000001341105,5261679.879999998956919,10773207.070000000298023
20160119,5622541.510000000707805,5315205.309999999590218,10937746.820000000298023
20160120,5540237.790000000968575,5169072.389999999664724,10709310.179999999701977
20160121,5638810.850000000558794,5257431.830000000074506,10896242.679999999701977
20160122,5665607.410000001080334,5326250.239999999292195,10991857.650000000372529
