訓練日期,20150408 - 20150709
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10865288.419999999925494
真實報酬,865288.419999999925494

夏普值報酬,0.077828842000000
夏普值風險,0.025732943426945
夏普值,3.024482691649860

預期報酬,14887.960941547002221
風險,79524.623701888631331
趨勢值,0.187211963395854
找到最佳解世代,1836
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DIS[6](1),GS[8](3),NKE[19](4),
Stock#,DIS[6](1),GS[8](3),NKE[19](4),
張數,31616,17325,66920,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,58.119999999646097,176.250000000465661,47.799999999813735,
20150408,3362735.879999999422580,3336278.250000000465661,3374154.199999999720603,10073169.330000000074506
20150409,3375698.439999999478459,3376645.500000000000000,3370139.000000000000000,10122483.939999999478459
20150410,3381389.319999999832362,3389639.250000000000000,3345378.600000000093132,10116408.169999999925494
20150413,3367478.279999999795109,3388599.750000000465661,3321956.599999999627471,10078035.629999998956919
20150414,3372220.679999999701977,3425675.250000000465661,3330656.200000000186265,10128553.129999998956919
20150415,3382337.799999999813735,3484233.750000000465661,3340694.199999999720603,10207266.750000000000000
20150416,3417747.719999999273568,3468814.500000000465661,3342701.799999999813735,10229265.019999999552965
20150417,3373169.159999999683350,3419265.000000000465661,3297865.399999999906868,10090300.560000000521541
20150420,3421541.639999999664724,3432258.750000000465661,3346047.799999999813735,10199849.190000001341105
20150421,3404469.000000000000000,3410429.250000000465661,3356085.799999999813735,10170985.050000000745058
20150422,3412689.159999999683350,3436070.250000000465661,3351401.399999999906868,10200161.810000000521541
20150423,3446202.119999999646097,3453222.000000000465661,3383523.000000000000000,10282948.120000001043081
20150424,3462958.599999999627471,3430353.000000000465661,3378169.399999999441206,10271482.000000000000000
20150427,3482876.679999999701977,3404885.250000000465661,3377500.199999999720603,10265263.129999998956919
20150428,3475288.839999999850988,3421690.500000000465661,3341363.399999999906868,10238343.740000000223517
20150429,3471811.079999999608845,3440228.250000000465661,3352070.600000000093132,10264110.929999999701977
20150430,3437349.639999999664724,3403152.750000000465661,3307234.199999999720603,10147737.589999999850988
20150501,3494258.439999999478459,3422383.500000000465661,3372146.599999999627471,10288789.539999999105930
20150504,3510382.599999999627471,3453048.750000000465661,3374154.199999999720603,10337586.549999998882413
20150505,3503427.079999999608845,3418225.500000000465661,3360101.000000000000000,10281754.580000000074506
20150506,3468965.639999999664724,3400207.500000000465661,3353409.000000000000000,10222583.140000000596046
20150507,3454422.279999999795109,3419958.000000000000000,3394899.399999999441206,10269280.679999999701977
20150508,3481295.879999999422580,3473838.750000000465661,3427690.199999999720603,10382825.830000000074506
20150511,3433555.719999999273568,3495148.500000000465661,3439735.799999999813735,10368441.019999999552965
20150512,3453789.959999999497086,3474358.500000000465661,3425682.599999999627471,10353832.059999998658895
20150513,3452209.159999999683350,3489951.000000000465661,3418321.399999999906868,10360482.560000000521541
