訓練日期,20121011 - 20130116
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11114024.000000000000000
真實報酬,1114024.000000000000000

夏普值報酬,0.102702400000000
夏普值風險,0.034296360902497
夏普值,2.994556777961938

預期報酬,18497.344495916284359
風險,137969.711745744949440
趨勢值,0.134068153523462
找到最佳解世代,3287
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,2
BA[2](4),V[25](1),
Stock#,BA[2](4),V[25](1),
張數,71083,145560,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,21.779999999329448,14.000000000000000,
20121011,5034830.669999998994172,5059679.599999999627471,10094510.269999999552965
20121012,5107335.329999999143183,5062590.799999999813735,10169926.129999998956919
20121015,5135768.529999999329448,5090247.200000000186265,10226015.730000000447035
20121016,5223200.619999999180436,5136826.399999999441206,10360027.019999999552965
20121017,5233863.069999999366701,5187772.400000000372529,10421635.469999998807907
20121018,5278645.359999999403954,5163027.200000000186265,10441672.559999998658895
20121019,5260874.609999999403954,5093158.400000000372529,10354033.009999999776483
20121022,5238838.879999999888241,5058224.000000000000000,10297062.879999998956919
20121023,5176285.839999998919666,4972343.599999999627471,10148629.439999997615814
20121024,5168466.709999999031425,4966521.199999999254942,10134987.909999998286366
20121025,5085299.599999999627471,5005822.400000000372529,10091122.000000000000000
20121026,5054733.909999999217689,5033478.799999999813735,10088212.709999999031425
20121031,5007108.299999998882413,5049490.399999999441206,10056598.699999999254942
20121101,5031987.349999999627471,5235807.200000000186265,10267794.550000000745058
20121102,4979385.929999998770654,5218340.000000000000000,10197725.929999999701977
20121105,5004975.809999998658895,5149926.800000000745058,10154902.609999999403954
20121106,5119419.439999999478459,5235807.200000000186265,10355226.640000000596046
20121107,4983650.909999999217689,5187772.400000000372529,10171423.309999998658895
20121108,5045493.119999999180436,5170305.200000000186265,10215798.320000000298023
20121109,5206851.529999999329448,5200872.799999999813735,10407724.329999998211861
20121112,5238128.049999998882413,5212517.600000000558794,10450645.649999998509884
20121113,5214670.659999999217689,5183405.599999999627471,10398076.259999997913837
20121114,5067528.849999999627471,5093158.400000000372529,10160687.250000000000000
20121115,5049758.099999999627471,5094614.000000000000000,10144372.099999999627471
20121116,5030565.689999999478459,5193594.799999999813735,10224160.489999998360872
20121119,5115154.459999999031425,5299853.599999999627471,10415008.059999998658895
20121120,5156382.599999999627471,5326054.400000000372529,10482437.000000000000000
20121121,5199743.229999999515712,5337699.200000000186265,10537442.429999999701977
20121123,5241682.199999999254942,5390100.799999999813735,10631783.000000000000000
20121126,5279356.189999999478459,5358077.600000000558794,10637433.789999999105930
20121127,5294994.449999999254942,5342066.000000000000000,10637060.449999999254942
20121128,5266561.250000000000000,5359533.200000000186265,10626094.449999999254942
20121129,5268693.739999999292195,5393012.000000000000000,10661705.739999998360872
20121130,5280067.019999999552965,5448324.799999999813735,10728391.820000000298023
20121203,5261585.439999999478459,5409023.599999999627471,10670609.039999999105930
20121204,5263717.929999998770654,5371178.000000000000000,10634895.929999999701977
20121205,5250922.989999999292195,5388645.200000000186265,10639568.189999999478459
20121206,5258742.119999999180436,5403201.199999999254942,10661943.319999998435378
20121207,5305656.899999999441206,5406112.400000000372529,10711769.300000000745058
20121210,5368920.769999999552965,5410479.200000000186265,10779399.969999998807907
20121211,5389534.839999998919666,5419212.799999999813735,10808747.639999998733401
20121212,5364655.789999999105930,5381367.200000000186265,10746022.989999998360872
20121213,5282910.339999998919666,5356622.000000000000000,10639532.339999999850988
20121214,5261585.439999999478459,5343521.600000000558794,10605107.039999999105930
20121217,5306367.729999999515712,5426490.799999999813735,10732858.529999999329448
20121218,5368209.939999999478459,5484714.799999999813735,10852924.739999998360872
20121219,5367499.109999999403954,5427946.399999999441206,10795445.509999997913837
20121220,5416546.379999999888241,5548761.199999999254942,10965307.579999998211861
20121221,5414413.889999999664724,5486170.399999999441206,10900584.289999999105930
20121224,5400197.289999999105930,5502182.000000000000000,10902379.289999999105930
20121226,5403751.439999999478459,5449780.399999999441206,10853531.839999999850988
20121227,5390245.669999998994172,5436680.000000000000000,10826925.669999998062849
20121228,5309211.049999998882413,5409023.599999999627471,10718234.649999998509884
20121231,5356836.659999999217689,5516738.000000000000000,10873574.660000000149012
20130102,5478388.589999998919666,5655020.000000000000000,11133408.589999999850988
20130103,5506821.789999999105930,5659386.800000000745058,11166208.589999999850988
20130104,5522460.049999998882413,5704510.399999999441206,11226970.449999999254942
20130107,5411570.569999999366701,5745267.200000000186265,11156837.769999999552965
20130108,5269404.569999999366701,5799124.400000000372529,11068528.969999998807907
20130109,5456352.859999999403954,5887916.000000000000000,11344268.859999999403954
20130110,5479810.250000000000000,5841336.800000000745058,11321147.050000000745058
20130111,5342620.059999998658895,5864626.399999999441206,11207246.459999997168779
20130114,5441425.429999998770654,5845703.599999999627471,11287129.029999997466803
20130115,5469147.799999998882413,5838425.599999999627471,11307573.399999998509884
20130116,5284332.000000000000000,5829692.000000000000000,11114024.000000000000000
