訓練日期,20100104 - 20100407
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11250019.639999998733401
真實報酬,1250019.639999998733401

夏普值報酬,0.116301964000000
夏普值風險,0.040615782440343
夏普值,2.863467278288339

預期報酬,22114.382133667852031
風險,128007.605371331083006
趨勢值,0.172758345642959
找到最佳解世代,1841
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),MCD[15](2),PG[21](3),TRV[22](4),
Stock#,BA[2](1),MCD[15](2),PG[21](3),TRV[22](4),
張數,46185,40038,41233,50140,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,5.949999999720603,27.280000000260770,43.209999999962747,19.600000000093132,
20100104,2594679.249999999534339,2513612.920000000391155,2520204.169999999925494,2497493.000000000000000,10125989.339999999850988
20100105,2679659.649999999906868,2494394.680000000167638,2521028.830000000074506,2438327.800000000279397,10133410.960000000894070
20100106,2760945.250000000000000,2460362.380000000353903,2509071.260000000242144,2403731.200000000186265,10134110.089999999850988
20100107,2872712.949999999720603,2478379.479999999981374,2495464.370000000111759,2438327.800000000279397,10284884.599999999627471
20100108,2845001.949999999720603,2475977.200000000186265,2492165.729999999981374,2434818.000000000000000,10247962.880000000819564
20100111,2811286.899999999441206,2495195.440000000409782,2482269.810000000055879,2433815.200000000186265,10222567.350000001490116
20100112,2790965.499999999534339,2508808.360000000335276,2510720.580000000074506,2449358.600000000093132,10259853.039999999105930
20100113,2824680.549999999348074,2506005.700000000186265,2536697.370000000111759,2457882.400000000372529,10325266.019999999552965
20100114,2843154.549999999813735,2508407.979999999981374,2539171.350000000093132,2470918.800000000279397,10361652.679999999701977
20100115,2808977.649999999906868,2493593.920000000391155,2507834.270000000018626,2446350.200000000186265,10256756.039999999105930
20100119,2801126.199999999720603,2541639.520000000018626,2544943.969999999739230,2478439.800000000279397,10366149.490000000223517
20100120,2780342.949999999720603,2522821.660000000149012,2492578.060000000055879,2453369.800000000279397,10249112.470000000670552
20100121,2734157.949999999720603,2530428.880000000353903,2467425.930000000167638,2454372.600000000093132,10186385.359999999403954
20100122,2668113.399999999906868,2538036.100000000093132,2486805.439999999944121,2422283.000000000000000,10115237.939999999478459
20100125,2668575.250000000000000,2526024.700000000186265,2500000.000000000000000,2451364.200000000186265,10145964.150000000372529
20100126,2665342.299999999813735,2554852.060000000521541,2502473.979999999981374,2518551.799999999813735,10241220.140000000596046
20100127,2860242.999999999534339,2551649.020000000018626,2507421.939999999944121,2552145.600000000093132,10471459.559999998658895
20100128,2889339.549999999813735,2515614.820000000298023,2543294.649999999906868,2520557.400000000372529,10468806.419999999925494
20100129,2798816.949999999720603,2499599.620000000111759,2537934.359999999869615,2540613.400000000372529,10376964.330000000074506
20100201,2849620.449999999720603,2558055.100000000093132,2556076.879999999888241,2541616.200000000186265,10505368.629999998956919
20100202,2860704.849999999627471,2563660.420000000391155,2593598.909999999683350,2561672.200000000186265,10579636.379999998956919
20100203,2838536.049999999813735,2610905.260000000242144,2583290.659999999683350,2535599.399999999906868,10568331.370000001043081
20100204,2739700.149999999906868,2564861.560000000521541,2531749.409999999683350,2493481.799999999813735,10329792.920000001788139
20100205,2697209.949999999720603,2537235.340000000316650,2527626.109999999869615,2521058.800000000279397,10283130.200000001117587
20100208,2673655.599999999627471,2519218.240000000223517,2515668.540000000037253,2459386.600000000093132,10167928.980000000447035
20100209,2759097.849999999627471,2545242.940000000409782,2546593.290000000037253,2485459.399999999906868,10336393.480000000447035
20100210,2749860.849999999627471,2532430.780000000260770,2542882.319999999832362,2491476.200000000186265,10316650.149999998509884
20100211,2798355.100000000093132,2554051.300000000279397,2554839.890000000130385,2517047.600000000093132,10424293.890000000596046
20100212,2754941.199999999720603,2546043.700000000186265,2546593.290000000037253,2529582.600000000093132,10377160.790000000968575
20100216,2829299.049999999813735,2562859.660000000614673,2590712.600000000093132,2587745.000000000000000,10570616.310000000521541
20100217,2855162.649999999906868,2572869.160000000614673,2591537.260000000242144,2594764.600000000093132,10614333.669999999925494
20100218,2904580.599999999627471,2581677.520000000484288,2613803.080000000074506,2644403.200000000186265,10744464.400000000372529
20100219,2936910.100000000093132,2592087.399999999906868,2616277.060000000055879,2651422.800000000279397,10796697.360000001266599
20100222,2954460.399999999441206,2593288.540000000037253,2615040.069999999832362,2659445.200000000186265,10822234.210000000894070
20100223,2899038.399999999906868,2597292.340000000316650,2606381.140000000130385,2625350.000000000000000,10728061.880000000819564
20100224,2931829.749999999534339,2612907.160000000614673,2634419.580000000074506,2646910.200000000186265,10826066.690000001341105
20100225,2903656.899999999441206,2577673.720000000204891,2626585.310000000055879,2644904.600000000093132,10752820.529999999329448
20100226,2917050.549999999348074,2556453.580000000540167,2609267.450000000186265,2636882.200000000186265,10719653.780000001192093
20100301,2955845.949999999720603,2561658.520000000018626,2618751.040000000037253,2661450.799999999813735,10797706.309999998658895
20100302,2976167.349999999627471,2565261.939999999944121,2626997.640000000130385,2671980.200000000186265,10840407.129999998956919
20100303,2976629.199999999720603,2547645.220000000204891,2620400.359999999869615,2663456.399999999906868,10808131.179999999701977
20100304,3027432.699999999720603,2539637.620000000111759,2625348.319999999832362,2685016.600000000093132,10877435.240000000223517
20100305,3137353.000000000000000,2549246.740000000223517,2626172.979999999981374,2704571.200000000186265,11017343.920000001788139
20100308,3105485.349999999627471,2607301.840000000316650,2605556.479999999981374,2697551.600000000093132,11015895.269999999552965
20100309,3130887.100000000093132,2606501.080000000074506,2610092.109999999869615,2686019.399999999906868,11033499.689999999478459
20100310,3233417.799999999813735,2600095.000000000000000,2598134.540000000037253,2651924.200000000186265,11083571.539999999105930
20100311,3236188.899999999441206,2610905.260000000242144,2604731.819999999832362,2688526.399999999906868,11140352.380000000819564
20100312,3225104.499999999534339,2623717.420000000391155,2610916.770000000018626,2665462.000000000000000,11125200.689999999478459
20100315,3205244.950000000186265,2639732.620000000577420,2626585.310000000055879,2643901.799999999813735,11115464.679999999701977
20100316,3173839.149999999441206,2645337.939999999944121,2619575.700000000186265,2649918.600000000093132,11088671.389999998733401
20100317,3204321.249999999534339,2657749.720000000204891,2639367.540000000037253,2656938.200000000186265,11158376.710000000894070
20100318,3273136.899999999906868,2669761.120000000577420,2627822.299999999813735,2676492.800000000279397,11247213.120000001043081
20100319,3266209.149999999441206,2663755.420000000391155,2632357.930000000167638,2680504.000000000000000,11242826.500000000000000
20100322,3321169.299999999348074,2682973.660000000614673,2634007.250000000000000,2676994.200000000186265,11315144.410000000149012
20100323,3333639.250000000000000,2696586.580000000074506,2660808.700000000186265,2702565.600000000093132,11393600.130000000819564
20100324,3340105.149999999441206,2674565.680000000167638,2622874.339999999850988,2710588.000000000000000,11348133.169999999925494
20100325,3347956.599999999627471,2678569.480000000447035,2623286.669999999925494,2711590.799999999813735,11361403.550000000745058
20100326,3352575.100000000093132,2692983.160000000614673,2626172.979999999981374,2725128.600000000093132,11396859.839999999850988
20100329,3422776.299999999813735,2685375.939999999944121,2627822.299999999813735,2745686.000000000000000,11481660.539999999105930
20100330,3395989.000000000000000,2692182.399999999906868,2624935.989999999757856,2704069.800000000279397,11417177.190000001341105
20100331,3353498.799999999813735,2671362.640000000130385,2608855.120000000111759,2704571.200000000186265,11338287.759999997913837
20100401,3371049.099999999627471,2705795.320000000298023,2612566.089999999850988,2703568.400000000372529,11392978.910000000149012
20100405,3327173.350000000093132,2723812.420000000391155,2629059.290000000037253,2673985.799999999813735,11354030.859999999403954
20100406,3341952.549999999813735,2715004.060000000521541,2602257.839999999850988,2636882.200000000186265,11296096.649999998509884
20100407,3329944.449999999254942,2710599.880000000353903,2577105.709999999962747,2632369.600000000093132,11250019.639999998733401
