訓練日期,20110114 - 20110418
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11266491.259999997913837
真實報酬,1266491.259999997913837

夏普值報酬,0.117949126000000
夏普值風險,0.042865964599300
夏普值,2.751579886340096

預期報酬,24719.323656648677570
風險,136366.151677882153308
趨勢值,0.181271696476700
找到最佳解世代,2436
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CVX[5](2),PFE[20](1),
Stock#,CVX[5](2),PFE[20](1),
張數,54241,274423,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,64.619999999180436,12.940000000409782,
20110114,5035256.649999999441206,5032930.760000000707805,10068187.410000000149012
20110118,5063461.969999998807907,5043907.679999999701977,10107369.649999998509884
20110119,5042850.389999998733401,5027442.300000000745058,10070292.689999999478459
20110120,5028747.729999998584390,5005488.459999999962747,10034236.189999997615814
20110121,5086785.599999999627471,5038419.220000000670552,10125204.820000000298023
20110124,5104142.719999998807907,5063117.290000000037253,10167260.009999997913837
20110125,5103057.899999999441206,5068605.750000000000000,10171663.649999998509884
20110126,5133432.859999999403954,5038419.220000000670552,10171852.080000000074506
20110127,5139399.369999999180436,5071349.980000000447035,10210749.349999999627471
20110128,5064546.789999999105930,4980790.389999999664724,10045337.179999999701977
20110131,5149162.750000000000000,5000000.000000000000000,10149162.750000000000000
20110201,5219133.639999998733401,5274423.000000000000000,10493556.639999998733401
20110202,5233236.299999999813735,5203073.020000000484288,10436309.320000000298023
20110203,5278256.329999999143183,5260701.850000000558794,10538958.179999999701977
20110204,5267408.129999998956919,5296376.840000000782311,10563784.969999998807907
20110207,5297240.679999998770654,5225026.860000000335276,10522267.539999999105930
20110208,5301579.959999999031425,5257957.620000000111759,10559537.579999998211861
20110209,5220218.459999999031425,5227771.090000000782311,10447989.550000000745058
20110210,5245169.319999999366701,5222282.630000000819564,10467451.949999999254942
20110211,5231609.069999999366701,5167398.030000000260770,10399007.099999999627471
20110214,5258729.569999999366701,5227771.090000000782311,10486500.660000000149012
20110215,5225642.559999999590218,5227771.090000000782311,10453413.650000000372529
20110216,5242999.679999998770654,5290888.380000000819564,10533888.059999998658895
20110217,5270662.589999998919666,5315586.450000001117587,10586249.039999999105930
20110218,5354736.139999998733401,5266190.310000000521541,10620926.449999999254942
20110222,5441521.739999998360872,5183863.410000000149012,10625385.149999998509884
20110223,5547291.689999998547137,5148188.420000000856817,10695480.109999999403954
20110224,5534273.849999999627471,5186607.639999999664724,10720881.489999998360872
20110225,5538070.719999998807907,5175630.720000000670552,10713701.439999999478459
20110228,5627568.369999999180436,5279911.459999999962747,10907479.829999998211861
20110301,5581463.519999999552965,5252469.160000000149012,10833932.679999999701977
20110302,5612380.889999998733401,5266190.310000000521541,10878571.199999999254942
20110303,5651434.409999999217689,5425355.650000000372529,11076790.059999998658895
20110304,5627568.369999999180436,5395169.120000000111759,11022737.489999998360872
20110307,5587430.029999999329448,5381447.970000000670552,10968878.000000000000000
20110308,5628653.189999998547137,5400657.580000000074506,11029310.769999999552965
20110309,5540240.359999999403954,5395169.120000000111759,10935409.480000000447035
20110310,5374262.899999999441206,5312842.220000000670552,10687105.120000001043081
20110311,5420367.750000000000000,5343028.750000000000000,10763396.500000000000000
20110314,5467557.419999998994172,5436332.570000000298023,10903889.989999998360872
20110315,5490881.049999999813735,5422611.420000000856817,10913492.470000000670552
20110316,5397586.529999999329448,5296376.840000000782311,10693963.370000001043081
20110317,5545664.459999999031425,5455542.179999999701977,11001206.639999998733401
20110318,5576039.419999998994172,5537869.080000000074506,11113908.500000000000000
20110321,5705675.409999999217689,5482984.480000000447035,11188659.890000000596046
20110322,5707845.049999999813735,5472007.560000000521541,11179852.609999999403954
20110323,5721405.299999999813735,5466519.100000000558794,11187924.400000000372529
20110324,5715981.199999999254942,5570799.840000000782311,11286781.039999999105930
20110325,5791918.599999999627471,5584520.990000001154840,11376439.589999999850988
20110328,5751780.259999999776483,5562567.150000000372529,11314347.410000000149012
20110329,5823920.789999999105930,5592753.679999999701977,11416674.469999998807907
20110330,5858635.029999999329448,5581776.760000000707805,11440411.789999999105930
20110331,5830429.709999999031425,5573544.070000000298023,11403973.779999999329448
20110401,5875449.739999998360872,5592753.679999999701977,11468203.419999998062849
20110404,5870568.049999999813735,5636661.360000000335276,11507229.410000000149012
20110405,5930233.149999999441206,5611963.290000000037253,11542196.439999999478459
20110406,5893891.679999998770654,5568055.610000000335276,11461947.289999999105930
20110407,5909079.159999999217689,5579032.530000000260770,11488111.689999999478459
20110408,5948132.679999998770654,5614707.520000000484288,11562840.199999999254942
20110411,5846159.599999999627471,5672336.350000000558794,11518495.949999999254942
20110412,5650892.000000000000000,5614707.520000000484288,11265599.519999999552965
20110413,5630822.829999999143183,5614707.520000000484288,11245530.349999999627471
20110414,5688860.699999999254942,5622940.209999999962747,11311800.910000000149012
20110415,5762628.459999999031425,5633917.130000000819564,11396545.589999999850988
20110418,5668249.119999999180436,5598242.139999999664724,11266491.259999997913837
