訓練日期,20160302 - 20160602
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10902055.830000000074506
真實報酬,902055.830000000074506

夏普值報酬,0.081505583000000
夏普值風險,0.025697771603404
夏普值,3.171698474789244

預期報酬,14113.191923450598551
風險,64673.748065963882254
趨勢值,0.218221339345539
找到最佳解世代,2248
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](3),PFE[20](5),TRV[22](23),XOM[29](1),
Stock#,JNJ[12](3),PFE[20](5),TRV[22](23),XOM[29](1),
張數,23316,83222,22700,30757,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,58.479999999981374,11.120000000111759,49.000000000000000,71.040000000037253,
20160302,2495803.120000000111759,2495006.680000000167638,2501589.000000000000000,2543674.939999999944121,10036073.740000000223517
20160303,2486709.879999999888241,2487516.700000000186265,2492509.000000000000000,2534447.840000000316650,10001183.419999999925494
20160304,2483212.479999999981374,2472536.740000000223517,2506129.000000000000000,2531064.570000000298023,9992942.790000000968575
20160307,2488808.319999999832362,2479194.500000000000000,2506356.000000000000000,2597807.259999999776483,10072166.080000000074506
20160308,2476684.000000000000000,2443409.040000000037253,2516344.000000000000000,2541521.949999999720603,9977958.990000000223517
20160309,2491139.919999999925494,2475033.399999999906868,2527240.000000000000000,2534447.840000000316650,10027861.160000000149012
20160310,2498134.720000000204891,2462550.100000000093132,2531780.000000000000000,2527681.300000000279397,10020146.120000001043081
20160311,2511424.839999999850988,2538282.120000000111759,2579677.000000000000000,2527988.870000000111759,10157372.830000000074506
20160314,2510259.040000000037253,2504993.320000000298023,2561063.000000000000000,2534755.410000000149012,10111070.769999999552965
20160315,2512590.640000000130385,2458389.000000000000000,2586033.000000000000000,2547365.779999999795109,10104378.419999999925494
20160316,2504430.040000000037253,2416778.000000000000000,2603285.000000000000000,2548903.630000000353903,10073396.669999999925494
20160317,2488808.319999999832362,2441744.600000000093132,2629390.000000000000000,2586734.739999999757856,10146677.660000000149012
20160318,2506528.479999999981374,2450899.020000000018626,2627801.000000000000000,2589810.439999999944121,10175038.939999999478459
20160321,2501398.959999999962747,2502496.660000000149012,2633930.000000000000000,2571971.380000000353903,10209797.000000000000000
20160322,2503730.560000000055879,2528295.479999999981374,2634611.000000000000000,2587349.880000000353903,10253986.919999999925494
20160323,2529844.479999999981374,2512483.300000000279397,2630752.000000000000000,2575969.790000000037253,10249049.570000000298023
20160324,2525414.439999999944121,2503328.879999999888241,2619402.000000000000000,2583043.900000000372529,10231189.220000000670552
20160328,2523549.160000000149012,2478362.280000000260770,2638924.000000000000000,2590425.580000000074506,10231261.019999999552965
20160329,2544766.720000000204891,2500832.220000000204891,2642556.000000000000000,2599960.250000000000000,10288115.190000001341105
20160330,2541036.160000000149012,2502496.660000000149012,2665710.000000000000000,2599652.679999999701977,10308895.500000000000000
20160331,2522849.680000000167638,2466711.200000000186265,2649366.000000000000000,2571048.669999999925494,10209975.550000000745058
20160401,2545932.520000000018626,2500000.000000000000000,2665029.000000000000000,2551671.759999999776483,10262633.279999999329448
20160404,2531942.919999999925494,2556590.959999999962747,2668661.000000000000000,2557823.160000000149012,10315018.039999999105930
20160405,2540336.680000000167638,2609853.040000000037253,2636200.000000000000000,2528604.009999999776483,10314993.730000000447035
20160406,2551295.200000000186265,2740511.580000000074506,2631660.000000000000000,2562436.709999999962747,10485903.490000000223517
20160407,2547797.799999999813735,2726363.839999999850988,2599199.000000000000000,2533525.130000000353903,10406885.769999999552965
20160408,2543834.080000000074506,2704726.120000000111759,2615770.000000000000000,2559361.009999999776483,10423691.210000000894070
20160411,2540803.000000000000000,2653960.700000000186265,2605555.000000000000000,2562744.279999999795109,10363062.980000000447035
20160412,2555492.080000000074506,2659786.240000000223517,2614862.000000000000000,2594423.989999999757856,10424564.310000000521541
20160413,2561787.399999999906868,2708055.000000000000000,2632341.000000000000000,2609187.350000000093132,10511370.750000000000000
20160414,2561087.919999999925494,2717209.419999999925494,2618721.000000000000000,2627641.550000000279397,10524659.890000000596046
20160415,2569015.360000000335276,2704726.120000000111759,2638470.000000000000000,2613493.330000000074506,10525704.810000000521541
20160418,2586502.360000000335276,2713880.540000000037253,2633476.000000000000000,2638406.500000000000000,10572265.400000000372529
20160419,2627305.360000000335276,2737182.700000000186265,2639378.000000000000000,2651632.009999999776483,10655498.070000000298023
20160420,2648289.759999999776483,2765478.179999999701977,2628709.000000000000000,2669778.640000000130385,10712255.580000000074506
20160421,2648056.599999999627471,2766310.400000000372529,2469582.000000000000000,2669471.070000000298023,10553420.070000000298023
20160422,2642227.599999999627471,2768807.060000000521541,2516117.000000000000000,2692231.250000000000000,10619382.910000000149012
20160425,2646657.640000000130385,2763813.740000000223517,2504767.000000000000000,2686079.850000000093132,10601318.230000000447035
20160426,2632668.040000000037253,2750498.219999999739230,2496368.000000000000000,2695306.949999999720603,10574841.209999999031425
20160427,2629403.799999999813735,2746337.120000000111759,2486380.000000000000000,2720835.259999999776483,10582956.179999999701977
20160428,2622642.160000000149012,2738847.139999999664724,2477300.000000000000000,2707609.750000000000000,10546399.050000000745058
20160429,2613315.759999999776483,2722202.740000000223517,2494779.000000000000000,2718989.840000000316650,10549287.339999999850988
20160502,2628937.479999999981374,2729692.719999999739230,2517706.000000000000000,2741442.449999999720603,10617778.649999998509884
20160503,2627538.520000000018626,2804592.520000000484288,2504540.000000000000000,2710070.310000000055879,10646741.350000001490116
20160504,2616580.000000000000000,2779625.919999999925494,2490920.000000000000000,2704841.620000000111759,10591967.539999999105930
20160505,2631968.560000000055879,2793773.660000000149012,2514074.000000000000000,2707917.320000000298023,10647733.540000000968575
20160506,2628704.319999999832362,2794605.879999999888241,2507264.000000000000000,2722373.110000000335276,10652947.309999998658895
20160509,2651554.000000000000000,2814579.160000000149012,2515436.000000000000000,2724218.529999999795109,10705787.689999999478459
20160510,2673704.200000000186265,2812914.719999999739230,2548578.000000000000000,2767893.469999999739230,10803090.390000000596046
20160511,2666709.399999999906868,2759652.639999999664724,2541768.000000000000000,2731600.209999999962747,10699730.250000000000000
20160512,2663445.160000000149012,2762149.299999999813735,2556977.000000000000000,2758051.229999999981374,10740622.689999999478459
20160513,2647823.439999999944121,2762149.299999999813735,2557658.000000000000000,2726986.660000000149012,10694617.400000000372529
20160516,2668341.520000000018626,2777961.480000000447035,2547897.000000000000000,2754975.529999999795109,10749175.529999999329448
20160517,2654118.759999999776483,2748833.780000000260770,2506583.000000000000000,2753745.250000000000000,10663280.789999999105930
20160518,2648522.919999999925494,2760484.860000000335276,2526559.000000000000000,2748208.989999999757856,10683775.769999999552965
20160519,2631269.080000000074506,2777961.480000000447035,2499319.000000000000000,2771584.310000000055879,10680133.870000001043081
20160520,2626372.720000000204891,2807921.400000000372529,2539952.000000000000000,2760204.219999999739230,10734450.339999999850988
20160523,2615181.040000000037253,2802095.860000000335276,2528602.000000000000000,2755898.239999999757856,10701777.140000000596046
20160524,2627538.520000000018626,2837881.320000000298023,2575137.000000000000000,2758051.229999999981374,10798608.070000000298023
20160525,2642927.080000000074506,2858686.820000000298023,2577407.000000000000000,2776197.860000000335276,10855218.760000001639128
20160526,2632434.879999999888241,2865344.580000000074506,2578769.000000000000000,2762049.640000000130385,10838598.099999999627471
20160527,2636165.439999999944121,2880324.540000000037253,2591935.000000000000000,2768508.610000000335276,10876933.589999999850988
20160531,2627538.520000000018626,2887814.520000000484288,2591027.000000000000000,2738059.179999999701977,10844439.220000000670552
20160601,2629636.959999999962747,2891975.620000000111759,2606917.000000000000000,2744825.719999999739230,10873355.300000000745058
20160602,2669507.319999999832362,2901962.259999999776483,2607598.000000000000000,2722988.250000000000000,10902055.830000000074506
