訓練日期,20161007 - 20170110
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11479410.710000000894070
真實報酬,1479410.710000000894070

夏普值報酬,0.139241071000000
夏普值風險,0.046294692713234
夏普值,3.007711312882202

預期報酬,24124.114144664497871
風險,105191.839088374676066
趨勢值,0.229334465047209
找到最佳解世代,2307
找到最佳解實驗#,1
找到最佳解次數,19

stock[index](rank)
投資組合檔數,4
AAPL[0](21),AXP[1](3),BA[2](1),CVX[5](6),
Stock#,AAPL[0](21),AXP[1](3),BA[2](1),CVX[5](6),
張數,21951,40361,18598,24466,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,0.609999999869615,39.660000000149012,56.840000000316650,64.119999999646097,
20161007,2503731.669999999925494,2492735.020000000018626,2489399.140000000130385,2502201.939999999478459,9988067.769999999552965
20161010,2547414.159999999683350,2498385.560000000055879,2526409.160000000149012,2544038.799999999813735,10116247.679999999701977
20161011,2552901.909999999683350,2456410.120000000111759,2487353.360000000335276,2521040.759999999776483,10017706.149999998509884
20161012,2575730.949999999720603,2449548.750000000000000,2476566.520000000484288,2499266.019999999552965,10001112.239999998360872
20161013,2567828.589999999850988,2438247.669999999925494,2480658.080000000074506,2465992.259999999776483,9952726.599999999627471
20161014,2582096.739999999757856,2427753.810000000055879,2482889.840000000316650,2473087.399999999441206,9965827.789999999105930
20161017,2580340.659999999683350,2417663.560000000055879,2492188.840000000316650,2479937.879999999422580,9970130.939999999478459
20161018,2578584.580000000074506,2424928.540000000037253,2512646.640000000130385,2490458.259999999776483,10006618.019999999552965
20161019,2570901.729999999981374,2472150.910000000149012,2532732.480000000447035,2502201.939999999478459,10077987.060000000521541
20161020,2569584.669999999925494,2695347.240000000223517,2526409.160000000149012,2492415.539999999571592,10283756.609999999403954
20161021,2559487.209999999962747,2718756.620000000111759,2522503.580000000074506,2478469.919999999459833,10279217.330000000074506
20161024,2582535.759999999776483,2707859.150000000372529,2556351.939999999944121,2462811.679999999701977,10309558.529999999329448
20161025,2595706.359999999869615,2693732.799999999813735,2585550.800000000279397,2465502.939999999478459,10340492.900000000372529
20161026,2537316.699999999720603,2696154.459999999962747,2706809.760000000242144,2475778.659999999683350,10416059.580000000074506
20161027,2512951.089999999850988,2701401.390000000596046,2665336.220000000204891,2444706.839999999850988,10324395.540000000968575
20161028,2496268.330000000074506,2682028.110000000335276,2659756.820000000298023,2540124.239999999292195,10378177.500000000000000
20161031,2492317.149999999906868,2680817.280000000260770,2648969.980000000447035,2562877.619999999646097,10384982.029999999329448
20161101,2447317.599999999627471,2673955.910000000149012,2648598.020000000484288,2605203.799999999813735,10375075.330000000074506
20161102,2449512.699999999720603,2641667.110000000335276,2617725.340000000316650,2578535.859999999869615,10287441.009999999776483
20161103,2410878.939999999944121,2636823.790000000037253,2604148.800000000279397,2578535.859999999869615,10230387.390000000596046
20161104,2389147.449999999720603,2644088.770000000484288,2595221.760000000242144,2563611.599999999627471,10192069.580000000074506
