訓練日期,20140801 - 20141031
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11478314.210000000894070
真實報酬,1478314.210000000894070

夏普值報酬,0.139131421000000
夏普值風險,0.037279945339502
夏普值,3.732071485967966

預期報酬,20288.753625794059190
風險,125562.999942052760161
趨勢值,0.161582262570640
找到最佳解世代,1845
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,3
KO[14](7),NKE[19](1),UNH[23](5),
Stock#,KO[14](7),NKE[19](1),UNH[23](5),
張數,84839,86422,41126,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,8.689999999944121,36.459999999962747,70.700000000186265,
20140801,3333333.000000000000000,3317777.040000000037253,3351428.439999999944121,10002539.480000000447035
20140804,3342665.290000000037253,3334197.219999999739230,3383506.720000000204891,10060370.230000000447035
20140805,3324000.709999999962747,3323826.580000000074506,3330865.439999999944121,9978693.730000000447035
20140806,3386781.570000000298023,3333333.000000000000000,3351839.700000000186265,10071955.269999999552965
20140807,3338423.339999999850988,3298764.200000000186265,3259717.460000000428408,9896906.000000000000000
20140808,3346907.240000000223517,3329876.120000000111759,3295085.820000000298023,9971870.179999999701977
20140811,3357087.919999999925494,3329876.120000000111759,3284804.320000000298023,9971769.359999999403954
20140812,3366420.209999999962747,3316048.599999999627471,3299198.419999999925494,9981668.230000000447035
20140813,3388478.349999999627471,3338518.320000000298023,3352250.960000000428408,10079248.630000000819564
20140814,3408839.709999999962747,3340246.759999999776483,3365000.020000000018626,10114087.490000000223517
20140815,3468227.010000000242144,3333333.000000000000000,3350605.919999999925494,10152166.929999999701977
20140818,3508101.339999999850988,3394692.620000000111759,3386385.540000000502914,10289180.500000000000000
20140819,3500465.829999999608845,3392964.179999999701977,3432857.919999999925494,10326288.929999999701977
20140820,3499617.439999999944121,3410248.580000000074506,3431212.880000000353903,10341079.900000000372529
20140821,3513191.679999999701977,3411112.799999999813735,3445195.720000000204891,10369501.199999999254942
20140822,3488588.369999999646097,3426668.759999999776483,3445606.980000000447035,10360865.109999999403954
20140825,3513191.679999999701977,3457780.679999999701977,3464524.939999999944121,10435498.299999998882413
20140826,3529311.089999999850988,3434446.740000000223517,3500715.820000000298023,10464474.650000000372529
