訓練日期,20130429 - 20130730
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11985476.390000000596046
真實報酬,1985476.390000000596046

夏普值報酬,0.189847639000000
夏普值風險,0.053520394573278
夏普值,3.547201781931329

預期報酬,32617.668966316115984
風險,187203.126297458220506
趨勢值,0.174236774841505
找到最佳解世代,2047
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](1),CSCO[4](3),UNH[23](2),
20130618,3736490.000000000000000,4002578.599999999627471,3680787.200000000651926,11419856.800000000745058
20130619,3670793.000000000000000,3980001.639999999664724,3657249.980000000447035,11308045.620000001043081
20130620,3577094.000000000000000,3941298.279999999795109,3575430.120000000111759,11093823.399999998509884
20130621,3589300.000000000000000,3947748.839999999850988,3581034.220000000204891,11118084.060000000521541
20130624,3512833.000000000000000,3880017.959999999497086,3623064.970000000670552,11015916.929999999701977
20130625,3542271.000000000000000,3871954.759999999776483,3571507.250000000000000,10985734.009999999776483
20130626,3616943.000000000000000,3933235.079999999608845,3630350.300000000279397,11180529.380000000819564
20130627,3703103.000000000000000,3971938.439999999478459,3703764.010000000707805,11378806.449999999254942
20130628,3677614.000000000000000,3925171.879999999422580,3669579.000000000465661,11272365.879999998956919
20130701,3706334.000000000000000,3925171.879999999422580,3677985.149999999906868,11309492.029999999329448
20130702,3642791.000000000000000,3921946.599999999627471,3657810.390000000130385,11222548.990000000223517
20130703,3693769.000000000000000,3965487.879999999422580,3672941.460000000428408,11332199.339999999850988
20130705,3740798.000000000000000,3962262.599999999627471,3708247.290000000502914,11411308.890000000596046
20130708,3746901.000000000000000,3971938.439999999478459,3786144.280000000260770,11504984.719999998807907
20130709,3758030.000000000465661,4057408.359999999869615,3809121.090000000316650,11624560.450000001117587
20130710,3787468.000000000000000,4097724.359999999869615,3793429.610000000335276,11678622.969999998807907
20130711,3837010.000000000000000,4171905.799999999813735,3830977.080000000074506,11839893.879999998956919
20130712,3657151.000000000000000,4183194.279999999795109,3810802.320000000298023,11651148.599999999627471
20130715,3793212.000000000000000,4181581.639999999664724,3789506.740000000689179,11764301.380000000819564
20130716,3741875.000000000000000,4146103.559999999590218,3749717.629999999888241,11637697.189999999478459
20130717,3761979.000000000000000,4147716.199999999254942,3711609.750000000465661,11621305.949999999254942
20130718,3863935.000000000000000,4170293.159999999683350,3953706.870000000111759,11987936.030000001192093
20130719,3839882.000000000000000,4163842.599999999627471,4004143.770000000484288,12007869.370000001043081
20130722,3836292.000000000000000,4147716.199999999254942,4045053.700000000651926,12029062.900000000372529
20130723,3869679.000000000000000,4121913.959999999497086,4073634.610000000335276,12065228.570000000298023
20130724,3839523.000000000000000,4126751.879999999422580,4064668.050000000279397,12030943.929999999701977
20130725,3830548.000000000000000,4112238.119999999646097,4069711.740000000689179,12012498.859999999403954
20130726,3791058.000000000000000,4112238.119999999646097,4046734.930000000167638,11950032.049999998882413
20130729,3762697.000000000000000,4084823.239999999292195,4079238.710000000428408,11926759.949999999254942
20130730,3795725.000000000000000,4139653.000000000000000,4050097.390000000130385,11985476.390000000596046
