訓練日期,20141006 - 20150107
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12110977.570000000298023
真實報酬,2110977.570000000298023

夏普值報酬,0.202397757000000
夏普值風險,0.065628779344183
夏普值,3.083978690789697

預期報酬,34944.141367640004319
風險,182275.526491136872210
趨勢值,0.191710549629597
找到最佳解世代,2049
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
UNH[23](2),WBA[27](1),
Stock#,UNH[23](2),WBA[27](1),
張數,58126,82277,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,1.480000000447035,26.709999999962747,
20141006,4945942.820000000298023,4990126.759999999776483,9936069.580000000074506
20141007,4893629.419999999925494,4923482.390000000596046,9817111.810000000521541
20141008,5034875.600000000558794,5056771.129999999888241,10091646.730000000447035
20141009,4937223.919999999925494,5064176.059999999590218,10001399.980000000447035
20141010,4963380.620000000111759,5182654.940000000409782,10146035.560000000521541
20141013,4879679.180000000633299,4993417.839999999850988,9873097.019999999552965
20141014,4813996.799999999813735,4993417.839999999850988,9807414.640000000596046
20141015,4775633.640000000596046,5014809.860000000335276,9790443.500000000000000
20141016,4963380.620000000111759,4968734.740000000223517,9932115.359999999403954
20141017,5125552.160000001080334,4958861.500000000000000,10084413.660000000149012
20141020,5146477.520000000484288,4953102.110000000335276,10099579.630000000819564
20141021,5286561.180000000633299,5064176.059999999590218,10350737.240000000223517
20141022,5217972.500000000000000,5060062.209999999962747,10278034.710000000894070
20141023,5269704.640000000596046,5106960.099999999627471,10376664.740000000223517
20141024,5326668.120000000111759,5154680.759999999776483,10481348.879999998956919
20141027,5355149.860000000335276,5192528.179999999701977,10547678.039999999105930
20141028,5384794.120000000111759,5241071.610000000335276,10625865.730000000447035
20141029,5403394.440000000409782,5169490.620000000111759,10572885.060000000521541
20141030,5456870.360000000335276,5180186.629999999888241,10637056.990000000223517
20141031,5522552.740000001154840,5283855.649999999441206,10806408.390000000596046
20141103,5513833.840000000782311,5346386.169999999925494,10860220.010000001639128
20141104,5520808.960000000894070,5367778.189999999478459,10888587.150000000372529
20141105,5568472.280000000260770,5402334.529999999329448,10970806.809999998658895
20141106,5592303.940000000409782,5483788.760000000707805,11076092.700000001117587
20141107,5441176.340000000782311,5506003.549999999813735,10947179.890000000596046
20141110,5507439.980000000447035,5576761.770000000484288,11084201.750000000000000
20141111,5562078.419999999925494,5553724.209999999962747,11115802.629999998956919
20141112,5561497.160000001080334,5548787.589999999850988,11110284.750000000000000
20141113,5574284.880000000819564,5509294.629999999888241,11083579.510000001639128
20141114,5528365.340000000782311,5506826.320000000298023,11035191.660000000149012
20141117,5607416.700000000186265,5475561.059999999590218,11082977.759999999776483
20141118,5707393.419999999925494,5599799.330000000074506,11307192.750000000000000
20141119,5630085.840000000782311,5577584.540000000037253,11207670.380000000819564
20141120,5629504.580000000074506,5540559.890000000596046,11170064.470000000670552
20141121,5621366.940000000409782,5561129.140000000596046,11182496.080000001937151
20141124,5632410.880000000819564,5572647.919999999925494,11205058.800000000745058
20141125,5690536.880000000819564,5579230.080000000074506,11269766.960000000894070
20141126,5702743.340000000782311,5633532.899999999441206,11336276.240000000223517
20141128,5732968.860000000335276,5645051.679999999701977,11378020.539999999105930
20141201,5757963.040000000968575,5575939.000000000000000,11333902.040000000968575
20141202,5802720.060000000521541,5492016.459999999962747,11294736.519999999552965
20141203,5859102.280000000260770,5543850.969999999739230,11402953.250000000000000
20141204,5793419.900000000372529,5586635.010000000707805,11380054.910000000149012
20141205,5831783.060000000521541,5644228.909999999217689,11476011.969999998807907
20141208,5807951.400000000372529,5572647.919999999925494,11380599.320000000298023
20141209,5871890.000000000000000,5643406.140000000596046,11515296.140000000596046
20141210,5759706.820000000298023,5607204.260000000707805,11366911.080000001937151
20141211,5796907.460000000894070,6007070.480000000447035,11803977.940000001341105
20141212,5740525.240000001154840,6129663.209999999962747,11870188.450000001117587
20141215,5712043.500000000000000,6042449.589999999850988,11754493.089999999850988
20141216,5571378.580000000074506,5956058.740000000223517,11527437.320000000298023
20141217,5762613.120000000111759,5923147.939999999478459,11685761.059999998658895
20141218,5942803.719999999739230,6119789.969999999739230,12062593.689999999478459
20141219,5957335.219999999739230,6025171.419999999925494,11982506.640000000596046
20141222,5989304.520000000484288,6110739.500000000000000,12100044.019999999552965
20141223,5978260.580000000074506,6295039.980000000447035,12273300.560000000521541
20141224,5968379.160000001080334,6308204.299999999813735,12276583.460000000894070
20141226,5960822.780000000260770,6290926.129999999888241,12251748.910000000149012
20141229,5948035.060000000521541,6318077.540000000037253,12266112.600000001490116
20141230,5978260.580000000074506,6257192.559999999590218,12235453.140000000596046
20141231,5875958.820000000298023,6269534.110000000335276,12145492.929999999701977
20150102,5857939.760000000707805,6253078.709999999962747,12111018.470000000670552
20150105,5761450.600000000558794,6129663.209999999962747,11891113.810000000521541
20150106,5749825.400000000372529,6145295.839999999850988,11895121.240000000223517
20150107,5808532.660000001080334,6302444.909999999217689,12110977.570000000298023
