訓練日期,20120503 - 20120803
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12032148.020000001415610
真實報酬,2032148.020000001415610

夏普值報酬,0.194514802000000
夏普值風險,0.054914762693693
夏普值,3.542122235599485

預期報酬,32889.108761330287962
風險,110510.844385807111394
趨勢值,0.297609786117553
找到最佳解世代,1990
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
DIS[6](2),WMT[28](1),
Stock#,DIS[6](2),WMT[28](1),
張數,114836,84731,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,40.560000000521541,23.690000000409782,
20120503,5031005.720000000670552,4998305.380000000819564,10029311.100000001490116
20120504,4929950.040000000037253,4973733.390000000596046,9903683.429999999701977
20120507,5032154.080000001005828,5015251.580000000074506,10047405.660000000149012
20120508,5087275.360000000335276,5003389.240000000223517,10090664.600000001490116
20120509,5169957.280000001192093,5001694.620000000111759,10171651.900000002235174
20120510,5199814.640000000596046,5015251.580000000074506,10215066.220000000670552
20120511,5231968.720000000670552,5034739.710000000894070,10266708.430000001564622
20120514,5187182.680000000633299,5005083.860000000335276,10192266.540000000968575
20120515,5168808.919999999925494,5028808.540000000968575,10197617.460000000894070
20120516,5176847.440000000409782,5015251.580000000074506,10192099.019999999552965
20120517,5090720.440000000409782,5226231.770000000484288,10316952.210000000894070
20120518,5031005.720000000670552,5289780.020000000484288,10320785.740000002086163
20120521,5097610.600000000558794,5341465.930000000633299,10439076.530000001192093
20120522,5097610.600000000558794,5399930.320000000298023,10497540.920000001788139
20120523,5097610.600000000558794,5399930.320000000298023,10497540.920000001788139
20120524,5103352.400000000372529,5513469.859999999403954,10616822.259999999776483
20120525,5110242.560000000521541,5533805.300000000745058,10644047.860000001266599
20120529,5222781.839999999850988,5565155.770000001415610,10787937.610000001266599
20120530,5190627.760000000707805,5544820.330000000074506,10735448.089999999850988
20120531,5249194.120000001043081,5577018.109999999403954,10826212.230000000447035
20120601,5098758.959999999962747,5554140.740000000223517,10652899.699999999254942
20120604,5099907.320000000298023,5591422.379999999888241,10691329.699999999254942
20120605,5149286.800000000745058,5549904.190000000409782,10699190.990000002086163
20120606,5228523.640000000596046,5586338.520000001415610,10814862.160000002011657
20120607,5240007.240000001154840,5581254.660000001080334,10821261.900000002235174
20120608,5310057.200000001117587,5780372.510000000707805,11090429.710000000894070
20120611,5259529.360000000335276,5721908.120000000111759,10981437.480000000447035
20120612,5326134.240000001154840,5738007.010000000707805,11064141.250000001862645
20120613,5308908.839999999850988,5682931.859999999403954,10991840.699999999254942
20120614,5418003.040000000037253,5730381.219999999739230,11148384.259999999776483
20120615,5407667.800000000745058,5740548.940000000409782,11148216.740000002086163
20120618,5408816.160000001080334,5771899.410000001080334,11180715.570000002160668
20120619,5455898.919999999925494,5745632.800000000745058,11201531.720000000670552
20120620,5481162.839999999850988,5805791.810000000521541,11286954.650000000372529
20120621,5443266.959999999962747,5736312.390000000596046,11179579.350000001490116
20120622,5451305.480000000447035,5702419.990000000223517,11153725.470000000670552
20120625,5362881.760000000707805,5776983.270000001415610,11139865.030000001192093
20120626,5431783.360000000335276,5810875.669999999925494,11242659.030000001192093
20120627,5497239.879999999888241,5811722.980000000447035,11308962.859999999403954
20120628,5491498.080000001005828,5787150.990000000223517,11278649.070000000298023
20120629,5569586.560000000521541,5907469.010000000707805,11477055.570000000298023
20120702,5594850.480000000447035,5876118.540000000037253,11470969.019999999552965
20120703,5579921.800000000745058,5994741.940000000409782,11574663.740000002086163
20120705,5524800.520000000484288,6022703.169999999925494,11547503.690000001341105
20120706,5516762.000000000000000,6046427.850000000558794,11563189.850000001490116
20120709,5512168.560000000521541,6080320.250000000931323,11592488.810000002384186
20120710,5438673.520000000484288,6109976.100000000558794,11548649.620000001043081
20120711,5428338.280000001192093,6122685.750000000931323,11551024.030000001192093
20120712,5444415.320000000298023,6126922.300000000745058,11571337.620000001043081
20120713,5533987.400000000372529,6200638.270000001415610,11734625.670000001788139
20120716,5496091.520000000484288,6183692.070000000298023,11679783.589999999850988
20120717,5667197.160000001080334,6193859.790000000037253,11861056.950000001117587
20120718,5667197.160000001080334,6172677.040000000037253,11839874.200000001117587
20120719,5625856.200000001117587,6060832.120000000111759,11686688.320000000298023
20120720,5579921.800000000745058,6121838.440000000409782,11701760.240000002086163
20120723,5509871.839999999850988,6087946.040000000037253,11597817.879999998956919
20120724,5530542.320000000298023,6112518.030000000260770,11643060.350000001490116
20120725,5546619.360000000335276,6107434.169999999925494,11654053.530000001192093
20120726,5708538.120000001043081,6242156.460000000894070,11950694.580000001937151
20120727,5734950.400000000372529,6314177.810000000521541,12049128.210000000894070
20120730,5718873.360000000335276,6353154.070000000298023,12072027.429999999701977
20120731,5643081.600000000558794,6306552.020000001415610,11949633.620000001043081
20120801,5643081.600000000558794,6237919.910000001080334,11881001.510000001639128
20120802,5624707.839999999850988,6274354.240000000223517,11899062.080000000074506
20120803,5715428.280000001192093,6316719.740000000223517,12032148.020000001415610
