訓練日期,20121031 - 20130204
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11753843.750000000000000
真實報酬,1753843.750000000000000

夏普值報酬,0.166684375000000
夏普值風險,0.053390616951903
夏普值,3.121978814182989

預期報酬,29564.466925959535729
風險,123752.010513163564610
趨勢值,0.238900901919608
找到最佳解世代,2325
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CSCO[4](2),MMM[16](4),NKE[19](1),
Stock#,CSCO[4](2),MMM[16](4),NKE[19](1),
張數,192789,37865,146262,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,11.189999999944121,77.049999999813735,22.020000000018626,
20121031,3306342.539999999571592,3317051.049999999813735,3342108.720000000204891,9965503.310000000521541
20121101,3375746.580000000074506,3379528.299999999813735,3486908.100000000093132,10242183.980000000447035
20121102,3344900.340000000316650,3368926.099999999627471,3457655.700000000186265,10171483.140000000596046
20121105,3354539.789999999571592,3392781.049999999813735,3483982.859999999869615,10231304.699999999254942
20121106,3369962.910000000149012,3440490.949999999720603,3514697.880000000353903,10325152.740000000223517
20121107,3317909.879999999888241,3384450.749999999534339,3460580.939999999944121,10162942.569999998435378
20121108,3244650.059999999590218,3353022.799999999813735,3359660.159999999683350,9957334.019999999552965
20121109,3242722.169999999925494,3362867.699999999720603,3375748.979999999981374,9981339.849999999627471
20121112,3250433.729999999981374,3376877.750000000000000,3374286.359999999869615,10001598.839999999850988
20121113,3248505.840000000316650,3373091.249999999534339,3345033.959999999962747,9966632.050000000745058
20121114,3404664.930000000167638,3306070.199999999720603,3312856.319999999832362,10023592.449999999254942
20121115,3458645.850000000093132,3332954.349999999627471,3321632.040000000037253,10113233.239999998360872
20121116,3468285.299999999813735,3351129.549999999813735,3385987.319999999832362,10205403.169999999925494
20121119,3528049.890000000130385,3391645.099999999627471,3522010.979999999981374,10441706.970000000670552
20121120,3535761.449999999720603,3370819.349999999627471,3495683.819999999832362,10402265.619999999180436
20121121,3562751.910000000149012,3367790.149999999906868,3495683.819999999832362,10426226.880000000819564
20121123,3632155.949999999720603,3418529.250000000000000,3538099.800000000279397,10588786.000000000000000
20121126,3674569.529999999795109,3411334.899999999906868,3571740.060000000055879,10657645.490000000223517
20121127,3655290.629999999888241,3419665.199999999720603,3546875.520000000018626,10621832.349999999627471
20121128,3630228.059999999590218,3443141.500000000000000,3624394.380000000353903,10697764.939999999478459
20121129,3664930.080000000074506,3432539.299999999813735,3618543.899999999906868,10716014.279999999329448
20121130,3645651.180000000167638,3443898.799999999813735,3564426.959999999962747,10653977.940000001341105
20121203,3668785.860000000335276,3419286.549999999813735,3567352.200000000186265,10655425.609999999403954
20121204,3695776.320000000298023,3412470.850000000093132,3571740.060000000055879,10679988.230000000447035
20121205,3703487.879999999888241,3436704.450000000186265,3571740.060000000055879,10711933.390000000596046
20121206,3755540.910000000149012,3443898.799999999813735,3599529.839999999850988,10798970.550000000745058
20121207,3728550.449999999720603,3465103.200000000186265,3605380.319999999832362,10799034.970000000670552
20121210,3815305.500000000000000,3478734.600000000093132,3586366.259999999776483,10880407.359999999403954
20121211,3813377.610000000335276,3547270.250000000000000,3634632.720000000204891,10995281.580000000074506
20121212,3803738.160000000149012,3526065.850000000093132,3627319.620000000111759,10957124.629999998956919
20121213,3805666.049999999813735,3502589.549999999813735,3558576.479999999981374,10866833.080000000074506
20121214,3828800.729999999981374,3494259.250000000000000,3543950.280000000260770,10867011.260000001639128
20121217,3876997.979999999981374,3522658.000000000000000,3583441.020000000018626,10983098.000000000000000
20121218,3929051.009999999776483,3553707.299999999813735,3617081.280000000260770,11099840.589999999850988
20121219,3907844.219999999739230,3522279.349999999627471,3576127.919999999925494,11006252.489999998360872
20121220,3902060.549999999813735,3564309.499999999534339,3620006.520000000018626,11086377.569999998435378
20121221,3848079.629999999888241,3525308.549999999813735,3843787.380000000353903,11217176.560000000521541
20121224,3823017.059999999590218,3528716.399999999906868,3861338.819999999832362,11213073.279999999329448
20121226,3840368.070000000298023,3524172.599999999627471,3754567.560000000055879,11119109.230000000447035
20121227,3788315.039999999571592,3507890.649999999906868,3785282.580000000074506,11081489.269999999552965
20121228,3749757.239999999757856,3475326.750000000000000,3729703.020000000018626,10954788.009999999776483
20121231,3788315.039999999571592,3515842.299999999813735,3773581.620000000111759,11077739.960000000894070
20130102,3921339.449999999720603,3588921.750000000000000,3791133.060000000055879,11301395.259999999776483
20130103,3942546.239999999757856,3584756.600000000093132,3830623.800000000279397,11357927.640000000596046
20130104,3948329.910000000149012,3611262.100000000093132,3867189.300000000279397,11426782.310000000521541
20130107,3911700.000000000000000,3615805.899999999441206,3873039.780000000260770,11400546.679999999701977
20130108,3915555.779999999795109,3616184.549999999813735,3832086.419999999925494,11363827.750000000000000
20130109,3913627.890000000130385,3650641.699999999720603,3836474.280000000260770,11400744.870000001043081
20130110,3940618.350000000093132,3668816.899999999906868,3843787.380000000353903,11453223.630000000819564
20130111,3948329.910000000149012,3645719.250000000000000,3883278.120000000111759,11477328.280000001192093
20130114,4042796.519999999552965,3676011.249999999534339,3890591.220000000204891,11609399.990000000223517
20130115,4044724.410000000149012,3683962.899999999906868,3922768.859999999869615,11651457.169999999925494
20130116,4054363.860000000335276,3695701.049999999813735,3930081.959999999962747,11680147.870000001043081
20130117,4038940.739999999757856,3713876.249999999534339,3911067.899999999906868,11663885.889999998733401
20130118,4052435.969999999739230,3738867.149999999441206,3897904.319999999832362,11689208.439999999478459
20130122,4023517.620000000111759,3761207.499999999534339,3911067.899999999906868,11695794.019999999552965
20130123,3975320.370000000111759,3767265.899999999441206,3883278.120000000111759,11625865.390000000596046
