訓練日期,20170912 - 20171212
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11444505.629999998956919
真實報酬,1444505.629999998956919

夏普值報酬,0.135750563000000
夏普值風險,0.038779552769500
夏普值,3.500570617894482

預期報酬,22274.048146586235816
風險,42259.823467670445098
趨勢值,0.527073856889778
找到最佳解世代,2773
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,9
BA[2](6),CSCO[4](5),CVX[5](22),DIS[6](14),HD[9](11),INTC[11](8),TRV[22](10),V[25](15),WMT[28](4),
Stock#,BA[2](6),CSCO[4](5),CVX[5](22),DIS[6](14),HD[9](11),INTC[11](8),TRV[22](10),V[25](15),WMT[28](4),
張數,4618,34517,9874,11444,7015,31062,9065,10467,14050,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,66.379999999888241,8.770000000018626,88.520000000018626,13.040000000037253,145.449999999953434,23.260000000009313,104.600000000093132,38.949999999953434,37.000000000000000,
20170912,1111064.819999999832362,1118704.739999999990687,1110814.780000000027940,1120266.199999999953434,1121914.099999999860302,1121050.840000000083819,1110385.800000000046566,1111739.019999999785796,1118557.500000000000000,10044498.799999998882413
20170913,1117299.119999999878928,1110765.830000000074506,1127501.840000000083819,1130909.119999999878928,1122685.750000000000000,1128505.719999999972060,1101592.750000000232831,1107761.559999999823049,1122070.000000000000000,10069092.689999999478459
20170914,1132538.519999999785796,1111111.000000000000000,1130167.820000000065193,1120380.640000000130385,1118196.149999999906868,1133165.020000000018626,1087542.000000000000000,1110378.309999999823049,1119541.000000000000000,10063021.460000000894070
20170915,1149948.379999999888241,1119740.250000000000000,1131945.139999999897555,1127475.919999999925494,1111321.449999999953434,1149317.260000000009313,1094250.100000000093132,1102214.049999999813735,1129376.000000000000000,10115589.550000000745058
20170918,1168789.819999999832362,1122501.610000000102445,1137474.580000000074506,1122669.439999999944121,1107182.599999999860302,1149317.260000000009313,1094431.400000000139698,1097294.559999999823049,1124037.000000000000000,10123699.269999999552965
20170919,1165926.659999999916181,1121466.100000000093132,1148829.680000000167638,1126445.960000000195578,1106130.349999999860302,1156461.520000000018626,1093162.300000000046566,1103365.419999999925494,1124739.500000000000000,10146528.489999998360872
20170920,1179780.659999999916181,1125262.969999999972060,1149125.900000000139698,1135372.280000000027940,1113285.649999999906868,1151491.600000000093132,1105218.750000000000000,1103365.419999999925494,1131062.000000000000000,10193966.230000000447035
20170921,1182459.100000000093132,1128714.670000000158325,1150113.300000000046566,1131710.199999999953434,1116863.300000000046566,1155529.660000000149012,1101411.449999999953434,1102318.719999999972060,1124177.500000000000000,10193298.900000000372529
20170922,1184352.479999999748543,1151841.059999999823049,1158209.979999999981374,1128391.439999999944121,1122335.000000000000000,1154908.419999999925494,1106397.200000000186265,1104935.469999999972060,1117433.500000000000000,10228805.549999998882413
20170925,1174516.139999999897555,1163922.010000000009313,1165121.780000000027940,1139492.119999999878928,1130261.949999999953434,1154287.179999999934807,1112108.150000000139698,1078349.289999999804422,1112094.500000000000000,10230154.119999999180436
20170926,1171652.979999999748543,1165302.689999999944121,1160481.000000000000000,1128734.760000000009313,1131384.349999999860302,1163916.399999999906868,1111201.650000000139698,1077511.929999999934807,1115466.500000000000000,10225653.259999999776483
20170927,1178949.419999999925494,1155637.929999999934807,1159789.820000000065193,1135715.600000000093132,1128999.249999999767169,1166090.739999999990687,1111382.950000000186265,1087455.580000000074506,1114061.500000000000000,10238083.789999999105930
