訓練日期,20091020 - 20100122
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11534087.839999999850988
真實報酬,1534087.839999999850988

夏普值報酬,0.144708784000000
夏普值風險,0.057880425332507
夏普值,2.500133389979220

預期報酬,32492.305443335288146
風險,165982.831391175481258
趨勢值,0.195757026018914
找到最佳解世代,1743
找到最佳解實驗#,1
找到最佳解次數,38

stock[index](rank)
投資組合檔數,4
BA[2](19),MSFT[18](3),UNH[23](1),V[25](2),
Stock#,BA[2](19),MSFT[18](3),UNH[23](1),V[25](2),
張數,46772,94840,100321,133404,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,36.600000000093132,17.600000000093132,0.679999999701977,9.040000000037253,
20091020,2427035.680000000167638,2500948.400000000372529,2604333.839999999850988,2502668.080000000074506,10034986.000000000000000
20091021,2368102.960000000428408,2520864.799999999813735,2520064.199999999720603,2508004.240000000223517,9917036.199999999254942
20091022,2388682.640000000130385,2521813.200000000186265,2579253.589999999850988,2524012.720000000204891,10013762.150000000372529
20091023,2333491.680000000167638,2657434.399999999906868,2593298.529999999795109,2471985.160000000149012,10056209.769999999552965
20091026,2258656.479999999981374,2720028.800000000279397,2539125.189999999478459,2427961.839999999850988,9945772.309999998658895
20091027,2233399.600000000093132,2711493.200000000186265,2658507.179999999701977,2465314.959999999962747,10068714.940000001341105
20091028,2208610.439999999944121,2657434.399999999906868,2596308.159999999683350,2553361.600000000093132,10015714.599999999627471
20091029,2282977.920000000391155,2676402.399999999906868,2655497.549999999813735,2577374.320000000298023,10192252.190000001341105
20091030,2235738.200000000186265,2629930.800000000279397,2603330.629999999422580,2526680.800000000279397,9995680.429999999701977
20091102,2257721.040000000037253,2644156.799999999813735,2650481.500000000000000,2577374.320000000298023,10129733.660000000149012
20091103,2249769.800000000279397,2610962.800000000279397,2699638.789999999571592,2589380.680000000167638,10149752.070000000298023
