訓練日期,20120709 - 20121008
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11414709.600000001490116
真實報酬,1414709.600000001490116

夏普值報酬,0.132770960000000
夏普值風險,0.041395906898198
夏普值,3.207345120533608

預期報酬,24066.538390113702917
風險,72314.992634832669864
趨勢值,0.332801505099253
找到最佳解世代,2514
找到最佳解實驗#,2
找到最佳解次數,42

stock[index](rank)
投資組合檔數,7
AAPL[0](13),GS[8](5),HD[9](8),PFE[20](7),PG[21](3),UNH[23](28),WBA[27](11),
Stock#,AAPL[0](13),GS[8](5),HD[9](8),PFE[20](7),PG[21](3),UNH[23](28),WBA[27](11),
張數,16505,14963,27393,63379,23312,25592,48229,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,63.250000000000000,53.390000000130385,26.050000000046566,8.340000000083819,11.639999999897555,25.560000000055879,28.020000000018626,
20120709,1447551.750000000000000,1413608.000000000000000,1427749.209999999962747,1435542.689999999944121,1434865.239999999757856,1435480.840000000083819,1432429.320000000065193,10027230.050000000745058
20120710,1434182.699999999953434,1410316.140000000130385,1430488.510000000009313,1422233.100000000093132,1439061.399999999906868,1425499.960000000195578,1443039.700000000186265,10004824.510000001639128
20120711,1425270.000000000000000,1423483.580000000074506,1415422.360000000102445,1415895.200000000186265,1431368.439999999944121,1434201.239999999990687,1444004.280000000027940,9989648.099999999627471
20120712,1412231.050000000046566,1406874.650000000139698,1412135.199999999953434,1436810.270000000251457,1484986.040000000037253,1396581.000000000000000,1451720.920000000158325,10001342.130000000819564
20120713,1426425.350000000093132,1457898.480000000214204,1426927.420000000158325,1445683.330000000074506,1517389.719999999972060,1412703.960000000195578,1474870.839999999850988,10161902.099999999627471
20120716,1431046.750000000000000,1461639.230000000214204,1409395.900000000139698,1465964.610000000102445,1510862.359999999869615,1411680.280000000027940,1471012.520000000018626,10161604.650000000372529
20120717,1431211.799999999813735,1466128.130000000121072,1389399.010000000009313,1497020.320000000065193,1523450.839999999850988,1430618.360000000102445,1480658.320000000065193,10218489.779999999329448
20120718,1429561.300000000046566,1444132.520000000251457,1394603.679999999934807,1500189.270000000251457,1511095.479999999748543,1442134.760000000009313,1493680.149999999906868,10215400.160000000149012
20120719,1448542.050000000046566,1421538.390000000130385,1395973.330000000074506,1508428.540000000037253,1513426.679999999934807,1407329.640000000130385,1669716.000000000000000,10364957.630000000819564
20120720,1424939.899999999906868,1408969.469999999972060,1388851.150000000139698,1502090.640000000130385,1508997.399999999906868,1418078.280000000027940,1668751.420000000158325,10320681.259999999776483
20120723,1423784.550000000046566,1394006.469999999972060,1395973.330000000074506,1495752.740000000223517,1501071.319999999832362,1395045.479999999981374,1635955.700000000186265,10241592.589999999850988
20120724,1417017.500000000000000,1413608.000000000000000,1401725.860000000102445,1481809.360000000102445,1492445.879999999888241,1405026.360000000102445,1645119.209999999962747,10256755.170000001788139
20120725,1355783.949999999953434,1435902.870000000111759,1398986.560000000055879,1478640.409999999916181,1492445.879999999888241,1343093.719999999972060,1671162.869999999878928,10176019.259999999776483
20120726,1355618.899999999906868,1467325.170000000158325,1449389.679999999934807,1488781.050000000046566,1505034.359999999869615,1331065.479999999981374,1686596.149999999906868,10283813.790000000968575
20120727,1379716.199999999953434,1520892.710000000195578,1471304.080000000074506,1510329.909999999916181,1517389.719999999972060,1365102.840000000083819,1722767.899999999906868,10487506.360000001266599
20120730,1402988.250000000000000,1509520.830000000074506,1458703.300000000046566,1502724.430000000167638,1517622.839999999850988,1363055.479999999981374,1749293.850000000093132,10503911.980000000447035
20120731,1440124.500000000000000,1509820.090000000316650,1429392.790000000037253,1523639.500000000000000,1504568.120000000111759,1307520.840000000083819,1753634.459999999962747,10468703.300000000745058
20120801,1430881.699999999953434,1497700.060000000288710,1415696.290000000037253,1517301.600000000093132,1492212.760000000009313,1310591.880000000121072,1749293.850000000093132,10413681.140000000596046
20120802,1433192.399999999906868,1463584.420000000158325,1407752.320000000065193,1516034.020000000251457,1480556.759999999776483,1307776.760000000009313,1724214.770000000018626,10333114.450000001117587
20120803,1451843.049999999813735,1511017.130000000121072,1432406.020000000018626,1538850.460000000195578,1526947.639999999897555,1320828.679999999934807,1726626.219999999972060,10508522.199999999254942
20120806,1468017.949999999953434,1526578.650000000139698,1424462.050000000046566,1537582.880000000121072,1534174.359999999869615,1305217.560000000055879,1726143.929999999934807,10522180.380000000819564
20120807,1464056.750000000000000,1544833.510000000009313,1435419.250000000000000,1504625.800000000046566,1543732.279999999795109,1344629.239999999990687,1737718.890000000130385,10575018.720000000670552
20120808,1461581.000000000000000,1533760.890000000130385,1446102.520000000018626,1510329.909999999916181,1555388.279999999795109,1349491.719999999972060,1747846.980000000214204,10604504.300000000745058
20120809,1463726.650000000139698,1550220.189999999944121,1455964.000000000000000,1512865.070000000065193,1555621.399999999906868,1331321.400000000139698,1740612.630000000121072,10610334.340000001713634
20120810,1465872.300000000046566,1541541.650000000139698,1453498.630000000121072,1517301.600000000093132,1556553.879999999888241,1328250.360000000102445,1744470.950000000186265,10607492.370000001043081
20120813,1485513.250000000000000,1550369.820000000065193,1446924.310000000055879,1503358.219999999972060,1549793.399999999906868,1328250.360000000102445,1734825.149999999906868,10599037.509999999776483
20120814,1489474.449999999953434,1545132.770000000251457,1498697.080000000074506,1519836.760000000009313,1555621.399999999906868,1330041.800000000046566,1722285.610000000102445,10661092.870000001043081
20120815,1487493.850000000093132,1543187.580000000074506,1506641.050000000046566,1523639.500000000000000,1553523.319999999832362,1351795.000000000000000,1715051.260000000242144,10681334.560000000521541
20120816,1500532.800000000046566,1548574.260000000009313,1542525.880000000121072,1522371.920000000158325,1561915.639999999897555,1366382.440000000176951,1713122.100000000093132,10755428.039999999105930
20120817,1528261.199999999953434,1550220.189999999944121,1554030.939999999944121,1507794.750000000000000,1561915.639999999897555,1359728.520000000018626,1728555.380000000121072,10790509.620000001043081
20120820,1568368.349999999860302,1575358.030000000260770,1549648.060000000055879,1515400.229999999981374,1556087.639999999897555,1361519.960000000195578,1737718.890000000130385,10864104.160000000149012
20120821,1546911.850000000093132,1575956.550000000046566,1542799.810000000055879,1501456.850000000093132,1556553.879999999888241,1367150.200000000186265,1719391.869999999878928,10810224.009999999776483
20120822,1577116.000000000000000,1566230.600000000093132,1551565.570000000065193,1502090.640000000130385,1558418.839999999850988,1381225.800000000046566,1714568.969999999972060,10851219.420000001788139
20120823,1562426.550000000046566,1557402.430000000167638,1549100.199999999953434,1504625.800000000046566,1554455.800000000046566,1379946.200000000186265,1719874.159999999916181,10827834.140000000596046
20120824,1563912.000000000000000,1570569.870000000111759,1560331.330000000074506,1521738.130000000121072,1562381.879999999888241,1386088.280000000027940,1719391.869999999878928,10884416.359999999403954
20120827,1593290.899999999906868,1572963.950000000186265,1552387.360000000102445,1514132.650000000139698,1564479.959999999962747,1397604.679999999934807,1716980.420000000158325,10911842.919999999925494
20120828,1591145.250000000000000,1571617.280000000260770,1548552.340000000083819,1511597.490000000223517,1561682.519999999785796,1390438.919999999925494,1707334.619999999878928,10882371.419999999925494
20120829,1588009.299999999813735,1579098.780000000260770,1557044.170000000158325,1518569.180000000167638,1558885.080000000074506,1398372.440000000176951,1702511.719999999972060,10902493.669999999925494
20120830,1565397.449999999953434,1566978.750000000000000,1551017.709999999962747,1510963.700000000186265,1559118.199999999720603,1399652.040000000037253,1698171.110000000102445,10851301.960000000894070
20120831,1568533.399999999906868,1581941.750000000000000,1554578.800000000046566,1512231.280000000027940,1566344.919999999925494,1389671.159999999916181,1724697.059999999823049,10898001.370000001043081
20120904,1591475.350000000093132,1592266.219999999972060,1555674.520000000018626,1507160.960000000195578,1571240.439999999944121,1396325.080000000074506,1721803.320000000065193,10935948.890000000596046
20120905,1580417.000000000000000,1645085.610000000102445,1548826.270000000018626,1516034.020000000251457,1568676.120000000111759,1389159.320000000065193,1730484.540000000037253,10978685.880000002682209
20120906,1594611.300000000046566,1698952.410000000149012,1579232.500000000000000,1542653.200000000186265,1590822.519999999785796,1404770.440000000176951,1697688.820000000065193,11108734.189999999478459
20120907,1604514.299999999813735,1740699.180000000167638,1568549.229999999981374,1536315.300000000046566,1597349.879999999888241,1404514.520000000018626,1685149.279999999795109,11137094.689999999478459
20120910,1562756.650000000139698,1716010.230000000214204,1569644.949999999953434,1527442.240000000223517,1597116.760000000009313,1375339.640000000130385,1694795.080000000074506,11043108.550000000745058
