訓練日期,20101214 - 20110317
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11567194.139999998733401
真實報酬,1567194.139999998733401

夏普值報酬,0.148019414000000
夏普值風險,0.044910142748337
夏普值,3.295901659218889

預期報酬,24852.871198846947664
風險,109446.616295605825144
趨勢值,0.227077565666548
找到最佳解世代,1871
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CVX[5](2),PFE[20](1),
Stock#,CVX[5](2),PFE[20](1),
張數,56580,290866,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,25.399999999441206,13.459999999962747,
20101214,5000565.799999998882413,4976730.719999999739230,9977296.519999999552965
20101215,4979631.200000000186265,4968004.739999999292195,9947635.939999999478459
20101216,5039040.199999999254942,5008725.979999999515712,10047766.179999999701977
20101217,5006789.599999998696148,4953461.440000000409782,9960251.039999999105930
20101220,5024329.399999999441206,4994182.680000000633299,10018512.080000000074506
20101221,5048658.799999999813735,5055264.540000000037253,10103923.339999999850988
20101222,5087699.000000000000000,5107620.419999999925494,10195319.419999999925494
20101223,5130699.799999999813735,5122163.719999999739230,10252863.519999999552965
20101227,5099015.000000000000000,5087259.799999999813735,10186274.800000000745058
20101228,5159555.599999999627471,5116346.400000000372529,10275902.000000000000000
20101229,5169740.000000000000000,5119255.060000000521541,10288995.060000000521541
20101230,5182753.399999999441206,5087259.799999999813735,10270013.199999999254942
20101231,5162950.399999999441206,5093077.120000000111759,10256027.519999999552965
20110103,5201990.599999999627471,5142524.339999999850988,10344514.939999999478459
20110104,5182753.399999999441206,5232692.799999999813735,10415446.199999999254942
20110105,5173700.599999999627471,5267596.719999999739230,10441297.320000000298023
20110106,5131265.599999999627471,5287957.339999999850988,10419222.939999999478459
20110107,5159555.599999999627471,5334495.900000000372529,10494051.500000000000000
20110110,5115423.199999999254942,5311226.620000000111759,10426649.820000000298023
20110111,5195766.799999998882413,5299591.979999999515712,10495358.779999997466803
20110112,5230846.399999999441206,5343221.879999999888241,10574068.279999999329448
20110113,5215569.799999999813735,5299591.979999999515712,10515161.779999999329448
20110114,5252346.799999998882413,5334495.900000000372529,10586842.699999999254942
20110118,5281768.399999999441206,5346130.540000000037253,10627898.939999999478459
20110119,5260267.999999999068677,5328678.580000000074506,10588946.579999998211861
20110120,5245557.199999999254942,5305409.299999999813735,10550966.500000000000000
20110121,5306097.799999999813735,5340313.219999999739230,10646411.019999999552965
20110124,5324203.399999999441206,5366491.160000000149012,10690694.559999998658895
20110125,5323071.799999998882413,5372308.479999999515712,10695380.279999997466803
20110126,5354756.599999999627471,5340313.219999999739230,10695069.820000000298023
20110127,5360980.399999999441206,5375217.139999999664724,10736197.539999999105930
20110128,5282900.000000000000000,5279231.359999999403954,10562131.359999999403954
20110131,5371164.799999999813735,5299591.979999999515712,10670756.779999999329448
20110201,5444152.999999999068677,5590457.979999999515712,11034610.979999998584390
20110202,5458863.799999999813735,5514832.820000000298023,10973696.620000001043081
20110203,5505825.199999999254942,5575914.680000000633299,11081739.879999998956919
20110204,5494509.199999999254942,5613727.259999999776483,11108236.459999999031425
20110207,5525628.199999999254942,5538102.099999999627471,11063730.299999998882413
20110208,5530154.599999998696148,5573006.019999999552965,11103160.619999997317791
20110209,5445284.599999998696148,5541010.759999999776483,10986295.359999999403954
20110210,5471311.399999999441206,5535193.440000000409782,11006504.839999999850988
20110211,5457166.399999999441206,5477020.239999999292195,10934186.639999998733401
20110214,5485456.399999999441206,5541010.759999999776483,11026467.160000000149012
20110215,5450942.599999999627471,5541010.759999999776483,10991953.359999999403954
20110216,5469048.199999999254942,5607909.940000000409782,11076958.140000000596046
20110217,5497904.000000000000000,5634087.879999999888241,11131991.879999998956919
20110218,5585602.999999999068677,5581732.000000000000000,11167335.000000000000000
20110222,5676130.999999999068677,5494472.200000000186265,11170603.199999999254942
20110223,5786461.999999999068677,5456659.620000000111759,11243121.619999999180436
20110224,5772882.799999999813735,5497380.859999999403954,11270263.660000000149012
20110225,5776843.399999999441206,5485746.219999999739230,11262589.619999999180436
20110228,5870200.399999999441206,5596275.299999999813735,11466475.699999999254942
20110301,5822107.399999999441206,5567188.700000000186265,11389296.099999999627471
20110302,5854357.999999999068677,5581732.000000000000000,11436090.000000000000000
20110303,5895095.599999999627471,5750434.280000000260770,11645529.879999998956919
20110304,5870200.399999999441206,5718439.019999999552965,11588639.419999998062849
20110307,5828331.200000000186265,5703895.719999999739230,11532226.919999999925494
20110308,5871331.999999999068677,5724256.339999999850988,11595588.339999999850988
20110309,5779106.599999999627471,5718439.019999999552965,11497545.619999999180436
20110310,5605971.799999998882413,5631179.219999999739230,11237151.019999999552965
20110311,5654064.799999999813735,5663174.479999999515712,11317239.279999999329448
20110314,5703289.399999999441206,5762068.919999999925494,11465358.320000000298023
20110315,5727618.799999999813735,5747525.620000000111759,11475144.419999999925494
20110316,5630301.200000000186265,5613727.259999999776483,11244028.460000000894070
20110317,5784764.599999998696148,5782429.540000000037253,11567194.139999998733401
