訓練日期,20141015 - 20150116
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12026258.799999998882413
真實報酬,2026258.799999998882413

夏普值報酬,0.193925880000000
夏普值風險,0.056398938125230
夏普值,3.438466865624318

預期報酬,33332.360806064163626
風險,139844.784407137136441
趨勢值,0.238352548844596
找到最佳解世代,3256
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
PFE[20](3),WBA[27](1),
Stock#,PFE[20](3),WBA[27](1),
張數,175685,82385,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,4.899999999441206,54.350000000558794,
20141015,4952565.049999999813735,5021420.100000000558794,9973985.150000000372529
20141016,4866479.399999999441206,4975284.500000000931323,9841763.900000000372529
20141017,4889318.449999999254942,4965398.300000000745058,9854716.750000000000000
20141020,4906886.949999999254942,4959631.350000000558794,9866518.300000000745058
20141021,4968376.699999999254942,5070851.100000000558794,10039227.800000000745058
20141022,4971890.399999999441206,5066731.850000000558794,10038622.250000000000000
20141023,5024595.899999999441206,5113691.300000000745058,10138287.199999999254942
20141024,5114195.249999999068677,5161474.600000000558794,10275669.849999999627471
20141027,5100140.449999999254942,5199371.700000000186265,10299512.149999998509884
20141028,5110681.549999999813735,5247978.850000000558794,10358660.400000000372529
20141029,5180955.549999998882413,5176303.900000000372529,10357259.449999999254942
20141030,5242445.299999999813735,5187013.950000000186265,10429459.250000000000000
20141031,5261770.649999999441206,5290819.050000000745058,10552589.699999999254942
20141103,5303935.049999999813735,5353431.650000001303852,10657366.700000001117587
20141104,5319746.699999999254942,5374851.750000000000000,10694598.449999999254942
20141105,5277582.299999998882413,5409453.450000000186265,10687035.750000000000000
20141106,5277582.299999998882413,5491014.600000001490116,10768596.900000000372529
20141107,5256500.099999999627471,5513258.550000000745058,10769758.650000000372529
20141110,5305691.899999999441206,5584109.650000000372529,10889801.550000000745058
20141111,5326774.099999999627471,5561041.850000000558794,10887815.949999999254942
20141112,5344342.599999999627471,5556098.750000000000000,10900441.349999999627471
20141113,5344342.599999999627471,5516553.950000000186265,10860896.550000000745058
20141114,5330287.799999999813735,5514082.400000001303852,10844370.200000001117587
20141117,5326774.099999999627471,5482776.100000000558794,10809550.199999999254942
20141118,5374209.049999999813735,5607177.450000001117587,10981386.500000000000000
20141119,5347856.299999999813735,5584933.500000000931323,10932789.800000000745058
20141120,5347856.299999999813735,5547860.250000000931323,10895716.550000000745058
20141121,5349613.149999999441206,5568456.500000000931323,10918069.650000000372529
20141124,5309205.599999999627471,5579990.400000001303852,10889196.000000000000000
20141125,5353126.849999999627471,5586581.200000001117587,10939708.050000000745058
20141126,5463808.399999999441206,5640955.300000000745058,11104763.699999999254942
20141128,5472592.649999999441206,5652489.200000000186265,11125081.849999999627471
20141201,5491918.000000000000000,5583285.799999999813735,11075203.800000000745058
20141202,5546380.349999999627471,5499253.100000000558794,11045633.449999999254942
20141203,5578003.649999999441206,5551155.650000000372529,11129159.300000000745058
20141204,5563948.849999999627471,5593995.850000001490116,11157944.700000001117587
20141205,5620168.049999998882413,5651665.349999999627471,11271833.399999998509884
20141208,5616654.349999999627471,5579990.400000001303852,11196644.750000000000000
20141209,5613140.649999999441206,5650841.500000000931323,11263982.150000000372529
20141210,5597328.999999999068677,5614592.100000001490116,11211921.100000001490116
20141211,5560435.149999999441206,6014983.200000001117587,11575418.350000001490116
20141212,5437455.649999999441206,6137736.850000000558794,11575192.500000000000000
20141215,5421643.999999999068677,6050408.750000000000000,11472052.750000000000000
20141216,5388263.849999999627471,5963904.500000000931323,11352168.350000001490116
20141217,5467322.099999999627471,5930950.500000000000000,11398272.599999999627471
20141218,5616654.349999999627471,6127850.650000000372529,11744505.000000000000000
20141219,5611383.799999999813735,6033107.900000001303852,11644491.700000001117587
20141222,5637736.549999999813735,6118788.299999999813735,11756524.849999999627471
20141223,5525298.149999999441206,6303330.700000001117587,11828628.850000001490116
20141224,5520027.599999999627471,6316512.300000000745058,11836539.900000000372529
20141226,5560435.149999999441206,6299211.450000000186265,11859646.599999999627471
20141229,5514757.049999999813735,6326398.500000000931323,11841155.550000000745058
20141230,5513000.199999999254942,6265433.600000000558794,11778433.800000000745058
20141231,5472592.649999999441206,6277791.350000000558794,11750384.000000000000000
20150102,5504215.949999999254942,6261314.350000000558794,11765530.300000000745058
20150105,5474349.499999999068677,6137736.850000000558794,11612086.349999999627471
20150106,5520027.599999999627471,6153390.000000000000000,11673417.599999999627471
20150107,5595572.149999999441206,6310745.349999999627471,11906317.500000000000000
20150108,5709767.399999999441206,6389011.100000000558794,12098778.500000000000000
20150109,5736120.149999999441206,6234127.300000000745058,11970247.449999999254942
20150112,5757202.349999999627471,6236598.850000000558794,11993801.199999999254942
20150113,5699226.299999998882413,6200349.450000001117587,11899575.750000000000000
20150114,5706253.699999999254942,6178105.500000000000000,11884359.199999999254942
20150115,5692198.899999999441206,6160804.650000000372529,11853003.550000000745058
20150116,5762472.899999998509884,6263785.900000000372529,12026258.799999998882413
