訓練日期,20110830 - 20111130
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12056685.850000001490116
真實報酬,2056685.850000001490116

夏普值報酬,0.196968585000000
夏普值風險,0.066138147157841
夏普值,2.978138842171184

預期報酬,32169.958095446541847
風險,354243.560863201622851
趨勢值,0.090813106149499
找到最佳解世代,2038
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CSCO[4](2),INTC[11](1),
Stock#,CSCO[4](2),INTC[11](1),
張數,317662,246305,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,0.120000000111759,8.500000000000000,
20110830,4965057.180000000633299,4985221.699999999254942,9950278.879999998956919
20110831,4977763.660000000149012,4958128.149999999441206,9935891.809999998658895
20110901,5025412.959999999962747,4923645.449999999254942,9949058.410000000149012
20110902,4895171.540000000037253,4837438.700000000186265,9732610.240000000223517
20110906,4853875.479999999515712,4812808.200000000186265,9666683.679999999701977
20110907,5044472.680000000633299,4945812.899999999441206,9990285.580000000074506
20110908,5174714.099999999627471,4901478.000000000000000,10076192.099999999627471
20110909,5025412.959999999962747,4852217.000000000000000,9877629.960000000894070
20110912,5111181.700000000186265,4995073.900000000372529,10106255.600000001490116
20110913,5193773.820000000298023,5113300.300000000745058,10307074.120000001043081
20110914,5187420.579999999143183,5201970.100000000558794,10389390.679999999701977
20110915,5295425.660000001080334,5305418.200000000186265,10600843.860000001266599
20110916,5279542.560000000521541,5411329.349999999627471,10690871.910000000149012
20110919,5244599.740000000223517,5401477.150000000372529,10646076.890000000596046
20110920,5250952.980000000447035,5467979.500000000000000,10718932.480000000447035
20110921,5031766.200000000186265,5403940.200000000186265,10435706.400000000372529
20110922,4869758.580000000074506,5325122.600000000558794,10194881.179999999701977
20110923,4958703.939999999478459,5458127.299999999813735,10416831.239999998360872
20110926,5079415.500000000000000,5477831.699999999254942,10557247.199999999254942
20110927,5104828.459999999962747,5551723.200000000186265,10656551.660000000149012
20110928,5031766.200000000186265,5495073.049999999813735,10526839.250000000000000
20110929,5034942.820000000298023,5470442.549999999813735,10505385.370000001043081
20110930,4923761.120000000111759,5256157.200000000186265,10179918.320000000298023
20111003,4825285.900000000372529,5078817.600000000558794,9904103.500000000000000
20111004,4949174.080000000074506,5226600.599999999627471,10175774.679999999701977
20111005,5133418.040000000037253,5381772.750000000000000,10515190.789999999105930
20111006,5320838.620000000111759,5426107.650000000372529,10746946.269999999552965
20111007,5292249.040000000037253,5490146.950000000186265,10782395.990000000223517
20111010,5428843.700000000186265,5635466.899999999441206,11064310.599999999627471
20111011,5397077.500000000000000,5662560.449999999254942,11059637.949999999254942
20111012,5479669.620000000111759,5694580.100000000558794,11174249.720000000670552
20111013,5533672.160000001080334,5761082.450000000186265,11294754.610000001266599
20111014,5574968.220000000670552,5788176.000000000000000,11363144.220000000670552
20111017,5454256.660000001080334,5733988.900000000372529,11188245.560000002384186
20111018,5562261.740000000223517,5763545.500000000000000,11325807.240000000223517
20111019,5451080.040000000037253,5970441.699999999254942,11421521.739999998360872
20111020,5460609.900000000372529,5815269.549999999813735,11275879.449999999254942
20111021,5520965.679999999701977,5918717.650000000372529,11439683.330000000074506
20111024,5571791.599999999627471,6056648.450000000186265,11628440.050000000745058
20111025,5597204.560000000521541,6066500.649999999441206,11663705.210000000894070
20111026,5594027.939999999478459,6083742.000000000000000,11677769.939999999478459
20111027,5857687.400000000372529,6189653.149999999441206,12047340.550000000745058
20111028,5895806.839999999850988,6152707.400000000372529,12048514.240000000223517
20111031,5886276.980000000447035,6044333.200000000186265,11930610.179999999701977
20111101,5587674.700000000186265,5886698.000000000000000,11474372.699999999254942
20111102,5670266.820000000298023,5874382.750000000000000,11544649.570000000298023
20111103,5775095.280000000260770,5960589.500000000000000,11735684.780000001192093
20111104,5727445.980000000447035,5847289.199999999254942,11574735.179999999701977
20111107,5721092.740000000223517,5980293.900000000372529,11701386.640000000596046
20111108,5816391.339999999850988,6096057.250000000000000,11912448.589999999850988
20111109,5594027.939999999478459,5871919.700000000186265,11465947.640000000596046
20111110,5911689.939999999478459,5926106.799999999813735,11837796.739999998360872
20111111,6041931.360000000335276,6120687.750000000000000,12162619.109999999403954
20111114,6016518.400000000372529,6066500.649999999441206,12083019.050000000745058
20111115,6073697.560000000521541,6241377.200000000186265,12315074.760000001639128
20111116,5972045.720000000670552,6142855.200000000186265,12114900.920000001788139
20111117,5870393.879999999888241,5995072.200000000186265,11865466.080000000074506
20111118,5851334.160000001080334,5982756.950000000186265,11834091.110000001266599
20111121,5717916.120000000111759,5805417.349999999627471,11523333.469999998807907
20111122,5692503.160000001080334,5724136.699999999254942,11416639.859999999403954
20111123,5530495.540000000037253,5591132.000000000000000,11121627.539999999105930
20111125,5559085.120000000111759,5598521.150000000372529,11157606.269999999552965
20111128,5721092.740000000223517,5778323.799999999813735,11499416.539999999105930
20111129,5616264.280000000260770,5807880.399999999441206,11424144.679999999701977
20111130,5921219.800000000745058,6135466.049999999813735,12056685.850000001490116
