訓練日期,20121012 - 20130117
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11282093.700000001117587
真實報酬,1282093.700000001117587

夏普值報酬,0.119509370000000
夏普值風險,0.033465026791249
夏普值,3.571172099920474

預期報酬,19005.189600491110468
風險,142286.522847915650345
趨勢值,0.133569850609147
找到最佳解世代,2195
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](4),DD[7](3),HD[9](6),V[25](1),
Stock#,BA[2](4),DD[7](3),HD[9](6),V[25](1),
張數,35295,62204,42365,71921,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,55.149999999906868,21.240000000223517,41.350000000093132,26.040000000037253,
20121012,2536000.899999999906868,2487559.200000000186265,2523300.750000000000000,2501438.419999999925494,10048299.269999999552965
20121015,2550118.899999999906868,2508708.560000000055879,2569478.600000000093132,2515103.410000000149012,10143409.470000000670552
20121016,2593531.750000000000000,2649289.600000000558794,2578375.250000000000000,2538118.129999999888241,10359314.730000000447035
20121017,2598825.999999999534339,2678525.480000000447035,2600828.700000000186265,2563290.479999999981374,10441470.660000000149012
20121018,2621061.850000000093132,2677281.400000000372529,2618198.350000000093132,2551063.910000000149012,10467605.509999999776483
20121019,2612238.100000000093132,2644935.320000000298023,2622011.200000000186265,2516541.830000000074506,10395726.449999999254942
20121022,2601296.649999999906868,2634360.640000000130385,2628365.950000000186265,2499280.790000000037253,10363304.030000001192093
20121023,2570237.049999999813735,2529235.879999999888241,2616080.100000000093132,2456847.399999999906868,10172400.429999999701977
20121024,2566354.599999999627471,2646801.439999999944121,2596168.550000000279397,2453970.560000000055879,10263295.150000000372529
20121025,2525059.450000000186265,2627518.200000000186265,2562276.549999999813735,2473389.229999999981374,10188243.429999999701977
20121026,2509882.600000000093132,2619431.680000000167638,2543635.950000000186265,2487054.219999999739230,10160004.449999999254942
20121031,2486234.949999999720603,2595794.160000000149012,2600405.050000000279397,2494965.529999999795109,10177399.689999999478459
20121101,2498588.200000000186265,2667328.760000000242144,2637686.250000000000000,2587024.410000000149012,10390627.620000001043081
20121102,2472469.899999999906868,2635604.720000000204891,2627518.650000000372529,2578393.890000000130385,10313987.160000000149012
20121105,2485176.099999999627471,2662974.480000000447035,2642770.050000000279397,2544591.020000000018626,10335511.650000000372529
20121106,2542001.049999999813735,2703407.080000000074506,2652937.649999999906868,2587024.410000000149012,10485370.189999999478459
20121107,2474587.600000000093132,2683501.800000000279397,2626247.700000000186265,2563290.479999999981374,10347627.580000000074506
20121108,2505294.250000000000000,2617565.560000000055879,2578375.250000000000000,2554659.960000000428408,10255895.020000001415610
20121109,2585413.899999999906868,2600770.480000000447035,2582611.750000000000000,2569763.369999999646097,10338559.500000000000000
20121112,2600943.699999999720603,2550385.240000000223517,2591084.750000000000000,2575517.050000000279397,10317930.740000000223517
20121113,2589296.350000000093132,2554117.480000000447035,2685135.050000000279397,2561132.850000000093132,10389681.730000000447035
20121114,2516235.700000000186265,2504976.320000000298023,2604217.899999999906868,2516541.830000000074506,10141971.750000000000000
20121115,2507411.950000000186265,2470764.120000000111759,2594897.600000000093132,2517261.040000000037253,10090334.710000000894070
20121116,2497882.299999999813735,2457079.240000000223517,2631755.149999999906868,2566167.319999999832362,10152884.009999999776483
20121119,2539883.349999999627471,2549763.200000000186265,2683016.799999999813735,2618669.649999999906868,10391333.000000000000000
20121120,2560354.450000000186265,2550385.240000000223517,2703775.649999999906868,2631615.430000000167638,10446130.769999999552965
20121121,2581884.399999999906868,2552873.400000000372529,2715214.200000000186265,2637369.110000000335276,10487341.110000001266599
20121123,2602708.449999999720603,2602636.600000000558794,2746140.649999999906868,2663260.669999999925494,10614746.370000001043081
20121126,2621414.799999999813735,2620675.760000000242144,2739785.900000000372529,2647438.050000000279397,10629314.510000001639128
20121127,2629179.699999999720603,2631872.480000000447035,2718179.750000000000000,2639526.740000000223517,10618758.669999999925494
20121128,2615061.700000000186265,2646179.400000000372529,2746564.299999999813735,2648157.260000000242144,10655962.660000000149012
20121129,2616120.550000000279397,2657376.120000000111759,2721568.949999999720603,2664699.089999999850988,10659764.709999999031425
20121130,2621767.750000000000000,2674171.200000000186265,2756731.899999999906868,2692029.069999999832362,10744699.919999999925494
20121203,2612591.049999999813735,2595794.160000000149012,2752919.050000000279397,2672610.399999999906868,10633914.660000000149012
20121204,2613649.899999999906868,2595172.120000000111759,2721568.949999999720603,2653910.939999999944121,10584301.909999998286366
20121205,2607296.800000000279397,2612589.240000000223517,2712248.649999999906868,2662541.460000000428408,10594676.150000002235174
20121206,2611179.250000000000000,2625652.080000000074506,2725805.450000000186265,2669733.560000000055879,10632370.339999999850988
20121207,2634473.949999999720603,2684123.840000000316650,2730465.600000000093132,2671171.979999999981374,10720235.370000001043081
20121210,2665886.500000000000000,2711493.600000000558794,2670730.950000000186265,2673329.610000000335276,10721440.660000000149012
20121211,2676122.049999999813735,2750682.120000000111759,2664376.200000000186265,2677644.869999999646097,10768825.240000000223517
20121212,2663768.799999999813735,2759390.680000000167638,2666070.800000000279397,2658945.410000000149012,10748175.690000001341105
20121213,2623179.549999999813735,2748816.000000000000000,2644041.000000000000000,2646718.839999999850988,10662755.390000000596046
20121214,2612591.049999999813735,2783028.200000000186265,2629213.250000000000000,2640245.950000000186265,10665078.449999999254942
20121217,2634826.899999999906868,2818484.480000000447035,2682169.500000000000000,2681240.919999999925494,10816721.800000000745058
20121218,2665533.549999999813735,2904948.040000000502914,2669036.350000000093132,2710009.319999999832362,10949527.259999999776483
20121219,2665180.600000000093132,2872601.960000000428408,2616927.400000000372529,2681960.129999999888241,10836670.089999999850988
20121220,2689534.149999999906868,2878200.320000000298023,2625400.399999999906868,2741654.560000000055879,10934789.430000001564622
20121221,2688475.299999999813735,2834035.480000000447035,2597863.149999999906868,2710728.529999999795109,10831102.459999999031425
20121224,2681416.299999999813735,2850830.560000000055879,2608454.399999999906868,2718639.839999999850988,10859341.099999999627471
20121226,2683181.049999999813735,2871979.920000000391155,2590237.450000000186265,2692748.279999999795109,10838146.700000001117587
