訓練日期,20170104 - 20170406
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10934228.879999998956919
真實報酬,934228.879999998956919

夏普值報酬,0.084722888000000
夏普值風險,0.027619184178110
夏普值,3.067537674307908

預期報酬,15617.275519991462716
風險,55359.903427252284018
趨勢值,0.282104457434864
找到最佳解世代,1710
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),DIS[6](5),KO[14](23),MSFT[18](9),
Stock#,AAPL[0](1),DIS[6](5),KO[14](23),MSFT[18](9),
張數,21523,23567,59808,39948,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,103.549999999813735,12.640000000130385,25.600000000093132,54.160000000149012,
20170104,2497202.009999999776483,2532051.120000000111759,2491028.799999999813735,2488814.560000000055879,10009096.490000000223517
20170105,2509900.579999999608845,2530637.100000000093132,2497009.600000000093132,2488814.560000000055879,10026361.839999999850988
20170106,2537880.479999999515712,2568344.300000000279397,2496411.520000000018626,2510386.480000000447035,10113022.779999999329448
20170109,2561125.319999999832362,2553732.760000000242144,2471292.160000000149012,2502396.880000000353903,10088547.120000001043081
20170110,2563708.079999999608845,2554204.100000000093132,2454545.919999999925494,2501597.919999999925494,10074056.019999999552965
20170111,2577482.799999999813735,2579185.120000000111759,2455144.000000000000000,2524368.280000000260770,10136180.199999999254942
20170112,2566721.299999999813735,2534172.150000000372529,2449163.200000000186265,2501198.439999999944121,10051255.089999999850988
20170113,2562201.469999999739230,2546662.660000000149012,2444976.640000000130385,2504793.760000000242144,10058634.529999999329448
20170117,2582863.549999999813735,2544541.629999999888241,2465311.359999999869615,2498002.600000000093132,10090719.139999998733401
20170118,2582648.319999999832362,2549019.359999999869615,2469497.919999999925494,2496804.160000000149012,10097969.759999999776483
20170119,2578128.489999999757856,2528280.400000000372529,2460526.720000000204891,2488814.560000000055879,10055750.170000001788139
20170120,2582863.549999999813735,2537235.859999999869615,2471292.160000000149012,2506391.680000000167638,10097783.250000000000000
20170123,2584585.389999999664724,2524509.680000000167638,2477871.040000000037253,2515180.240000000223517,10102146.350000001490116
20170124,2582217.859999999869615,2542891.940000000409782,2505980.799999999813735,2537551.120000000111759,10168641.720000000670552
20170125,2623326.789999999571592,2546191.320000000298023,2519138.560000000055879,2543942.800000000279397,10232599.470000000670552
20170126,2624618.169999999925494,2546662.660000000149012,2500598.080000000074506,2567512.120000000111759,10239391.030000001192093
20170127,2624833.399999999906868,2575885.740000000223517,2479067.200000000186265,2627833.600000000093132,10307619.940000001341105
20170130,2617946.039999999571592,2614535.620000000111759,2474880.640000000130385,2601867.399999999906868,10309229.700000001117587
20170131,2611919.599999999627471,2607701.190000000409782,2486244.160000000149012,2582692.360000000335276,10288557.310000000521541
20170201,2771189.799999999813735,2623019.740000000223517,2467703.680000000167638,2539948.000000000000000,10401861.220000000670552
20170202,2766454.739999999757856,2606758.510000000242144,2476076.799999999813735,2523569.320000000298023,10372859.370000001043081
20170203,2778292.390000000130385,2599452.740000000223517,2484449.919999999925494,2543942.800000000279397,10406137.850000001490116
20170206,2804335.219999999739230,2582248.830000000074506,2485646.080000000074506,2542344.880000000353903,10414575.009999999776483
20170207,2831023.739999999757856,2568815.640000000130385,2505980.799999999813735,2533955.800000000279397,10439775.980000000447035
20170208,2842000.469999999739230,2568815.640000000130385,2513157.760000000242144,2530360.480000000447035,10454334.349999999627471
20170209,2850179.209999999497086,2580363.470000000204891,2467105.600000000093132,2559123.040000000037253,10456771.320000000298023
20170210,2843722.310000000055879,2574943.060000000055879,2427034.240000000223517,2556726.160000000149012,10402425.769999999552965
20170213,2868904.219999999739230,2584134.190000000409782,2429426.560000000055879,2585488.720000000204891,10467953.690000001341105
20170214,2906139.010000000242144,2600159.750000000000000,2424043.840000000316650,2579496.520000000018626,10509839.119999999180436
20170215,2916685.279999999795109,2596624.700000000186265,2418661.120000000111759,2577898.600000000093132,10509869.700000001117587
20170216,2913241.599999999627471,2609115.209999999962747,2464115.200000000186265,2577499.120000000111759,10563971.129999998956919
20170217,2921205.109999999869615,2593796.660000000149012,2465909.439999999944121,2581493.920000000391155,10562405.129999998956919
20170221,2942297.649999999441206,2592618.310000000055879,2479665.280000000260770,2576300.680000000167638,10590881.919999999925494
20170222,2951122.080000000074506,2595210.680000000167638,2488038.400000000372529,2571107.439999999944121,10605478.599999999627471
20170223,2938638.739999999757856,2586019.550000000279397,2491626.879999999888241,2581493.920000000391155,10597779.089999999850988
20170224,2941436.729999999515712,2599924.080000000074506,2498803.840000000316650,2581493.920000000391155,10621658.570000000298023
20170227,2947247.939999999944121,2597803.050000000279397,2492224.959999999962747,2565914.200000000186265,10603190.150000000372529
