訓練日期,20150113 - 20150416
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11429219.779999999329448
真實報酬,1429219.779999999329448

夏普值報酬,0.134221978000000
夏普值風險,0.043166584080198
夏普值,3.109395400632867

預期報酬,24367.097971921208227
風險,133357.697737370646792
趨勢值,0.182719845838287
找到最佳解世代,1934
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](5),NKE[19](18),UNH[23](1),WBA[27](2),
Stock#,BA[2](5),NKE[19](18),UNH[23](1),WBA[27](2),
張數,19102,52159,24378,33025,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,121.259999999776483,19.129999999888241,36.100000000093132,7.500000000000000,
20150113,2505730.599999999627471,2478093.219999999739230,2512676.560000000055879,2485469.000000000000000,9981969.379999998956919
20150114,2490640.019999999552965,2444189.869999999646097,2519014.839999999850988,2476552.250000000000000,9930396.979999998584390
20150115,2486055.539999999571592,2420718.319999999832362,2546561.979999999981374,2469617.000000000000000,9922952.839999999850988
20150116,2498280.819999999832362,2425412.629999999888241,2578497.160000000149012,2510898.250000000000000,10013088.859999999403954
20150120,2506685.699999999720603,2441581.919999999925494,2574840.460000000428408,2511558.750000000000000,10034666.830000000074506
20150121,2529417.079999999608845,2438973.969999999739230,2665039.060000000055879,2496367.250000000000000,10129797.359999999403954
20150122,2591116.539999999571592,2500000.000000000000000,2775471.399999999906868,2510568.000000000000000,10377155.939999999478459
20150123,2571632.500000000000000,2507823.849999999627471,2730372.100000000093132,2496367.250000000000000,10306195.699999999254942
20150126,2561126.399999999441206,2513039.750000000000000,2720864.680000000167638,2504623.500000000000000,10299654.330000000074506
20150127,2530754.219999999739230,2464531.879999999888241,2681859.880000000353903,2474570.750000000000000,10151716.730000000447035
20150128,2667524.539999999571592,2433758.069999999832362,2644073.979999999981374,2436261.750000000000000,10181618.339999999850988
20150129,2823014.819999999832362,2474442.089999999850988,2666745.520000000018626,2462681.750000000000000,10426884.179999999701977
20150130,2776979.000000000000000,2406113.799999999813735,2590198.600000000093132,2435601.250000000000000,10208892.650000000372529
20150202,2793979.779999999795109,2397246.770000000018626,2615551.720000000204891,2473249.750000000000000,10280028.019999999552965
20150203,2814609.939999999944121,2434801.250000000000000,2628228.280000000260770,2469947.250000000000000,10347586.719999998807907
20150204,2812317.699999999720603,2413416.060000000055879,2630909.860000000335276,2465984.250000000000000,10322627.870000001043081
20150205,2838678.459999999497086,2434279.660000000149012,2652850.060000000055879,2469947.250000000000000,10395755.429999999701977
20150206,2827217.259999999776483,2394117.229999999981374,2623108.899999999906868,2514861.250000000000000,10359304.640000000596046
20150209,2819194.419999999925494,2377947.939999999944121,2596049.319999999832362,2523117.500000000000000,10316309.179999999701977
20150210,2827981.339999999850988,2419153.549999999813735,2656506.760000000242144,2532694.750000000000000,10436336.400000000372529
20150211,2825689.099999999627471,2381599.069999999832362,2677959.399999999906868,2626485.750000000000000,10511733.320000000298023
20150212,2828936.439999999944121,2399333.129999999888241,2677715.620000000111759,2640686.500000000000000,10546671.690000001341105
20150213,2860263.719999999739230,2400376.310000000055879,2667964.419999999925494,2600065.750000000000000,10528670.199999999254942
20150217,2863893.099999999627471,2395682.000000000000000,2675765.380000000353903,2575957.500000000000000,10511297.980000000447035
20150218,2887770.599999999627471,2441581.919999999925494,2676009.160000000149012,2569022.250000000000000,10574383.929999999701977
20150219,2937053.759999999776483,2443668.279999999795109,2682347.439999999944121,2546235.000000000000000,10609304.479999998584390
20150220,3024158.879999999888241,2476006.859999999869615,2745486.460000000428408,2547225.750000000000000,10792877.950000001117587
20150223,2955964.739999999757856,2478093.219999999739230,2837635.300000000279397,2595442.250000000000000,10867135.509999999776483
20150224,2949088.019999999552965,2488525.020000000018626,2813988.640000000130385,2654887.250000000000000,10906488.929999999701977
20150225,2922918.279999999795109,2525036.319999999832362,2780347.000000000000000,2642337.750000000000000,10870639.349999999627471
20150226,2898467.719999999739230,2529730.629999999888241,2770839.580000000074506,2696498.750000000000000,10895536.679999999701977
20150227,2881657.959999999497086,2532860.169999999925494,2770108.239999999757856,2743724.500000000000000,10928350.869999999180436
20150302,2938008.859999999869615,2575630.549999999813735,2788879.300000000279397,2761558.000000000000000,11064076.710000000894070
20150303,2971819.399999999441206,2555288.540000000037253,2751337.180000000167638,2748017.750000000000000,11026462.869999999180436
20150304,2948514.959999999497086,2543291.969999999739230,2774740.060000000055879,2741743.000000000000000,11008289.990000000223517
20150305,2950807.199999999720603,2567806.699999999720603,2798386.720000000204891,2747687.500000000000000,11064688.119999999180436
20150306,2925019.500000000000000,2527644.270000000018626,2751824.739999999757856,2719616.250000000000000,10924104.759999999776483
20150309,2956155.759999999776483,2541205.609999999869615,2801068.300000000279397,2757595.000000000000000,11056024.669999999925494
20150310,2911648.099999999627471,2517212.469999999739230,2741585.979999999981374,2731835.500000000000000,10902282.049999998882413
20150311,2887770.599999999627471,2486438.660000000149012,2747924.260000000242144,2724900.250000000000000,10847033.769999999552965
20150312,2904389.339999999850988,2530773.810000000055879,2800580.739999999757856,2782363.750000000000000,11018107.640000000596046
20150313,2895411.399999999441206,2498956.819999999832362,2809600.600000000093132,2764860.500000000000000,10968829.319999998435378
20150316,2935525.599999999627471,2515126.109999999869615,2889316.660000000149012,2865586.750000000000000,11205555.119999999180436
20150317,2951571.279999999795109,2517734.060000000055879,2866888.899999999906868,2848744.000000000000000,11184938.240000000223517
20150318,2974875.719999999739230,2543291.969999999739230,2924420.979999999981374,2879127.000000000000000,11321715.669999999925494
20150319,2943930.479999999981374,2564155.569999999832362,2943923.380000000353903,2885071.500000000000000,11337080.929999999701977
20150320,2951380.259999999776483,2659606.540000000037253,2904431.020000000018626,2913803.250000000000000,11429221.070000000298023
20150323,2919097.879999999888241,2646045.199999999720603,2901993.220000000204891,2903565.500000000000000,11370701.800000000745058
20150324,2896939.560000000055879,2625181.599999999627471,2879565.460000000428408,2906207.500000000000000,11307894.120000001043081
20150325,2831610.719999999739230,2581889.629999999888241,2841048.220000000204891,2836194.500000000000000,11090743.070000000298023
20150326,2830464.599999999627471,2590756.660000000149012,2833978.600000000093132,2788638.500000000000000,11043838.359999999403954
20150327,2843453.959999999497086,2604839.589999999850988,2876883.880000000353903,2816709.750000000000000,11141887.179999999701977
20150330,2916996.659999999683350,2631440.680000000167638,2949774.100000000093132,2839827.250000000000000,11338038.689999999478459
20150331,2866949.419999999925494,2616836.160000000149012,2883709.720000000204891,2796564.500000000000000,11164059.800000000745058
20150401,2839442.539999999571592,2596494.149999999906868,2863232.200000000186265,2782694.000000000000000,11081862.890000000596046
20150402,2851667.819999999832362,2599102.099999999627471,2861038.180000000167638,2839166.750000000000000,11150974.849999999627471
20150406,2883186.120000000111759,2601188.459999999962747,2869326.700000000186265,2906537.750000000000000,11260239.030000001192093
20150407,2909737.899999999441206,2598058.919999999925494,2860794.399999999906868,2882429.500000000000000,11251020.719999998807907
20150408,2929603.979999999981374,2629875.910000000149012,2881271.919999999925494,2895639.500000000000000,11336391.310000000521541
20150409,2930750.099999999627471,2626746.369999999646097,2890048.000000000000000,3058783.000000000000000,11506327.469999998807907
20150410,2949088.019999999552965,2607447.540000000037253,2901018.100000000093132,3038968.000000000000000,11496521.660000000149012
20150413,2927311.739999999757856,2589191.890000000130385,2910037.960000000428408,3028730.250000000000000,11455271.839999999850988
20150414,2926738.679999999701977,2595972.560000000055879,2923445.860000000335276,3037647.000000000000000,11483804.100000001490116
20150415,2911839.120000000111759,2603796.410000000149012,2860063.060000000055879,3023116.000000000000000,11398814.589999999850988
20150416,2903052.199999999720603,2605361.180000000167638,2964400.899999999906868,2956405.500000000000000,11429219.779999999329448
