訓練日期,20100811 - 20101110
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11207438.679999999701977
真實報酬,1207438.679999999701977

夏普值報酬,0.112043868000000
夏普值風險,0.037960032076925
夏普值,2.951627326682571

預期報酬,18055.877968611537653
風險,114183.071883483193233
趨勢值,0.158130952958040
找到最佳解世代,2228
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](3),MCD[15](2),TRV[22](1),
Stock#,HD[9](3),MCD[15](2),TRV[22](1),
張數,118035,45762,67476,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,24.600000000093132,28.919999999925494,18.600000000093132,
20100811,3270774.450000000186265,3275215.259999999776483,3303643.560000000055879,9849634.269999999552965
20100812,3258970.950000000186265,3297638.640000000130385,3348852.480000000447035,9905463.070000000298023
20100813,3223560.449999999720603,3289859.100000000093132,3383265.240000000223517,9896685.789999999105930
20100816,3231822.899999999906868,3285282.900000000372529,3367745.759999999776483,9884852.560000000521541
20100817,3341595.449999999720603,3350722.560000000055879,3367745.759999999776483,10060064.769999999552965
20100818,3406514.700000000186265,3352095.419999999925494,3379216.680000000167638,10137827.800000000745058
20100819,3330972.299999999813735,3339282.060000000055879,3363022.440000000409782,10033277.800000000745058
20100820,3325070.550000000279397,3344315.879999999888241,3379891.440000000409782,10049278.870000001043081
20100823,3284938.649999999906868,3356214.000000000000000,3356274.840000000316650,9997428.490000000223517
20100824,3279036.900000000372529,3327841.560000000055879,3323886.359999999869615,9930765.820000000298023
20100825,3343956.149999999906868,3349349.699999999720603,3341430.120000000111759,10034736.969999998807907
20100826,3349857.899999999906868,3347976.839999999850988,3308366.880000000353903,10006202.620000001043081
20100827,3392350.500000000000000,3385959.299999999813735,3365046.719999999739230,10143357.519999999552965
20100830,3303824.250000000000000,3328756.799999999813735,3302968.800000000279397,9935550.849999999627471
20100831,3283758.300000000279397,3343400.640000000130385,3305667.840000000316650,9932827.780000001192093
20100901,3384088.050000000279397,3411128.400000000372529,3394736.160000000149012,10189953.610000001266599
20100902,3471433.950000000186265,3433094.159999999683350,3388663.319999999832362,10293192.429999999701977
20100903,3523369.350000000093132,3436297.500000000000000,3443318.880000000353903,10402986.730000000447035
20100907,3461991.149999999906868,3468788.520000000018626,3382590.480000000447035,10313371.150000000372529
20100908,3476155.350000000093132,3481601.879999999888241,3364371.959999999962747,10322130.190000001341105
20100909,3471433.950000000186265,3403348.860000000335276,3392037.120000000111759,10266820.929999999701977
20100910,3503303.399999999906868,3432636.540000000037253,3377867.160000000149012,10313808.099999999627471
20100913,3539894.250000000000000,3412501.259999999776483,3403508.040000000037253,10355904.550000000745058
20100914,3537533.549999999813735,3383671.199999999720603,3442644.120000000111759,10363849.870000001043081
20100915,3533992.500000000465661,3418907.939999999478459,3541833.840000000316650,10494735.279999999329448
20100916,3535172.850000000093132,3423026.520000000018626,3556003.800000000279397,10514204.169999999925494
20100917,3528090.750000000000000,3401060.759999999776483,3553979.520000000018626,10483132.029999999329448
20100920,3617797.350000000093132,3437212.739999999757856,3614033.160000000149012,10669044.250000000000000
20100921,3648486.450000000186265,3455517.540000000037253,3571523.280000000260770,10675528.269999999552965
20100922,3644945.399999999906868,3438127.979999999515712,3531037.680000000167638,10614112.059999998658895
20100923,3640224.000000000000000,3415704.600000000093132,3535761.000000000000000,10591690.599999999627471
20100924,3734652.000000000000000,3436755.119999999646097,3584343.719999999739230,10755751.839999999850988
20100927,3729930.600000000093132,3421196.040000000037253,3519566.759999999776483,10670694.400000000372529
20100928,3754717.949999999720603,3415246.979999999515712,3555329.040000000037253,10725294.969999998807907
20100929,3754717.949999999720603,3407009.819999999832362,3508095.840000000316650,10669824.609999999403954
20100930,3739373.399999999906868,3409755.540000000037253,3515518.200000000186265,10664648.140000000596046
20101001,3755898.300000000279397,3428517.959999999962747,3516867.719999999739230,10701284.980000000447035
20101004,3738193.050000000279397,3429890.819999999832362,3516867.719999999739230,10684952.589999999850988
20101005,3746455.500000000000000,3469703.759999999776483,3567474.719999999739230,10783634.980000000447035
20101006,3737012.700000000186265,3450483.720000000204891,3558028.080000000074506,10745525.500000000000000
20101007,3746455.500000000000000,3471534.239999999757856,3549930.959999999962747,10767921.699999999254942
20101008,3764160.750000000000000,3482517.119999999646097,3563426.160000000149012,10810105.029999999329448
20101011,3752357.250000000000000,3459178.500000000000000,3572872.800000000279397,10784409.550000000745058
20101012,3707503.950000000186265,3458720.879999999888241,3564100.919999999925494,10730326.750000000000000
20101013,3659109.600000000093132,3466500.419999999925494,3603911.759999999776483,10729522.779999999329448
20101014,3636682.949999999720603,3525533.400000000372529,3607285.560000000055879,10769502.910000000149012
20101015,3623699.100000000093132,3545668.680000000167638,3618756.480000000447035,10788125.260000001639128
20101018,3603633.150000000372529,3538346.759999999776483,3670713.000000000000000,10812693.910000000149012
20101019,3589468.950000000186265,3523245.299999999813735,3627528.359999999869615,10740243.609999999403954
20101020,3627240.150000000372529,3542465.339999999850988,3686907.240000000223517,10856613.730000000447035
20101021,3754717.949999999720603,3589600.199999999720603,3709849.080000000074506,11054168.230000000447035
20101022,3715766.400000000372529,3594634.020000000018626,3717946.200000000186265,11028347.620000001043081
20101025,3706323.600000000093132,3601498.319999999832362,3751009.440000000409782,11058832.359999999403954
20101026,3693339.750000000000000,3604244.040000000037253,3713222.880000000353903,11010807.669999999925494
20101027,3647306.100000000093132,3545668.680000000167638,3692980.080000000074506,10885955.859999999403954
20101028,3681536.250000000465661,3545668.680000000167638,3693654.840000000316650,10920860.770000001415610
20101029,3647306.100000000093132,3558939.659999999683350,3724693.800000000279397,10930940.560000000521541
20101101,3624879.450000000186265,3563973.479999999515712,3763155.120000000111759,10952009.050000000745058
