訓練日期,20100623 - 20100923
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11155049.480000000447035
真實報酬,1155049.480000000447035

夏普值報酬,0.106804948000000
夏普值風險,0.043669025382541
夏普值,2.445782727331074

預期報酬,19821.977383761266537
風險,203576.820272229204420
趨勢值,0.097368538113793
找到最佳解世代,2154
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
GS[8](5),MCD[15](1),VZ[26](2),
Stock#,GS[8](5),MCD[15](1),VZ[26](2),
張數,24729,48562,122684,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,111.090000000316650,37.319999999832362,8.719999999739230,
20100623,3340257.120000000111759,3332847.379999999422580,3364004.000000000000000,10037109.500000000000000
20100624,3338031.510000000242144,3289141.580000000074506,3322291.439999999478459,9949465.529999999329448
20100625,3453763.230000000447035,3274087.359999999869615,3274444.679999999701977,10002296.269999999552965
20100628,3379576.230000000447035,3269716.779999999795109,3292847.279999999795109,9942141.289999999105930
20100629,3307862.129999999888241,3227467.839999999385327,3283032.560000000055879,9818363.529999999329448
20100630,3246286.920000000391155,3198816.260000000242144,3214329.519999999552965,9659433.699999999254942
20100701,3243072.149999999906868,3239608.339999999385327,3226597.919999999925494,9709279.410000000149012
20100702,3241588.410000000614673,3211928.000000000000000,3289166.759999999776483,9742684.169999999925494
20100706,3270768.629999999888241,3210471.139999999664724,3264629.959999999497086,9745870.729999998584390
20100707,3359051.160000000614673,3268745.540000000037253,3253588.399999999906868,9881386.100000001490116
20100708,3349901.430000000633299,3351786.559999999590218,3285486.239999999757856,9987175.230000000447035
20100709,3414196.830000000540167,3361498.959999999962747,3269537.319999999366701,10045234.109999999403954
20100712,3394166.340000000316650,3396463.599999999627471,3249907.879999999422580,10040538.819999998435378
20100713,3468353.340000000316650,3440169.399999999906868,3298981.479999999981374,10207505.220000000670552
20100714,3438925.830000000540167,3443083.120000000111759,3292847.279999999795109,10174857.230000000447035
20100715,3591256.470000000204891,3463964.779999999795109,3287939.919999999925494,10343162.169999999925494
20100716,3614749.020000000018626,3396463.599999999627471,3274444.679999999701977,10285658.299999998882413
20100719,3602631.810000000521541,3395006.739999999757856,3278125.199999999720603,10275764.750000000000000
20100720,3682506.480000000447035,3441626.260000000242144,3271991.000000000000000,10396124.740000000223517
20100721,3635026.800000000745058,3404719.139999999664724,3253588.399999999906868,10293335.339999999850988
20100722,3624146.040000000502914,3467364.120000000111759,3312476.719999999739230,10403987.879999998956919
20100723,3644671.110000000335276,3394521.120000000111759,3437614.399999999906868,10476807.630000000819564
20100726,3664948.890000000130385,3441626.260000000242144,3469512.239999999757856,10576088.390000000596046
20100727,3640961.760000000242144,3418802.120000000111759,3507544.279999999795109,10567309.160000000149012
20100728,3640219.890000000130385,3388208.059999999590218,3546803.159999999683350,10575232.109999999403954
20100729,3773261.910000000614673,3369268.879999999422580,3543122.639999999664724,10685654.429999999701977
20100730,3729738.870000000111759,3386265.580000000074506,3565205.759999999776483,10681211.210000000894070
20100802,3777218.550000000745058,3411517.819999999832362,3626547.759999999776483,10815285.130000000819564
20100803,3788346.600000000093132,3421230.219999999739230,3624094.079999999608845,10833671.900000000372529
20100804,3867973.980000000447035,3432885.099999999627471,3606918.319999999366701,10907778.399999998509884
20100805,3855856.770000000018626,3421230.219999999739230,3625320.919999999925494,10902408.910000000149012
20100806,3837557.310000000521541,3483875.199999999720603,3625320.919999999925494,10946754.429999999701977
20100809,3842997.690000000409782,3541178.359999999869615,3663352.959999999497086,11047530.009999999776483
20100810,3805904.190000000409782,3537293.399999999906868,3682982.399999999906868,11026180.990000000223517
20100811,3690914.340000000316650,3475619.659999999683350,3626547.759999999776483,10793082.759999999776483
20100812,3695118.270000000018626,3499415.040000000037253,3719787.599999999627471,10914321.910000000149012
20100813,3661981.410000000614673,3491159.500000000000000,3684209.239999999757856,10837351.150000000372529
20100816,3654068.129999999888241,3486303.300000000279397,3675621.359999999869615,10815993.789999999105930
20100817,3674593.200000000186265,3555746.959999999962747,3701385.000000000000000,10931726.160000000149012
20100818,3689677.890000000130385,3557203.819999999832362,3698931.319999999366701,10945814.029999999329448
20100819,3636510.540000000502914,3543606.459999999962747,3633908.799999999813735,10814026.800000000745058
20100820,3665938.050000000745058,3548948.279999999795109,3603237.799999999813735,10818125.129999998956919
20100823,3628844.550000000745058,3561574.399999999906868,3608145.159999999683350,10798565.110000001266599
20100824,3559850.640000000130385,3531465.959999999962747,3615506.199999999720603,10706823.799999998882413
20100825,3577902.810000000521541,3554290.099999999627471,3638816.159999999683350,10771010.070000000298023
20100826,3506930.580000000540167,3552833.239999999757856,3619186.719999999739230,10678951.539999999105930
