訓練日期,20140214 - 20140519
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10843788.660000002011657
真實報酬,843788.660000002011657

夏普值報酬,0.075678866000000
夏普值風險,0.026201382103260
夏普值,2.888353969334503

預期報酬,14270.837857257252836
風險,51885.775544632007950
趨勢值,0.275043356439406
找到最佳解世代,2143
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CVX[5](1),JNJ[12](3),KO[14](16),MCD[15](7),TRV[22](8),UNH[23](15),
Stock#,CVX[5](1),JNJ[12](3),KO[14](16),MCD[15](7),TRV[22](8),UNH[23](15),
張數,14813,18006,43122,17459,20109,23404,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,55.369999999878928,30.639999999897555,0.699999999953434,29.860000000102445,32.080000000074506,67.160000000149012,
20140214,1681034.609999999869615,1670267.199999999953434,1678740.159999999916181,1672252.880000000121072,1689590.260000000009313,1720729.239999999990687,10112618.349999999627471
20140218,1669628.599999999860302,1659643.659999999916181,1615782.039999999804422,1676443.040000000037253,1696628.410000000149012,1727984.480000000214204,10046114.230000000447035
20140219,1682812.169999999692664,1650100.479999999981374,1599826.899999999906868,1668237.310000000055879,1689389.170000000158325,1721431.360000000102445,10011801.389999998733401
20140220,1697625.169999999692664,1663424.919999999925494,1608451.299999999813735,1671729.110000000102445,1685367.370000000111759,1719793.080000000307336,10046394.950000001117587
20140221,1669184.209999999962747,1647939.759999999776483,1603276.659999999916181,1683950.410000000149012,1684965.190000000176951,1727516.400000000139698,10016836.630000000819564
20140224,1690959.320000000065193,1640557.299999999813735,1617075.699999999953434,1684823.360000000102445,1677927.040000000037253,1779005.200000000186265,10090351.920000001788139
20140225,1703105.979999999748543,1640557.299999999813735,1628718.640000000130385,1686918.440000000176951,1675916.140000000130385,1762856.439999999944121,10098076.939999999478459
20140226,1711105.000000000000000,1640557.299999999813735,1633030.839999999850988,1674173.370000000111759,1677725.950000000186265,1780175.400000000139698,10116771.859999999403954
20140227,1713771.339999999850988,1645058.799999999813735,1641655.239999999990687,1660031.580000000074506,1686171.729999999981374,1779239.239999999990687,10125931.929999999701977
20140228,1708438.659999999916181,1658743.359999999869615,1647261.100000000093132,1661253.710000000195578,1685970.640000000130385,1808494.239999999990687,10170165.709999999031425
20140303,1701180.290000000037253,1648660.000000000000000,1643811.339999999850988,1646762.739999999990687,1672698.700000000186265,1804515.560000000055879,10117632.630000000819564
20140304,1708290.529999999795109,1680710.679999999934807,1652004.520000000018626,1658285.680000000167638,1691400.070000000065193,1828621.679999999934807,10219317.160000000149012
20140305,1695106.959999999962747,1667206.179999999934807,1653729.399999999906868,1658984.040000000037253,1696628.410000000149012,1825345.120000000111759,10197004.109999999403954
20140306,1701328.419999999692664,1672607.979999999981374,1658904.039999999804422,1668761.080000000074506,1697231.680000000167638,1817153.720000000204891,10215990.919999999925494
20140307,1704735.409999999916181,1680350.559999999823049,1662353.799999999813735,1667364.360000000102445,1687780.450000000186265,1811536.760000000242144,10214125.339999999850988
20140310,1715993.290000000037253,1682691.339999999850988,1666666.000000000000000,1662126.660000000149012,1684764.100000000093132,1822770.679999999934807,10235016.070000000298023
20140311,1696292.000000000000000,1683411.579999999841675,1673134.299999999813735,1724629.880000000121072,1680742.300000000046566,1820430.280000000260770,10278644.339999999850988
20140312,1713178.820000000065193,1685392.239999999757856,1658904.039999999804422,1723407.750000000000000,1677725.950000000186265,1816217.560000000055879,10274830.360000001266599
20140313,1695403.219999999972060,1674588.639999999897555,1637343.039999999804422,1700012.690000000176951,1660834.390000000130385,1802409.200000000186265,10170595.179999999701977
20140314,1690218.669999999692664,1671167.500000000000000,1645967.439999999944121,1703679.080000000074506,1662242.020000000018626,1771749.960000000195578,10145028.669999999925494
20140317,1704587.279999999795109,1691334.219999999972060,1650279.640000000130385,1704028.260000000009313,1679937.940000000176951,1796558.200000000186265,10226729.539999999105930
20140318,1721918.489999999757856,1691514.279999999795109,1655885.500000000000000,1698965.150000000139698,1688182.630000000121072,1825579.160000000149012,10282049.210000000894070
20140319,1706512.969999999972060,1685212.179999999934807,1644673.780000000027940,1677839.760000000009313,1673100.880000000121072,1871451.000000000000000,10258794.570000000298023
20140320,1711105.000000000000000,1694755.359999999869615,1658041.600000000093132,1686569.260000000009313,1673704.150000000139698,1908195.280000000260770,10332374.649999998509884
20140321,1712882.559999999823049,1727346.219999999972060,1657610.379999999888241,1666840.590000000083819,1684764.100000000093132,1903748.520000000251457,10353196.369999999180436
20140324,1716141.419999999692664,1714201.839999999850988,1655885.500000000000000,1679236.480000000214204,1686372.820000000065193,1902344.280000000260770,10354186.339999999850988
20140325,1734509.540000000037253,1753454.919999999925494,1665372.339999999850988,1674522.550000000046566,1689791.350000000093132,1898131.560000000055879,10415786.259999999776483
20140326,1743693.599999999860302,1747512.939999999944121,1664941.119999999878928,1673300.420000000158325,1677725.950000000186265,1908429.320000000298023,10415607.350000001490116
20140327,1743101.079999999841675,1751654.319999999832362,1673996.739999999990687,1678887.300000000046566,1678932.489999999990687,1896259.239999999990687,10422835.169999999925494
20140328,1755395.869999999878928,1754535.279999999795109,1679602.600000000093132,1697743.020000000018626,1688986.989999999990687,1910301.640000000363216,10486569.400000000372529
20140331,1761469.199999999720603,1768760.020000000018626,1667097.219999999739230,1711535.630000000121072,1711307.979999999981374,1918961.120000000111759,10539135.169999998062849
20140401,1762802.369999999878928,1763538.279999999795109,1656316.719999999739230,1709265.960000000195578,1697030.590000000083819,1915450.520000000251457,10504408.439999999478459
20140402,1767986.919999999692664,1768760.020000000018626,1652866.959999999962747,1703853.670000000158325,1702258.930000000167638,1910067.600000000093132,10505798.099999999627471
20140403,1763394.889999999897555,1769300.199999999953434,1641655.239999999990687,1705075.800000000046566,1708894.900000000139698,1925046.160000000149012,10513371.189999999478459
20140404,1759839.769999999785796,1772181.159999999916181,1648123.539999999804422,1708742.190000000176951,1713318.880000000121072,1908195.280000000260770,10510404.820000000298023
20140407,1738212.790000000037253,1762637.979999999981374,1665372.339999999850988,1693727.450000000186265,1709297.080000000074506,1897663.480000000214204,10466915.120000001043081
20140408,1745026.769999999785796,1765699.000000000000000,1677446.500000000000000,1712408.580000000074506,1703867.650000000139698,1887833.800000000046566,10492286.300000000745058
20140409,1764283.669999999692664,1781724.339999999850988,1681327.479999999981374,1717122.510000000009313,1725786.459999999962747,1904918.720000000204891,10575167.180000001564622
20140410,1728584.339999999850988,1738329.880000000121072,1677015.280000000027940,1735978.230000000214204,1709095.989999999990687,1872153.120000000111759,10461160.839999999850988
20140411,1733620.760000000009313,1744271.859999999869615,1665803.560000000055879,1733533.970000000204891,1715329.780000000027940,1847812.960000000195578,10440376.890000000596046
20140414,1758358.469999999972060,1749133.479999999981374,1670115.759999999776483,1747850.350000000093132,1719351.580000000074506,1853195.880000000353903,10498009.520000001415610
20140415,1782059.269999999785796,1786225.839999999850988,1732642.659999999916181,1760420.830000000074506,1727194.090000000083819,1860919.200000000186265,10649465.890000000596046
20140416,1804723.159999999916181,1778123.139999999897555,1750322.680000000167638,1760420.830000000074506,1745091.100000000093132,1830025.920000000158325,10668710.830000000074506
