訓練日期,20121120 - 20130225
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11626802.370000001043081
真實報酬,1626802.370000001043081

夏普值報酬,0.153980237000000
夏普值風險,0.050793160282864
夏普值,3.031515191070855

預期報酬,29185.872671221903147
風險,78202.703354923141887
趨勢值,0.373207976439916
找到最佳解世代,2193
找到最佳解實驗#,2
找到最佳解次數,47

stock[index](rank)
投資組合檔數,5
GS[8](12),MCD[15](5),NKE[19](9),VZ[26](24),WBA[27](3),
Stock#,GS[8](12),MCD[15](5),NKE[19](9),VZ[26](24),WBA[27](3),
張數,16906,23518,83056,46718,61255,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,20.199999999953434,29.279999999795109,11.520000000251457,2.419999999925494,24.250000000000000,
20121120,1996449.739999999990687,2015051.520000000018626,1985049.920000000158325,2000467.179999999934807,2004287.849999999860302,10001306.209999999031425
20121121,1989856.399999999906868,2022812.459999999962747,1985049.920000000158325,2016351.299999999813735,1998774.900000000139698,10012844.980000000447035
20121123,2033981.060000000055879,2047271.179999999701977,2009136.160000000381842,2044382.099999999860302,2026952.200000000186265,10161722.699999999254942
20121126,2044631.839999999850988,2028221.599999999627471,2028239.040000000502914,2022891.819999999832362,2025727.100000000093132,10149711.400000000372529
20121127,2001859.659999999916181,2020695.839999999850988,2014119.520000000251457,2007942.059999999823049,2023276.900000000139698,10067893.980000000447035
20121128,2017413.179999999934807,2034806.639999999664724,2058139.200000000419095,2035038.500000000000000,2041040.850000000093132,10186438.369999999180436
20121129,2007269.580000000074506,2034101.099999999627471,2054816.960000000195578,2056061.599999999860302,2067380.500000000000000,10219629.739999998360872
20121130,1991377.939999999944121,2047036.000000000000000,2024086.240000000223517,2061200.579999999841675,2077181.299999999813735,10200882.059999998658895
20121203,2001690.600000000093132,2047506.359999999869615,2025747.360000000335276,2060266.219999999972060,2099845.649999999906868,10235056.189999999478459
20121204,1970921.679999999934807,2050798.879999999888241,2028239.040000000502914,2040177.479999999981374,2099233.100000000093132,10189370.179999999701977
20121205,1980219.979999999981374,2045389.739999999757856,2028239.040000000502914,2060266.219999999972060,2178864.600000000093132,10292979.580000000074506
20121206,1981403.399999999906868,2071729.899999999906868,2044019.680000000167638,2076617.520000000018626,2196016.000000000000000,10369786.500000000000000
20121207,1970752.619999999878928,2080901.919999999925494,2047341.920000000158325,2074748.799999999813735,2211329.750000000000000,10385075.009999999776483
20121210,1978191.260000000009313,2102773.659999999683350,2036544.640000000130385,2056995.959999999962747,2226643.500000000000000,10401149.019999999552965
20121211,2009467.359999999869615,2107712.439999999944121,2063953.120000000344589,2076150.339999999850988,2245020.000000000000000,10502303.259999999776483
20121212,1996449.739999999990687,2100421.859999999869615,2059800.320000000298023,2092501.639999999897555,2246245.100000000093132,10495418.660000000149012
20121213,2003381.199999999953434,2097129.339999999850988,2020764.000000000000000,2079887.780000000027940,2236444.299999999813735,10437606.620000001043081
20121214,2017920.359999999869615,2090309.119999999646097,2012458.400000000372529,2065405.199999999953434,2251758.049999999813735,10437851.129999998956919
20121217,2087742.139999999897555,2114532.659999999683350,2034883.520000000251457,2061200.579999999841675,2275034.950000000186265,10573393.850000001490116
20121218,2160099.820000000298023,2128878.639999999664724,2053986.400000000372529,2049521.079999999841675,2300149.500000000000000,10692635.439999999478459
20121219,2151308.700000000186265,2109829.059999999590218,2030730.720000000204891,2026629.260000000009313,2281160.450000000186265,10599658.190000001341105
20121220,2193066.519999999552965,2117590.000000000000000,2055647.520000000251457,2046718.000000000000000,2300149.500000000000000,10713171.539999999105930
20121221,2171426.839999999850988,2120882.520000000018626,2182723.200000000186265,2035505.679999999934807,2224193.300000000279397,10734731.540000000968575
20121224,2156211.440000000409782,2099951.500000000000000,2192689.919999999925494,2034104.139999999897555,2233994.100000000093132,10716951.099999999627471
20121226,2149787.160000000149012,2087016.599999999627471,2132059.040000000037253,2029899.520000000018626,2245632.549999999813735,10644394.870000001043081
20121227,2141503.219999999739230,2086546.239999999757856,2149500.799999999813735,2031301.059999999823049,2237669.399999999906868,10646520.719999998807907
20121228,2122061.320000000298023,2059735.719999999739230,2117939.520000000484288,2004204.619999999878928,2238281.949999999720603,10542223.130000000819564
20121231,2156549.559999999590218,2074552.059999999590218,2142856.320000000298023,2021490.280000000027940,2267071.799999999813735,10662520.019999999552965
20130102,2225864.160000000149012,2119471.439999999944121,2152823.040000000037253,2068208.280000000027940,2331389.550000000279397,10897756.470000000670552
20130103,2213691.839999999850988,2131465.619999999646097,2175248.160000000149012,2058397.500000000000000,2314850.699999999720603,10893653.819999998435378
20130104,2274046.259999999776483,2113121.579999999608845,2196012.160000000149012,2069609.819999999832362,2277485.149999999906868,10930274.970000000670552
20130107,2269819.759999999776483,2138050.659999999683350,2199334.400000000372529,2087829.839999999850988,2329551.899999999906868,11024586.560000000521541
20130108,2249363.500000000000000,2138756.199999999720603,2176078.719999999739230,2013548.219999999972060,2338127.600000000093132,10915874.239999998360872
20130109,2270834.120000000111759,2135698.859999999869615,2178570.400000000372529,2008876.419999999925494,2355279.000000000000000,10949258.800000000745058
20130110,2322397.419999999925494,2149574.479999999981374,2182723.200000000186265,2036440.040000000037253,2362629.600000000093132,11053764.740000000223517
20130111,2318339.979999999515712,2157335.419999999925494,2205148.320000000298023,2022891.819999999832362,2395094.750000000000000,11098810.289999999105930
20130114,2301433.979999999515712,2152631.819999999832362,2209301.120000000111759,1989722.040000000037253,2391419.449999999720603,11044508.409999998286366
20130115,2292304.740000000223517,2152161.459999999962747,2227573.440000000409782,1960756.879999999888241,2407345.750000000000000,11040142.269999999552965
20130116,2385287.740000000223517,2142519.079999999608845,2231726.240000000223517,1939266.599999999860302,2412858.700000000186265,11111658.359999999403954
20130117,2383935.259999999776483,2158040.959999999962747,2220928.959999999962747,1968231.760000000009313,2411021.049999999813735,11142157.989999998360872
20130118,2442091.899999999441206,2169799.959999999962747,2213453.919999999925494,1987386.139999999897555,2401832.800000000279397,11214564.720000000670552
20130122,2467450.899999999441206,2186027.379999999888241,2220928.959999999962747,2006073.339999999850988,2418984.200000000186265,11299464.779999997466803
20130123,2460857.559999999590218,2198491.919999999925494,2205148.320000000298023,1999065.639999999897555,2420821.850000000093132,11284385.289999999105930
20130124,2450713.959999999962747,2194493.859999999869615,2236709.600000000558794,1989722.040000000037253,2415921.449999999720603,11287560.910000000149012
20130125,2442260.959999999962747,2204136.239999999757856,2307307.200000000186265,1993459.479999999981374,2430010.100000000093132,11377173.979999998584390
20130128,2437020.099999999627471,2219187.759999999776483,2263287.520000000484288,1998131.280000000027940,2456349.750000000000000,11373976.410000000149012
20130129,2486892.799999999813735,2232357.839999999850988,2239201.280000000260770,2032235.419999999925494,2453899.550000000279397,11444586.890000000596046
20130130,2487738.099999999627471,2226478.339999999850988,2226742.879999999888241,2037374.399999999906868,2442261.099999999627471,11420594.819999998435378
20130131,2499741.360000000335276,2241059.500000000000000,2245015.200000000186265,2037374.399999999906868,2447774.050000000279397,11470964.510000001639128
20130201,2534229.599999999627471,2256581.379999999888241,2230065.120000000111759,2081756.500000000000000,2469213.300000000279397,11571845.900000000372529
20130204,2493993.320000000298023,2224832.079999999608845,2228404.000000000000000,2079887.780000000027940,2450836.799999999813735,11477953.980000000447035
20130205,2543527.899999999441206,2232122.659999999683350,2238370.719999999739230,2081756.500000000000000,2531693.399999999906868,11627471.179999997839332
20130206,2554854.919999999925494,2235885.539999999571592,2249168.000000000000000,2090632.919999999925494,2538431.449999999720603,11668972.829999998211861
20130207,2540315.759999999776483,2225537.619999999646097,2270762.560000000521541,2077084.699999999953434,2530468.300000000279397,11644168.939999999478459
20130208,2562969.799999999813735,2231181.939999999944121,2267440.320000000298023,2071945.719999999972060,2535981.250000000000000,11669519.030000001192093
