訓練日期,20110128 - 20110502
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11122949.179999999701977
真實報酬,1122949.179999999701977

夏普值報酬,0.103594918000000
夏普值風險,0.029303819714729
夏普值,3.535201861344071

預期報酬,17255.109702663754433
風險,103779.117425063508563
趨勢值,0.166267647391810
找到最佳解世代,1968
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CVX[5](2),MCD[15](11),PFE[20](1),
20110404,3807559.400000000372529,3424790.280000000260770,3704905.500000000000000,10937256.179999999701977
20110405,3846257.399999999906868,3434205.000000000000000,3688671.750000000000000,10969135.150000000372529
20110406,3822686.799999999813735,3439584.840000000316650,3659811.750000000000000,10922084.390000000596046
20110407,3832537.199999999720603,3407754.120000000577420,3667026.749999999534339,10907319.070000000298023
20110408,3857866.799999999813735,3409099.080000000540167,3690475.500000000000000,10957442.380000000819564
20110411,3791728.399999999906868,3418513.800000000279397,3728354.250000000465661,10938597.450000001117587
20110412,3665080.400000000372529,3436894.919999999925494,3690475.500000000000000,10792451.820000000298023
20110413,3652063.800000000279397,3447206.280000000260770,3690475.500000000000000,10789746.580000000074506
20110414,3689706.399999999906868,3455276.040000000037253,3695886.749999999534339,10840870.189999999478459
20110415,3737551.199999999720603,3469173.959999999962747,3703101.750000000000000,10909827.910000000149012
20110418,3676338.000000000000000,3452137.800000000279397,3679652.999999999534339,10808129.800000000745058
20110419,3708000.000000000000000,3434205.000000000000000,3703101.750000000000000,10845307.750000000000000
20110420,3792783.800000000279397,3514902.600000000558794,3677849.250000000000000,10985536.650000000372529
20110421,3804041.399999999906868,3448102.919999999925494,3569624.250000000000000,10821769.570000000298023
20110425,3779063.600000000093132,3457965.959999999962747,3632755.500000000000000,10869786.060000000521541
20110426,3825853.000000000000000,3449447.880000000353903,3641774.250000000000000,10917076.130000000819564
20110427,3833592.600000000093132,3491141.640000000596046,3721139.250000000000000,11045874.490000000223517
20110428,3827963.800000000279397,3498314.760000000242144,3757214.249999999534339,11083493.810000000521541
20110429,3850127.199999999720603,3510867.720000000204891,3782466.750000000000000,11143462.669999999925494
20110502,3805800.400000000372529,3525662.280000000260770,3791485.500000000000000,11122949.179999999701977
