訓練日期,20091022 - 20100126
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11804074.899999998509884
真實報酬,1804074.899999998509884

夏普值報酬,0.171707490000000
夏普值風險,0.060570060512530
夏普值,2.834857494726780

預期報酬,36303.938498478630208
風險,193781.880276248586597
趨勢值,0.187344340176311
找到最佳解世代,2005
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](11),MRK[17](2),MSFT[18](6),UNH[23](1),
Stock#,BA[2](11),MRK[17](2),MSFT[18](6),UNH[23](1),
張數,49377,76499,94055,99522,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,42.489999999757856,12.680000000167638,18.100000000093132,7.359999999869615,
20091022,2521725.879999999888241,2514534.810000000055879,2500940.550000000279397,2558717.979999999981374,10095919.220000000670552
20091023,2463461.020000000018626,2480875.250000000000000,2635439.200000000186265,2572651.060000000055879,10152426.529999999329448
20091026,2384457.819999999832362,2449510.660000000614673,2697515.500000000000000,2518909.179999999701977,10050393.160000000149012
20091027,2357794.239999999757856,2480875.250000000000000,2689050.550000000279397,2637340.359999999869615,10165060.400000000372529
20091028,2331624.429999999701977,2451805.629999999888241,2635439.200000000186265,2575636.719999999739230,9994505.980000000447035
20091029,2410133.859999999869615,2395196.370000000111759,2654250.200000000186265,2634354.699999999720603,10093935.130000000819564
20091030,2360263.089999999385327,2366126.750000000000000,2608163.250000000000000,2582603.259999999776483,9917156.349999999627471
20091102,2383470.279999999795109,2391371.420000000391155,2622271.500000000000000,2629378.600000000093132,10026491.800000000745058
20091103,2375076.189999999944121,2346237.010000000242144,2589352.250000000000000,2678144.379999999888241,9988809.830000000074506
20091104,2373594.879999999888241,2496940.040000000037253,2639201.399999999906868,2773685.500000000000000,10283421.820000000298023
20091105,2457535.779999999795109,2502294.970000000204891,2677763.950000000186265,2807522.979999999981374,10445117.679999999701977
20091106,2453091.849999999627471,2493115.090000000316650,2682466.700000000186265,2853303.100000000093132,10481976.740000000223517
20091109,2535551.439999999944121,2557374.250000000000000,2726672.549999999813735,2899083.219999999739230,10718681.459999999031425
20091110,2484693.129999999888241,2571144.070000000298023,2728553.650000000372529,2883159.699999999720603,10667550.550000000745058
20091111,2502468.849999999627471,2541309.459999999962747,2738899.700000000186265,2922968.500000000000000,10705646.509999999776483
20091112,2482718.049999999813735,2522949.699999999720603,2761472.899999999906868,2862260.080000000074506,10629400.730000000447035
20091113,2502468.849999999627471,2532129.580000000074506,2786867.750000000000000,2894107.119999999646097,10715573.299999998882413
20091116,2591347.449999999720603,2586443.870000000111759,2778402.799999999813735,2901073.659999999683350,10857267.779999999329448
20091117,2593816.299999999813735,2623163.390000000130385,2821668.100000000093132,2883159.699999999720603,10921807.489999998360872
20091118,2568634.029999999795109,2688187.540000000037253,2832014.149999999906868,2873207.500000000000000,10962043.220000000670552
20091119,2539501.599999999627471,2702722.350000000093132,2800976.000000000000000,2849322.219999999739230,10892522.169999998062849
20091120,2552833.390000000130385,2789166.220000000204891,2785927.200000000186265,2842355.679999999701977,10970282.490000000223517
20091123,2598754.000000000000000,2786106.260000000242144,2816024.800000000279397,2894107.119999999646097,11094992.179999999701977
20091124,2566165.179999999701977,2770806.459999999962747,2813203.149999999906868,2941877.679999999701977,11092052.469999998807907
20091125,2613567.099999999627471,2797581.110000000335276,2801916.549999999813735,2939887.239999999757856,11152952.000000000000000
20091127,2589866.140000000130385,2776161.390000000130385,2748305.200000000186265,2929935.040000000037253,11044267.769999999552965
20091130,2587891.059999999590218,2770041.470000000204891,2766175.649999999906868,2853303.100000000093132,10977411.279999999329448
20091201,2652574.929999999701977,2821295.800000000279397,2822608.650000000372529,2856288.759999999776483,11152768.140000000596046
20091202,2655537.549999999813735,2815175.879999999888241,2800976.000000000000000,2815484.739999999757856,11087174.169999999925494
20091203,2655043.779999999795109,2812880.910000000614673,2805678.750000000000000,2719943.619999999646097,10993547.060000000521541
20091204,2699976.849999999627471,2807525.980000000447035,2819787.000000000000000,2732881.479999999981374,11060171.310000000521541
20091207,2756266.629999999888241,2807525.980000000447035,2801916.549999999813735,2816479.959999999962747,11182189.120000001043081
20091208,2748366.309999999590218,2780751.330000000074506,2781224.450000000186265,2832403.479999999981374,11142745.570000000298023
20091209,2738984.679999999701977,2841950.530000000260770,2794392.150000000372529,2836384.359999999869615,11211711.720000000670552
20091210,2716271.259999999776483,2871785.140000000130385,2809440.950000000186265,3016519.179999999701977,11414016.530000001192093
20091211,2745403.689999999944121,2835830.610000000335276,2807559.850000000093132,3033437.919999999925494,11422232.070000000298023
20091214,2767623.339999999385327,2889379.910000000614673,2832014.149999999906868,3080213.259999999776483,11569230.660000000149012
20091215,2748860.080000000074506,2906974.680000000167638,2823549.200000000186265,3117036.399999999906868,11596420.360000001266599
20091216,2722196.500000000000000,2887849.930000000167638,2831073.600000000093132,3204615.760000000242144,11645735.789999999105930
20091217,2689607.679999999701977,2851895.400000000372529,2784046.100000000093132,3166797.399999999906868,11492346.580000000074506
20091218,2638749.369999999646097,2861075.280000000260770,2855527.899999999906868,3138931.239999999757856,11494283.790000000968575
20091221,2681213.589999999385327,2883259.990000000223517,2870576.700000000186265,3201630.100000000093132,11636680.380000000819564
20091222,2720715.189999999944121,2887849.930000000167638,2898793.200000000186265,3216558.399999999906868,11723916.720000000670552
20091223,2713802.409999999683350,2849600.430000000167638,2908198.700000000186265,3146893.000000000000000,11618494.539999999105930
20091224,2739478.449999999720603,2829710.690000000409782,2915723.100000000093132,3152864.319999999832362,11637776.560000000521541
20091228,2722690.270000000018626,2852660.390000000130385,2931712.450000000186265,3124002.939999999944121,11631066.049999998882413
20091229,2726146.659999999683350,2838125.580000000074506,2952404.550000000279397,3070261.060000000055879,11586937.850000001490116
20091230,2713802.409999999683350,2835065.620000000111759,2911960.900000000372529,3086184.580000000074506,11547013.509999999776483
20091231,2672819.500000000000000,2795286.140000000130385,2866814.500000000000000,3033437.919999999925494,11368358.060000000521541
20100104,2774042.349999999627471,2831240.669999999925494,2911020.350000000093132,3137936.020000000018626,11654239.389999998733401
20100105,2864896.029999999795109,2842715.520000000018626,2911960.900000000372529,3132959.919999999925494,11752532.369999999180436
20100106,2951799.549999999813735,2880965.020000000018626,2894090.450000000186265,3163811.739999999757856,11890666.759999999776483
20100107,3071291.890000000130385,2885554.959999999962747,2863992.850000000093132,3285228.579999999608845,12106068.279999999329448
20100108,3041665.689999999944121,2884024.980000000447035,2883744.399999999906868,3254376.760000000242144,12063811.830000000074506
20100111,3005620.479999999515712,2895499.830000000074506,2847062.950000000186265,3276271.600000000093132,12024454.859999999403954
20100112,2983894.599999999627471,2872550.129999999888241,2828251.950000000186265,3189687.459999999497086,11874384.139999998733401
20100113,3019939.809999999590218,2978118.750000000000000,2854587.350000000093132,3238453.239999999757856,12091099.150000000372529
20100114,3039690.609999999869615,3059207.690000000409782,2911960.900000000372529,3316080.399999999906868,12326939.600000001490116
20100115,3003151.629999999888241,3019428.209999999962747,2902555.399999999906868,3358874.859999999869615,12284010.099999999627471
20100119,2994757.539999999571592,3107402.060000000055879,2925128.600000000093132,3496215.220000000204891,12523503.419999999925494
20100120,2972537.890000000130385,3138766.650000000372529,2877160.550000000279397,3438492.459999999497086,12426957.550000000745058
20100121,2923160.890000000130385,3066092.600000000093132,2822608.650000000372529,3294185.560000000055879,12106047.700000001117587
20100122,2852551.779999999795109,2973528.810000000055879,2723850.900000000372529,3300156.879999999422580,11850088.369999999180436
20100125,2853045.549999999813735,2965113.919999999925494,2757710.700000000186265,3284233.359999999869615,11860103.529999999329448
20100126,2849589.159999999683350,2951344.100000000093132,2774640.600000000093132,3228501.039999999571592,11804074.899999998509884
