訓練日期,20111121 - 20120224
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12060043.269999999552965
真實報酬,2060043.269999999552965

夏普值報酬,0.197304327000000
夏普值風險,0.056931017548988
夏普值,3.465673643198513

預期報酬,31507.309778465816635
風險,105622.834340418616193
趨勢值,0.298300173207991
找到最佳解世代,2033
找到最佳解實驗#,1
找到最佳解次數,36

stock[index](rank)
投資組合檔數,6
AAPL[0](7),HD[9](1),MCD[15](15),MSFT[18](8),UNH[23](6),WMT[28](13),
Stock#,AAPL[0](7),HD[9](1),MCD[15](15),MSFT[18](8),UNH[23](6),WMT[28](13),
張數,31117,43998,17971,65876,37411,29122,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,39.479999999981374,21.759999999776483,35.460000000195578,3.199999999953434,5.950000000186265,13.940000000176951,
20111121,1640527.719999999972060,1630587.639999999897555,1658399.340000000316650,1646903.199999999953434,1662550.790000000037253,1650066.459999999962747,9889039.150000000372529
20111122,1673822.909999999916181,1632347.559999999823049,1665048.610000000335276,1633069.239999999990687,1661802.570000000298023,1655599.640000000130385,9921694.530000001192093
20111123,1631503.790000000037253,1606828.719999999972060,1651031.230000000214204,1611988.919999999925494,1629629.110000000335276,1649484.020000000251457,9780469.790000000968575
20111125,1616256.459999999962747,1604628.819999999832362,1655164.560000000055879,1600790.000000000000000,1633744.320000000298023,1656764.520000000251457,9767352.679999999701977
20111128,1671955.889999999897555,1641147.159999999683350,1684996.420000000391155,1638339.320000000065193,1684623.280000000260770,1667248.440000000176951,9988314.510000001639128
20111129,1658886.750000000000000,1714183.839999999850988,1679605.120000000111759,1636363.040000000037253,1716422.630000000353903,1694040.680000000167638,10099506.060000000521541
20111130,1699027.679999999934807,1725623.319999999832362,1716625.380000000121072,1685111.279999999795109,1824540.420000000391155,1715299.740000000223517,10366231.820000000298023
20111201,1724543.620000000111759,1730903.079999999841675,1716265.960000000195578,1665348.479999999981374,1815187.670000000391155,1706854.360000000102445,10359107.169999999925494
20111202,1732322.870000000111759,1757301.879999999655411,1719860.160000000149012,1661395.919999999925494,1804338.479999999981374,1691710.920000000391155,10366934.230000000447035
20111205,1746947.860000000102445,1770061.299999999580905,1713570.310000000055879,1693016.399999999906868,1805834.920000000391155,1698991.420000000391155,10428426.209999999031425
20111206,1737923.929999999934807,1774021.119999999878928,1725431.170000000391155,1690381.359999999869615,1806583.140000000130385,1711805.100000000325963,10446149.820000000298023
20111207,1729522.339999999850988,1792060.299999999580905,1733338.410000000149012,1686428.800000000046566,1845864.690000000409782,1703942.160000000149012,10491160.699999999254942
20111208,1736679.250000000000000,1755981.939999999711290,1741784.780000000260770,1673253.599999999860302,1801719.709999999962747,1688507.500000000000000,10397930.779999999329448
20111209,1749748.389999999897555,1770061.299999999580905,1761732.590000000316650,1693016.399999999906868,1829777.959999999962747,1698408.980000000214204,10502749.620000001043081
20111212,1741969.139999999897555,1762141.659999999683350,1769819.540000000270084,1680499.959999999962747,1803216.150000000372529,1691710.920000000391155,10449361.369999999180436
20111213,1728277.659999999916181,1738382.739999999757856,1761193.460000000195578,1696968.959999999962747,1793115.180000000167638,1677441.140000000130385,10395383.140000000596046
20111214,1690003.750000000000000,1722103.479999999748543,1754184.770000000251457,1685770.040000000037253,1786755.310000000055879,1678897.240000000223517,10317718.589999999850988
20111215,1684402.690000000176951,1734422.919999999925494,1763709.400000000139698,1683793.759999999776483,1815187.670000000391155,1687633.840000000316650,10369154.280000001192093
20111216,1693737.790000000037253,1778420.919999999925494,1752028.250000000000000,1712779.199999999953434,1833144.950000000186265,1696952.880000000353903,10467067.990000000223517
20111219,1699027.679999999934807,1768741.359999999869615,1747535.500000000000000,1681817.479999999981374,1832022.620000000111759,1682683.100000000325963,10411831.740000000223517
20111220,1760017.000000000000000,1845737.859999999869615,1775929.680000000167638,1714755.479999999981374,1863821.970000000204891,1723745.120000000111759,10684011.109999999403954
20111221,1762506.360000000102445,1847937.759999999776483,1782758.660000000149012,1696968.959999999962747,1870181.840000000316650,1729569.520000000251457,10689927.099999999627471
20111222,1771841.459999999962747,1844417.919999999925494,1771976.060000000055879,1700262.759999999776483,1897865.979999999981374,1723745.120000000111759,10710113.300000000745058
20111223,1793001.019999999785796,1851897.579999999841675,1799831.110000000335276,1714755.479999999981374,1921060.800000000279397,1747042.720000000204891,10827592.710000000894070
20111227,1807314.839999999850988,1857617.319999999832362,1807019.510000000242144,1715414.239999999990687,1921060.800000000279397,1742383.200000000186265,10850813.910000000149012
20111228,1789889.320000000065193,1827258.699999999720603,1789587.640000000130385,1700921.520000000018626,1897117.760000000242144,1739471.000000000000000,10744249.939999999478459
20111229,1800780.269999999785796,1848377.739999999757856,1811691.970000000204891,1714096.719999999972060,1914700.930000000167638,1747042.720000000204891,10836694.350000001490116
20111230,1800469.099999999860302,1849697.679999999701977,1803065.890000000130385,1710144.159999999916181,1895995.430000000167638,1740344.660000000149012,10799720.919999999925494
20120103,1828163.229999999981374,1854097.479999999748543,1776289.100000000325963,1763503.719999999972060,1926298.340000000316650,1756944.200000000186265,10905300.070000000298023
20120104,1837809.500000000000000,1880496.279999999795109,1786173.150000000139698,1805005.599999999860302,1954356.590000000316650,1738888.560000000288710,11002733.679999999701977
20120105,1858346.719999999972060,1895895.579999999841675,1794080.390000000130385,1823450.879999999888241,1967450.440000000409782,1730443.180000000167638,11069671.189999999478459
20120106,1877639.260000000009313,1900735.359999999869615,1807918.060000000055879,1851777.559999999823049,1974558.530000000260770,1718211.940000000176951,11130844.709999999031425
20120109,1874838.729999999981374,1902055.299999999580905,1790665.900000000139698,1827403.439999999944121,1972313.870000000111759,1723453.900000000139698,11090735.139999998733401
20120110,1881373.300000000046566,1915254.699999999720603,1791744.160000000149012,1833991.040000000037253,1968572.770000000018626,1719376.820000000065193,11110316.790000000968575
20120111,1878261.599999999860302,1912174.839999999850988,1795877.490000000223517,1826085.919999999925494,1983163.060000000055879,1729860.740000000223517,11125427.650000000372529
20120112,1873282.880000000121072,1909094.979999999748543,1807378.930000000167638,1844531.199999999953434,1977925.520000000018626,1732772.940000000176951,11144990.449999999254942
20120113,1866125.969999999972060,1914374.739999999757856,1803425.310000000055879,1861000.199999999953434,1971565.650000000372529,1733937.820000000065193,11150433.690000001341105
20120117,1887907.870000000111759,1924494.279999999795109,1807019.510000000242144,1861658.959999999962747,2004113.220000000204891,1742965.640000000130385,11228163.480000000447035
20120118,1907511.579999999841675,1974652.000000000000000,1825170.220000000204891,1859682.679999999934807,2017955.290000000037253,1747625.160000000149012,11332600.929999999701977
20120119,1901599.349999999860302,1997970.939999999711290,1819778.920000000391155,1852436.320000000065193,1957349.470000000204891,1765098.360000000102445,11294237.359999999403954
20120120,1868304.159999999916181,1958372.739999999757856,1828405.000000000000000,1957179.159999999916181,1955478.920000000391155,1776747.160000000149012,11344491.140000000596046
20120123,1900043.500000000000000,1974652.000000000000000,1814207.910000000149012,1958496.679999999934807,1961464.680000000167638,1773834.959999999962747,11382703.730000000447035
20120124,1868926.500000000000000,1978171.839999999850988,1774671.710000000195578,1932805.040000000037253,1920312.580000000074506,1787813.520000000251457,11262705.189999999478459
20120125,1985615.250000000000000,1991371.239999999757856,1783297.790000000270084,1947297.759999999776483,1929291.220000000204891,1790143.280000000027940,11427020.539999999105930
20120126,1976591.320000000065193,1977731.859999999869615,1782399.240000000223517,1943345.199999999953434,1883649.800000000279397,1775582.280000000027940,11339303.699999999254942
20120127,1988415.780000000027940,1974212.019999999552965,1773593.450000000186265,1925558.679999999934807,1908715.170000000391155,1768010.560000000288710,11338509.660000000149012
20120130,2013931.719999999972060,1969812.219999999972060,1773593.450000000186265,1950591.559999999823049,1910585.720000000204891,1785192.540000000037253,11403711.210000000894070
20120131,2029179.049999999813735,1953092.979999999748543,1780063.010000000242144,1945321.479999999981374,1937521.640000000130385,1786939.860000000102445,11432122.019999999552965
20120201,2027934.370000000111759,1956612.819999999832362,1768381.860000000335276,1969036.840000000083819,1992515.810000000055879,1810819.900000000139698,11525305.600000001490116
20120202,2023266.819999999832362,1956172.839999999850988,1772335.480000000214204,1972989.399999999906868,1965579.890000000130385,1803830.620000000111759,11494179.050000000745058
20120203,2043492.870000000111759,1987411.419999999925494,1797315.170000000391155,1992093.439999999944121,1919564.360000000335276,1806451.600000000325963,11546332.860000001266599
20120206,2062474.239999999990687,1988731.359999999869615,1787970.250000000000000,1989458.399999999906868,1918816.140000000130385,1802083.300000000279397,11549537.690000001341105
20120207,2084256.140000000130385,2000170.839999999850988,1813489.070000000065193,1999339.800000000046566,1946500.280000000260770,1796550.120000000111759,11640310.250000000000000
20120208,2119107.179999999701977,1987411.419999999925494,1798034.010000000242144,2019761.359999999869615,1950615.490000000223517,1794511.580000000074506,11669445.039999999105930
20120209,2192232.129999999888241,1991811.219999999972060,1796955.750000000000000,2027007.719999999972060,1985033.610000000335276,1804413.060000000288710,11797457.490000000223517
20120210,2193476.809999999590218,1994451.099999999627471,1787610.830000000074506,2009221.199999999953434,1994760.470000000204891,1802665.740000000223517,11782190.150000000372529
20120213,2234240.080000000074506,2020849.899999999674037,1790845.610000000335276,2014491.279999999795109,2014588.300000000279397,1799462.320000000065193,11874481.490000000223517
20120214,2264734.740000000223517,2026569.639999999897555,1789048.510000000242144,1992752.199999999953434,2037409.010000000242144,1811984.780000000027940,11922502.880000000819564
20120215,2212458.179999999701977,2011170.339999999850988,1772155.770000000251457,1979577.000000000000000,2043394.770000000018626,1798588.660000000149012,11817348.720000000670552
20120216,2232373.059999999590218,2020849.899999999674037,1783836.920000000391155,2061263.239999999990687,2049754.640000000130385,1806742.820000000065193,11954824.580000000074506
